TermékNév	Ár	TFT	TFT Méret	TFT Felb.	CPU	CPU Gyártó	CPU Típus	CPU Seb.	RAM	RAM Típus	HDD	HDD Típus	GPU	GPU Típus	GPU Mem	Súly	Gar.	Akku	OS	ODD	Mikrofon	Audio	Kamera	WLAN	BT	VGA ki	USB	CR	Nyelv	Méret	Tartozék	Chipset	Egyéb	HDMI	Portok	Kommunikációs megjegyzés	LAN	AC	Megnevezés	Cellák száma	Tárolt energia	Alap szín	Anyag	Chipset gyártó	CPU gyártó	CPU típus	D-Sub ki	Hálózati csatlakozás	HDMI ki	Jack 3,5mm	USB 2.0 ki	Kijelző felbontás	Kijelző felület	Kijelző méret	Kijelző típus	Memória kártyaolvasó	Kensington zár foglalat	Magasság (max.)	Mélység (max.)	Család	CPU család	Operációs rendszer kompatibilitás	Memória modulok	Memória mennyiség	Szélesség (max.)	Háttértár fordulatszám	Háttértár méret	Háttértár típus	Töltő teljesítmény	VGA típus	WiFi	Képernyő méret: 15,6"-os	Felbontás: WUXGA Full HD LED 3D 120 Hz (1366x768)	CPU: Intel Core i7-3610QM	HDD:750 GB, 5400 RPM, SATA + 128 GB SSD	RAM: 2 x 4 GB DDR3-1600	ODD: Blu-ray Disc író	VGA:NVIDIA GeForce GTX 660M 2GB GDDR5	Operációs rendszer:Windows 7 Home Premium 64 bit	Bluetooth 4.0	USB:4 x USB 3.0	VGA: 1 x VGA	Display port	Akkumulátor: 8 cellás, 5200 mAh, 74 W/h	Adapter: 180 W	Nettó súly: 3,8 kg	Méret: 384 x 299 x 20-51 mm	Egyéb: Táska, egér, világító billentyűzet, Nvidia 3D Vision kit	Garancia: 24 hónap ASUS szervizben, ügyfélszolgálat: +36-1-505-4561	Képernyő méret: 17,3"-os	Felbontás: WUXGA Full HD LED (1920x1080)	CPU: Intel Core i7-3610QM	HDD: 750 GB, 5400 RPM, SATA + 160 GB SSD	ODD: DVD Super Multi	VGA: NVIDIA GeForce GTX 660M 2GB GDDR5	WLAN:b/g/n	Webkamera: HD	USB: 4 x USB 3.0	Adapter: 180 W	Nettó súly: 4,5 kg	Méret:415 x 320 x 17-52 mm	Egyéb: Táska, egér, világító billentyűzet	USB 3.0 ki	Memória foglalatok száma	Optikai meghajtó	SSD	Csatlakozók megjegyzés	TPM
Asus EeePC 1215P 320GB SATA	90472 Ft	12.1" WXGA HD LED háttérvilágítású kijelző - fényes (1366x768)			INTEL ATOM N550	INTEL	ATOM N550	1.5 Ghz (1M Cache) UmPC Pineview	2GB	DDR3 1066MHz	320GB	SATA 5400rpm	Intel Graphics Media Accelerator 3150 (Pineview)	Integrált	256MB	1.4 kg	24 hónap nemzetközi + magyarországi háztól-házig szolgáltatással	6 cella 4400mAh	Magyar nyelvű Microsoft Windows 7 Home Premium	Belső meghajtó nélkül. Kérjen ajánlatot!	Van	Van	0.3 megapixel	802.11 b/g/n	3.0	Van	3xUSB 2.0	2-az-1-ben kártyaolvasó (SD, MMC)	Magyar nyelvű billentyűzet, dokumentáció	296 x 203 x 38 mm	Hálózati adapter	Mobile Intel NM10	2 x SODIMM bővítőhely akár 4GB RAM																																																																												
Asus 1015BX / R051BX-BLK026S	57402 Ft	10.1"			AMD Dual-Core C-50	AMD	Dual-Core C-50	1 Ghz	1GB	DDR3	320GB	SATA	ATI AMD Mobility HD6250	Dedikált			24 hónap nemzetközi + magyarországi háztól-házig szolgáltatással	3 cella	Magyar nyelvű Microsoft Windows 7 Starter		Van	Van		Van		Van			Magyar nyelvű billentyűzet, dokumentáció		Hálózati adapter			Van																																																																											
Asus 1015BX / R051BX-WHI003W	53465 Ft	10.1"			AMD Dual-Core C-50	AMD	Dual-Core C-50	1 Ghz	2GB	DDR3	320GB	SATA	AMD AMD Mobility HD6250	Dedikált			24 hónap nemzetközi + magyarországi háztól-házig szolgáltatással	3 cella	operációs rendszer nélküli		Van	Van	Van	Van		Van			Magyar nyelvű billentyűzet, dokumentáció		Hálózati adapter			Van																																																																											
Asus 1015BX-BLK208S	62126 Ft	10.1"			AMD Dual-Core C-60	AMD	Dual-Core C-60	1 Ghz	1GB	DDR3	320GB	SATA	AMD AMD Mobility HD6250	Dedikált			24 hónap nemzetközi + magyarországi háztól-házig szolgáltatással	3 cella	Magyar nyelvű Microsoft Windows 7 Starter		Van	Van	Van	Van		Van			Magyar nyelvű billentyűzet, dokumentáció		Hálózati adapter			Van																																																																											
Asus 1015BX-WHI151S	62126 Ft	10.1"			AMD Dual-Core C-60	AMD	Dual-Core C-60	1 Ghz	10GB	DDR3	320GB	SATA	AMD AMD Mobility HD6250	Dedikált			24 hónap nemzetközi + magyarországi háztól-házig szolgáltatással	3 cella	Magyar nyelvű Microsoft Windows 7 Starter				Van	Van		Van			Magyar nyelvű billentyűzet, dokumentáció		Hálózati adapter			Van																																																																											
ASUS 1025CE-BLU009S	77874 Ft	10.1" (1024x600)			INTEL ATOM N2800	INTEL	ATOM N2800		1GB	DDR3	320GB		Intel Intel GMA 3650	Integrált	Rendszermemóriából	1.25 kg	24 hónap nemzetközi + magyarországi háztól-házig szolgáltatással	6 cella	Magyar nyelvű Microsoft Windows 7 Starter		Van	Van	0.3 megapixel	802.11 b/g/n	3.0 + HS	Van	1xUSB 3.0 + 2xUSB 2.0	2-az-1-ben kártyaolvasó	Magyar nyelvű billentyűzet, dokumentáció		Hálózati adapter	Mobile Intel NM10	A memória tovább nem bővíthető!	Van																																																																											
ASUS 1025CE-PUR011S	77874 Ft	10.1" (1024x600)			INTEL ATOM N2800	INTEL	ATOM N2800		1GB	DDR3	320GB		Intel Intel GMA 3650	Integrált	Rendszermemóriából	1.25 kg	24 hónap nemzetközi + magyarországi háztól-házig szolgáltatással	6 cella	Magyar nyelvű Microsoft Windows 7 Starter		Van	Van	0.3 megapixel	802.11 b/g/n	3.0 + HS		1xUSB 3.0 + 2xUSB 2.0	2-az-1-ben kártyaolvasó	Magyar nyelvű billentyűzet, dokumentáció		Hálózati adapter	Mobile Intel NM10	A memória tovább nem bővíthető!	Van																																																																											
Asus A54HR-SO107D	96772 Ft	15.6" (1366x768)			INTEL Pentium Dual-Core B960	INTEL	Pentium Dual-Core B960	2.2 Ghz (2MB)	4GB	DDR3 1333MHz	500GB	SATA 5400rpm	AMD AMD Radeon HD 7470M	Dedikált	1GB	2.6 kg	24 hónap nemzetközi + magyarországi háztól-házig szolgáltatással	4 cella	Free DOS	DVD RW SuperMulti	Van	Van	0.3 megapixel	802.11 b/g/n			1xUSB 3.0 + 1xUSB 2.0	4-az-1-ben kártyaolvasó	Magyar nyelvű billentyűzet, dokumentáció		Hálózati adapter	Mobile Intel HM65 Express	A memória tovább nem bővíthető!	Van	Van	Dokkoló: Csatlakoztatható, USB-n keresztül																																																																									
ASUS Eee Pad TF201-1B059A - Transformer Prime 64GB	126693 Ft	10.1" IPS / Kapacitív- multitouch (1280x800)			NVIDIA NVIDIA Tegra 3	NVIDIA	NVIDIA Tegra 3	1.5 GHz	1GB		64GB	Flash				586 g	24 hónap nemzetközi + magyarországi háztól-házig szolgáltatással		Android 4.0.x ICS				Van	802.11 b/g/n	2.1 + EDR			1x microSD max 32GB-ig	Magyar nyelvű dokumentáció	263 x 180,8 x 8,3 mm	Hálózati adapter			Micro		G Sensor																																																																									
ASUS Eee Pad TF201-1I052A - Transformer Prime 64GB	126693 Ft	10.1" IPS / Kapacitív- multitouch (1280x800)			NVIDIA NVIDIA Tegra 3	NVIDIA	NVIDIA Tegra 3	1.5 GHz	1GB		64GB	Flash				586 g	24 hónap nemzetközi + magyarországi háztól-házig szolgáltatással		Android 4.0.x ICS				Van	802.11 b/g/n	2.1 + EDR			1x microSD max 32GB-ig	Magyar nyelvű dokumentáció	263 x 180,8 x 8,3 mm	Hálózati adapter			Micro		G Sensor																																																																									
