TermékNév	Ár	TFT	TFT 3D	CPU	RAM	RAM Slot	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Kategória	Chipset	Audio	Mikrofon	Kamera	WLAN	BT	HSDPA	Portok	CR	LAN	USB	Méret	USB 3	SSD	Extra
Dell Latitude E6220 12,5" i5-2520M 4GB 320GB W7P64	242520 Ft	12,5 " (1366x768 pixel)	Nem	Intel Core i5 2520M (2,5 GHz, 3 MB cache)	4096 MB DDR III 1333 MHz	Nem	320 GB 7200 rpm SATA	Intel HD Graphics 3000	1,4 kg	3 év	6 cellás	Nincs	Windows 7 Professional 64 bit	Üzleti	Intel QM67 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, E-SATA, ExpressCard 34mm, USB, HDMI	SD, SDHC, MMC	10/100/1000 Mb/s	3 db	309x24,7x226 mm				
Dell Inspiron Mini 1018 10,1" N455 2G 320GB Fekete	59646 Ft	10,1 " (1024x600 pixel)	Nem	Intel Atom N455 (1,66 GHz, 0,6 MB cache)	2048 MB DDR III 1333 MHz	Nem	320 GB 5400 rpm SATA	Intel GMA 3150	1,13 kg	2 év	6 cellás	Nincs	Linux	Netbook	Intel® NM10 Express	HD Audio	Igen	Igen	802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB	SD, SDHC, MMC	10/100 Mb/s	2 db	261 x 182 x 28.5 mm				
Dell Latitude E6320 Ci3-2330M 2GB 500GB GMA DOS	212756 Ft	13,3 " (1366 × 768 pixel)	Nem	Intel Core i3 2330M (2,2 GHz, 2 MB cache)	2048 MB DDR III 1333 MHz	Nem	500 GB 7200 rpm SATA	Intel HD Graphics 3000	1,65 kg	3 év	6 cellás	DVD+-RW DL	Free DOS	Üzleti	Mobile Intel® QM67 Express	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, E-SATA, ExpressCard 34mm, USB, Mini HDMI	SD	10/100/1000 Mb/s	2 db	335 x 223,3 x 25,4-30,1 mm				
Dell Inspiron Mini 1018 10,1" N455 1G 250GB Fekete	62370 Ft	10,1 " (1024x600 pixel)	Nem	Intel Atom N455 (1,66 GHz, 0,5 MB cache)	1024 MB DDR III 1333 MHz	Nem	250 GB 5400 rpm SATA	Intel GMA 3150	1,13 kg	2 év	6 cellás	Nincs	Windows 7 Starter Edition	Netbook	Intel® NM10 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB	SD, SDHC, MMC	10/100 Mb/s	2 db	261 x 182 x 28.5 mm				
Dell Inspiron Mini Duo 1090 10,1" HD MultiTouch	87480 Ft	10,1 " (1366x768 pixel)	Nem	Intel Atom Dual-Core N570 (1,66 GHz, 1 MB cache)	2048 MB DDR III 1333 MHz	Nem	320 GB 7200 rpm SATA	Intel GMA 3150	1,54 kg	3 év	4 cellás	Nincs	Windows 7 Home Premium	Netbook	Intel® NM10 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, USB, SIM kártyahely		10/100 Mb/s	2 db	285x194x26-28 mm				
Acer Aspire One AOD270-26DKK 10,1" Fekete	60795 Ft	10,1 " (1024x600 pixel)	Nem	Intel Atom Dual-Core N2600 (1,6 GHz, 1 MB cache)	1024 MB DDR III 1066 MHz	Nem	320 GB 5400 rpm SATA	Intel GMA 3600	1,3 kg	2 év	6 cellás	Nincs	Windows 7 Starter Edition	Netbook	Intel® NM10 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB	SD, XD, MMC, MS, MS Pro	10/100 Mb/s	3 db	256,5 x 184 x 24 mm				
Acer AS5250-E302G32MNKK 15,6" Fekete	69276 Ft	15,6 " (1366 x 768 pixel)	Nem	AMD E Series E-300 (1,3 GHz, 1 MB cache)	2048 MB DDR III 1066 MHz	Nem	320 GB 5400 rpm SATA	AMD Radeon HD 6310	2,6 kg	2 év	6 cellás	DVD+-RW DL	Linux	Általános	AMD A50M (Hudson M1) Fusion™	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB	SD, MMC	10/100 Mb/s	3 db	381 x 253 x 25-34 mm				
Packard Bell Easynote TS-F4211-HR-453HG	72630 Ft	15,6 " (1366x768 pixel)	Nem	Intel Celeron Dual-Core B815 (1,6 GHz, 2 MB cache)	4096 MB DDR III 1333 MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics		2 év	6 cellás	DVD+-RW DL	Linux	Általános	Intel HM65 Express	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB	SD, SDHC, MMC, MS, MS Pro	10/100 Mb/s	3 db					
Packard Bell Easynote TV43-HC-461HG Piros	79606 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core B970 (2,3 GHz, 2 MB cache)	4096 MB DDR III MHz	Nem	500 GB 5400 rpm SATA	Intel HD Graphics		2 év	6 cellás	DVD+-RW DL	Linux	Általános		HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	3,5 Jack, D-Sub, USB, HDMI		10/100 Mb/s	3 db					
Samsung NP300E5C-A01HU	101969 Ft	15,6 " (1366x768 pixel)	Nem	Intel Pentium Dual Core B960 (2,2 GHz, 2 MB cache)	4096 MB DDR III 1066 MHz	Nem	750 GB 5400 rpm SATA	Intel HD Graphics	2,3 kg	2 év	6 cellás	DVD+-RW DL	Windows 7 Home Premium 64 bit	Általános	Intel HM65 Express	HD Audio	Nem	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	3,5 Jack, D-Sub, USB, HDMI		10/100/1000 Mb/s		367,9 x 243 x 27,1~33 mm	3 db			
