TermékNév	Ár	TFT Méret	TFT Típus	TFT Felb.	CPU Típus	CPU Frek.	CPU FSB	RAM	RAM Slot	RAM Max	HDD Méret	HDD Seb.	GPU	GPU Mem	Súly	Gar.	Akku Típus	Akku Telj.	Akku Cella	ODD	OS	OS +	Gyártó	Chipset	LAN	Portok	Audio	CR	Bill.	Szín	Méret	Egyéb	Egyéb +
Lenovo IdeaPad G585G 59-334362 notebook	86535 Ft	15,6"	LED	1366x768 pixel	AMD E Series E1-1200	1,4 GHz	-	4GB DDR3 1066MHz	2 db	8GB	500GB	5400 RPM	ATI Radeon HD6470M	1GB	2,6 kg	2 év	Li-ion	max. 5 óra	6	SuperMulti	nincs	Linux, Windows 7	Lenovo	-	10/100 LAN, WiFi	1xUSB 3.0, 2xUSB 2.0, audio, HDMI	fülhallgató kimenet, mikrofon bemenet	van	magyar	Fekete	377 x 250 x 17 mm	akkumulátor, hálózati töltő	beépített hangszóró, beépített mikrofon, beépített webkamera	
Lenovo IdeaPad G580GH 59-336871 notebook	94409 Ft	15,6"	LED	1366x768 pixel	Intel Pentium B950	2,1 GHz	5 GT/s	4GB DDR3 1066MHz	2 db	8GB	750 GB	5400 RPM	Intel HD Graphics 3000	megosztott	2,6 kg	2 év	Li-ion	max. 5 óra	6	SuperMulti	DOS	Windows 7	Lenovo	Intel	10/100 LAN, Bluetooth, WLAN	1xUSB 2.0, 2xUSB 3.0, HDMI	fülhallgató kimenet, mikrofon bemenet	van	magyar	Szürke	376 x 245 x 34.3 mm	akkumulátor, hálózati kábel, hálózati töltő	beépített hangszóró, beépített mikrofon	
Toshiba Satellite L870-147 notebook + Windows 7 Home premium 64bit operációs rendszer	188897 Ft	17,3"	LED	1600x900 pixel	Intel® Core™ i5 3210M	2,5 GHz	5 GT/s	6GB DDR3 1600MHz	2 db	16 GB	750 GB	5400 RPM	AMD Radeon HD7670M	2GB	2,7 kg	1 év	Li-ion	max. 4 óra	6	SuperMulti	Windows 7 Home Premium 64bit	Windows 7	Toshiba	-	Bluetooth, Gigabit LAN, WLAN	1xUSB 2.0, 2xUSB 3.0, HDMI, LAN, VGA	fülhallgató kimenet, mikrofon bemenet	van	magyar	Fehér	413,0 x 268,0 x 33,7 mm	hálózati adapter	beépített webkamera	
Lenovo IdeaPad G575GL 59-336163 notebook	78661 Ft	15,6"	HD Ready, WXGA	1366x768 pixel	AMD Brazos E450	1,66 GHz	-	4GB DDR3 1333MHz	1 db	-	500GB	5400 RPM	integrált	megosztott	2,4 kg	2 év	Li-ion	nincs adat	6	DVD+RW, DVD-RW, nincs adat	nincs	Linux, Windows 7	Lenovo	-	10/100 LAN, WiFi	1xUSB 2.0	fülhallgató kimenet, mikrofon bemenet	van	magyar	Fekete	377x250x35mm	leírás	beépített webkamera	
HP Pavilion g6-1306sh A9B65EA notebook	110157 Ft	15,5"	WXGA	1366x768 pixel	AMD A6-3400M Quad-Core	1,5 GHz	5 GT/s	4GB DDR3 1333MHz	2 db	6GB	750 GB	5400 RPM	AMD Radeon HD 6520	1GB	2,54 kg	2 év	Li-ion 90W	max. 5 óra	6	SuperMulti	DOS	Windows 7	Hewlett-Packard	AMD RS880M	10/100 LAN, Bluetooth, WiFi	3xUSB 2.0, D-SUB, HDMI	fülhallgató kimenet, mikrofon bemenet	van	magyar	Fekete	374 x 245 x 36,3 mm	akkumulátor, leírás	beépített hangszóró, beépített mikrofon, beépített webkamera	
Lenovo IdeaPad U310 59-36504 ultrabook + Windows 7 operációs rendszer	157401 Ft	13,3"	WXGA	1366x768 pixel	Intel® Core™ i3 2367M	1,4 GHz	5 GT/s	2+2GB DDR3 1333MHz	2 db	4 GB	500GB	5400 RPM	Intel HD Graphics	megosztott	-	2 év	Li-ion	-	3	nincs	Windows 7 Home Premium	Windows 7	Lenovo	Mobile Intel® HM77 Express	Bluetooth, Gigabit LAN	HDMI	fülhallgató kimenet, mikrofon bemenet	van	magyar	Szürke	-	leírás	nincs	
Samsung NP300E5C-S01HU notebook + Windows 7 operációs rendszer	157401 Ft	15,6"	LED	1366x768 pixel	Intel® Core™ i5 3210M	2,5 GHz	-	6GB DDR3 1333MHz	2 db	8GB	1 TB	5400 RPM	nVidia GeForce 610M	1GB	2,3 kg	2 év	Li-ion	max. 5 óra	6	SuperMulti	Windows 7 Home Premium	Windows 7	Samsung	Intel	10/100 LAN, WiFi	3xUSB 2.0, audio, HDMI	fülhallgató kimenet, mikrofon bemenet	4in1	magyar	Fekete	367.9 x 243 x 29 mm	akkumulátor, hálózati adapter	beépített hangszóró, beépített mikrofon, beépített webkamera	
Lenovo IdeaPad U410 59-336506 ultrabook, piros + Windows 7 operációs rendszer	169212 Ft	14"	WXGA	1366x768 pixel	Intel® Core™ i3-2367M	1,4 GHz	-	2+2GB DDR3 1333MHz	2 db	4 GB	750 GB	5400 RPM	nVidia GeForce 610M	1GB	-	2 év	Li-ion	-	4	nincs	Windows 7 Home Premium	Windows 7	Lenovo	Mobile Intel® HM77 Express	WiFi	2xUSB 2.0, 2xUSB 3.0, HDMI	fülhallgató kimenet, mikrofon bemenet	van	magyar	Piros	-	leírás	beépített hangszóró, beépített mikrofon	
HP 635 A1E51EA notebook	78661 Ft	15,6"	WXGA	1366x768 pixel	AMD Dual-Core E-450	1,6 GHz	5 GT/s	4GB DDR3 1333MHz	2 db	8GB	320 GB	5400 RPM	AMD Radeon HD 6310	megosztott	2,5 kg	2 év	Li-ion 47W	-	6	SuperMulti	DOS	Windows 7	Hewlett-Packard	AMD RS880M	10/100/1000 LAN, Bluetooth, WiFi	3xUSB 2.0, HDMI, VGA	fülhallgató kimenet, mikrofon bemenet	van	magyar	Fekete	376 x 247 x 31,8 mm	akkumulátor, leírás	beépített hangszóró, beépített mikrofon, beépített webkamera	
Samsung NP300E5A-S05HU notebook + Windows 7 operációs rendszer	149527 Ft	15,6"	HD Ready, LED, WXGA	1366x768 pixel	Intel® Core™ i5 2450M	2,5 GHz	5 GT/s	4GB DDR3 1333MHz	2 db	8GB	750 GB	5400 RPM	nVidia GeForce GT520MX	1GB	2,3 kg	2 év	Li-ion	4400mAh	6	SuperMulti	Windows 7 Home Premium	Windows 7	Samsung	Intel	Bluetooth, Gigabit LAN, WiFi	3xUSB 2.0, HDMI, VGA	fülhallgató kimenet, mikrofon bemenet	4in1	magyar	Ezüst	368 x 243 x 27,1 mm	akkumulátor, hálózati töltő, leírás	16:9-es képarány, beépített hangszóró, beépített mikrofon, beépített webkamera	
