TermékNév	Ár	TFT Méret	TFT Felb.	TFT LED	CPU	RAM Méret	RAM Típus	HDD	GPU	Súly	ODD	OS	WLAN	LAN	BT	USB	eSata	FW	Kamera	CR	HDMI	MiniHDMI	MicroHDMI	DP	MiniDP	Nyelv	USB 3	MOBIL NET	MEREVLEMEZ (SSD)	MÁSODLAGOS INTEGRÁLT VGA TÍPUS
ACER Aspire 4352 NX.RU5EU.002	65816 Ft	 14"	 1366x768	 Igen	 Intel Celeron B815 1.60GHz	 2GB	 DDR3	 320 GB	 Intel GMA	 2,25 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire 4352 NX.RU5EU.002W7HP	77877 Ft	 14"	 1366x768	 Igen	 Intel Celeron B815 1.60GHz	 2GB	 DDR3	 320 GB	 Intel GMA	 2,25 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire 4752Z NX.RT2EU.002 Fekete	84375 Ft	 14"	 1366x768	 Igen	 Intel Pentium B950 2.10GHz	 4GB	 DDR3	 500 GB	 Intel GMA	 2,25 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire 4752Z NX.RTWEU.001 Kék	93805 Ft	 14"	 1366x768	 Igen	 Intel Pentium B960 2.20GHz	 4GB	 DDR3	 500 GB	 Intel GMA	 2,25 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire 4752Z NX.RTWEU.005 Kék	84375 Ft	 14"	 1366x768	 Igen	 Intel Pentium B950 2.10GHz	 4GB	 DDR3	 500 GB	 Intel GMA	 2,25 kg	 DVD-RW	 Linux	 Igen	 10/100/1000MBps /Gigabit/	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire 4752Z NX.RTWEU.006	95345 Ft	 14"	 1366x768	 Igen	 Intel Pentium B950 2.10GHz	 4GB	 DDR3	 500 GB	 Intel HD Graphics	 2,5 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100/1000MBps /Gigabit/	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire 5250 NX.RJYEU.003	67142 Ft	 15,6"	 1366x768	 Igen	 AMD E-300 1.30GHz	 2GB	 DDR3	 320 GB	 ATi Mobil RadeOn HD6310	 2,6 kg	 DVD-RW	 Linux	 Igen	 10/100MBps	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire 5349 NX.RR9EU.004	69775 Ft	 15,6"	 1366x768	 Igen	 Intel Celeron B815 1.60GHz	 2GB	 DDR3	 320 GB	 Intel HD Graphics	 2,4 kg	 DVD-RW	 Linux	 Igen	 10/100MBps	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire 5349 NX.RR9EU.004W7HP	91573 Ft	 15,6"	 1366x768	 Igen	 Intel Celeron B815 1.60GHz	 2GB	 DDR3	 320 GB	 Intel HD Graphics	 2,4 kg	 DVD-RW	 Windows 7 Home Premium	 Igen	 10/100MBps	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
ACER Aspire 5349-B812G50MN NX.RR9EU.007	72586 Ft	 15,6"	 1366x768	 Igen	 Intel Celeron B815 1.60GHz	 2GB	 DDR3	 500 GB	 Intel HD Graphics	 2,4 kg	 DVD-RW	 Nincs	 Igen	 10/100MBps	 Nem	 3 db	 Nem	 Nem	 Igen	 Igen	 Igen	 Nem	 Nem	 Nem	 Nem	 Magyar					
