TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	ODD	Gar.	Akku	OS	Család	Modell	Szín	LAN	USB	WLAN	Bill.	Touchpad	Állapot	Bill. Num	Kamera	Portok	BT	CR	HDMI	Külső táskaméret	eSata	FP	ExpressCard	3G kártyahely	Dokk	RS232	FW	Modem	Távirányító	TV ki	PCMCIA	LPT
Lenovo IdeaPad G575GL Black W7 CCL	78661 Ft	15.6ʺ HD LED (1366x768)	AMD E-300 (1300)	2048 (DDR3) MB	250 GB	AMD Radeon HD 6310	DVDRW SM	2 év	6 cellás	Windows7 HomePrem 64 HUN	IdeaPad	IdeaPad G	fekete	10/100	2 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA																	
Lenovo IdeaPad G570GH Brown 59-324339 FD	78661 Ft	15.6ʺ HD LED (1366x768)	Celeron DualCore B800 (1500)	2048 (DDR3) MB	320 GB	Intel HD Graphics	DVDRW SM	2 év	6 cellás	nincs (F)	IdeaPad	IdeaPad G	barna	10/100	4 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA	van	5 in 1	van														
HP 630 Champagne A6E76EA LX 6GB	78661 Ft	15.6ʺ HD LED (1366x768)	Celeron DualCore B815 (1600)	6144 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW +/- DL	2 év	6 cellás	nincs (L)			champagne	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	2 in 1	van														
HP 635 Champagne A1E36EA LX	80236 Ft	15.6ʺ HD LED (1366x768)	AMD DualCore E-450 (1650)	4096 (DDR3) MB	320 GB	AMD Radeon HD 6320	DVDRW SM	2 év	6 cellás	nincs (L)			champagne	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	2 in 1	van														
Acer Aspire 4352-B812G32MNkk Blk LX 1Y 6GB	80236 Ft	14ʺ HD LED (1366x768)	Celeron DualCore B815 (1600)	6144 (DDR3) MB	320 GB	Intel HD Graphics	DVDRW SM	1 év	4400 mAh (Li-ion)	nincs (L)	Aspire		fekete	10/100/1000	1x3.0.2x2.0	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA		Multi-in-1	van														
HP 630 Champagne A6E83EA LX	80267 Ft	15.6ʺ HD LED (1366x768)	Pentium B960 (2200)	2048 (DDR3) MB	320 GB	Intel HD Graphics	DVDRW +/- DL	2 év	6 cellás	nincs (L)			champagne	10/100/1000	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	2 in 1	van	Ajándék táska													
Lenovo IdeaPad G575GL Black W7 59-345827 IDP	80267 Ft	15.6ʺ HD LED (1366x768)	AMD E-300 (1300)	2048 (DDR3) MB	320 GB	AMD Radeon HD 6310	DVDRW SM	2 év	6 cellás	Windows7 HomePrem 64 HUN	IdeaPad	IdeaPad G	fekete	10/100	2 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA																	
Lenovo IdeaPad G575GL Black W7 CCL 4GB	81024 Ft	15.6ʺ HD LED (1366x768)	AMD E-300 (1300)	4096 (DDR3) MB	250 GB	AMD Radeon HD 6310	DVDRW SM	2 év	6 cellás	Windows7 HomePrem 64 HUN	IdeaPad	IdeaPad G	fekete	10/100	2 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA																	
Acer Aspire 5250-E304G32Mnkk Grey LX	81811 Ft	15.6ʺ HD LED (1366x768)	AMD E-300 (1300)	4096 (DDR3) MB	320 GB	AMD Radeon HD 6320	DVDRW SM	1 év	4400 mAh (Li-ion)	nincs (L)	Aspire	Aspire 5xxx	szürke	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új	van	van	VGA		2 in 1															
HP 635 Champagne A1E51EA LX 8GB	82598 Ft	15.6ʺ HD LED (1366x768)	AMD DualCore E-450 (1650)	8192 (DDR3) MB	320 GB	AMD Radeon HD 6320	DVDRW SM	2 év	6 cellás	nincs (L)			champagne	10/100	3 db	b/g/n 300mbps	magyar	Touch pad	Új		van	VGA	3.0	2 in 1	van														
