TermékNév	Ár	TFT Méret	TFT Felb.	TFT Jell	CPU	RAM	HDD	SSD	GPU	Súly	Gar.	Akku	ODD	OS	VGA Típusa	LAN	Portok	Bill.	Softver	Bemeneti/Kimeneti csatlkozók	Billentyűzet/Touchpad	Súly/Méretek
acer Aspire 5560-63424G50Mnbb - Kék - Már 2 év garanciával!	98417 Ft	15,6"	1366x768	CrystalBrite WXGA nagy fényerejű TFT LCD, 1366x 768 képpont felbontás	AMD 3420 Quad-Core A6-3400M (1,5GHz-2.4GHz, 4MB L2 cache)	4GB DDR3 memória	500GB S-ATA merevlemez			360 x 267 x 30.3/43 mm 2.88 kg	2 év	48.8W 6-cellás lítium-ion akkumulátorakár 2.5 órás akkumulátor üzemidő	DVD-SuperMulti duplarétegű író	Linux	AMD Radeon™ HD 6520	Acer InviLink™ 802.11b/g/n draft Wi-Fi CERTIFIED® vezeték nélküli hálózati kapcsolatGigabit Ethernet, Wake-on-LAN támogatásAcer Crystal Eye webkamera 1.3Mpix	2-az-1-ben kártyaolvasó (SD™, MMC, MS, MS PRO, xD) 3x USB 2.0 HDMI™ port HDCP támogatással 1 csatlakozó külső kijelzőhöz (VGA) 1 fejhallgató-/hangszóró-/vonalkimenet-csatlakozó 1 mikrofon csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
acer Aspire 5349-B812G32MN - Szürke - Már 2 év garanciával!	75800 Ft	15,6"	1366x768	CrystalBrite WXGA nagy fényerejű TFT LCD, 1366x 768 képpont felbontás	Intel® Celeron® B815 (2M Cache, 1.60 GHz)	2GB DDR3 memória, amely 8 GB-ig bővíthető	320GB S-ATA merevlemez		Intel® HD Graphics	360 x 267 x 30.3/43 mm 2.88 kg	2 év	48.8W 6-cellás lítium-ion akkumulátorakár 2.5 órás akkumulátor üzemidő	DVD-SuperMulti duplarétegű író	Linux		Acer InviLink™ 802.11b/g/n draft Wi-Fi CERTIFIED® vezeték nélküli hálózati kapcsolatGigabit Ethernet, Wake-on-LAN támogatás	2-az-1-ben kártyaolvasó (SD™, MMC) 3x USB 2.0 1 csatlakozó külső kijelzőhöz (VGA) 1 fejhallgató-/hangszóró-/vonalkimenet-csatlakozó 1 mikrofon csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
acer Aspire 7250G-4504G50MNKKMN - Szürke - Már 2 év garanciával!	99999 Ft	17.3"	HD+ 1600 x 900	17.3" HD+ 1600 x 900 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD	AMD E-450 Fusion (1,65 GHz)	4 GB DDR3	500GB S-ATA merevlemez		AMD Radeon HD 7470M 1GB	414,75 x 275 x 34,6 mm3.3 kg	2 év	48,8 W (6-cellás) lítium ion akkumulátor :• Akár 4 óra akkumulátor üzemidő	DVD-Super Multi duplarétegű meghajtó	Linux		Acer Video Conference:Acer Crystal Eye high-definition webkamera, 1,3 megapixel felbontásWLAN: 802.11 b/g/n Wi-Fi CERTIFIED™LAN: Gigabit Ethernet, Wake-on-LAN támogatás	2-in-1 kártyaolvasó: Secure Digital™ (SD), MultiMediaCard™ (MMC)3 USB 2.0 port 1 csatlakozó külső kijelzőhöz (VGA) 1 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszórókimenet-csatlakozó 1 mikrofon csatlakozó 1 Ethernet (RJ-45) port 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
acer Aspire Timeline Ultra M5-581TG-53314G52Mass ultrabook ezüst -Most 3 év garanciával!	166154 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD Super-Slim design, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i5-3317U (3M Cache, 1.7 GHz up to 2.60 GHz)	4GB DDR3 memória	20GB SSD + 500 GB HDD		NVIDIA® GeForce® GT 640M 1GB	376.4 x 253 x 19.7/20.7 mm2.25 kg HDD-vel	3 év	54 W 4850 mAh 3-cellás Li-ion akkumulátor, akár 8 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Windows 7 Home Premium		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0+HSAcer Crystal Eye webkamera 1.3Mpix	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
acer Aspire 5560-63424G50MNKK - Fekete - Már 2 év garanciával!	115157 Ft	15,6"	1366x768	CrystalBrite WXGA nagy fényerejű TFT LCD, 1366x 768 képpont felbontás	AMD Llano Quad-Core A6-3400M (1,4GHz-2.3GHz, 4MB L2 cache)	4GB DDR3 memória	500GB S-ATA merevlemez			360 x 267 x 30.3/43 mm 2.88 kg	2 év	48.8W 6-cellás lítium-ion akkumulátorakár 2.5 órás akkumulátor üzemidő	DVD-SuperMulti duplarétegű író	Windows 7 Home Premium	AMD Radeon™ HD 6520 GB	Acer InviLink™ 802.11b/g/n draft Wi-Fi CERTIFIED® vezeték nélküli hálózati kapcsolatGigabit Ethernet, Wake-on-LAN támogatásAcer Crystal Eye webkamera 1.3Mpix	2-az-1-ben kártyaolvasó (SD™, MMC, MS, MS PRO, xD) 3x USB 2.0 HDMI™ port HDCP támogatással 1 csatlakozó külső kijelzőhöz (VGA) 1 fejhallgató-/hangszóró-/vonalkimenet-csatlakozó 1 mikrofon csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
acer Aspire V5-431-967B4G50Mabb - Kék - Már 2 év garanciával!	116970 Ft	14"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel Pentium Dual-Core B967 (2M Cache, 1.3GHz)	4GB DDR3 memória	500GB SATA HDD		Intel® HD Graphics	342 x 245 x 20-23 mm2.1 kg 4-cellás akkumulátorral	2 év	4-cellás Li-ion akkumulátor	DVD-Super Multi duplarétegű meghajtó	Windows 7 Home Premium		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 86-/87-/91-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
acer Aspire V3-571G-53214G50MAKK - Fekete - már 2 év garanciával!	112107 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel Core i5-3210M (3M Cache, 2.50 - 3.1 GHz, 35W, HyperThreading, Turbo Boost)	4GB DDR3 memória	500GB SATA HDD		NVIDIA® GeForce® GT 630M 2GB	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral		48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Linux		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0+HS (Bluetooth® 2.1+EDR konfigurációtól függően)	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
acer Aspire V3-531-B824G50MAKK - Fekete - Már 2 év garanciával!	61227 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Celeron® B820 (2M Cache, 1.70 GHz)	4GB DDR3 memória	500GB SATA HDD		Intel®HD Graphics	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Linux		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
acer Aspire 5742G-3382G32MN - Fekete - Már 2 év garanciával!	75257 Ft	15,6"	1366x768	ChrystalBrite WXGA nagy fényerejű TFT LCD, 1366x 768 képpont felbontás	Intel Core i3 380M (2.53GHz, 3MB cache, HyperThreading)	2GB DDR3 memória, amely 4 GB-ig bővíthető	320GB S-ATA merevlemez		NVIDIA® GeForce® GT 610M	360 x 267 x 30.3/43 mm 2.88 kg	2 év	48.8W 6-cellás lítium-ion akkumulátorakár 2.5 órás akkumulátor üzemidő	DVD-SuperMulti duplarétegű író	Linux		Acer InviLink™ 802.11b/g/n draft Wi-Fi CERTIFIED® vezeték nélküli hálózati kapcsolatGigabit Ethernet, Wake-on-LAN támogatásAcer Crystal eye webkamera 1.3MPix	2-az-1-ben kártyaolvasó (SD™, MMC) 3x USB 2.0 1x HDMI™ port HDCP támogatással 1x VGA csatlakozó külső kijelzőhöz (VGA) 1x fejhallgató-/hangszóró-/vonalkimenet-csatlakozó 1x mikrofon csatlakozó 1x vonalbemenet-csatlakozó 1x Ethernet (RJ-45) csatlakozó 1x hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
acer Aspire V3-771G-53216G75MAI - Szürke - Már 2 év garanciával!	128216 Ft	17.3"	HD+ 1600 x 900	1920 x 1080 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel Core i5-3210M (3M Cache, 2.5 - 3.1 GHz, 35W, HyperThreading, Turbo Boost)	6GB DDR3 memória	750GB SATA HDD		NVIDIA® GeForce® GT 630M 2GB	414 x 275 x 34.8/36.1 mm3.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű író	Linux		Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0+HS (Bluetooth® 2.1+EDR konfigurációtól függően)	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 2x USB 3.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés					
