TermékNév	Ár	TFT Méret	TFT Felb.	CPU Típus	CPU Frek.	RAM Méret	RAM Típus	HDD Méret	HDD Seb.	GPU Típus	GPU RAM	Súly	Gar.	Akku	ODD	OS	Audio	LAN	WLAN	Modem	Portok	CR	Bill.	Egyéb	Állapot	Méret	Ajándék	2. Merevlemez mérete
Acer Aspire One D270-26Cws Notebook	58189 Ft	10.10 inch	WSVGA (1024x600) LED	Intel® Atom processzor N2600	1600 MHz	2048 MB	DDR3 1333MHz	320 GB	5400 rpm	Intel® HD Graphics	- MB	1.20 Kg	1 év	6 cella	Külső DVD-RW	Linux	igen	10/100/1000Mbps, WLAN b/g	802.11b/g	opció	3xUSB 2.0, HDMI	Memóriakártya-olvasó	magyar	Webcamera	új				
Dell Inspiron Mini 1018 10,1 WSVGA Notebook	63701 Ft	10.10 inch	WSVGA (1024x600) LED	Intel® Atom processzor N455	1660 MHz	2048 MB	DDR3 1333MHz	320 GB	5400 rpm	Intel GMA3150	384 MB	1.30 Kg	2 év	2400 cella	opció	Linux	AC97	10/100Mbps, WLAN b/g	igen	opció	VGA, 2xUSB 2.0	SD, MS, MMC	magyar	Webcamera	új	268 x 197 x 25.5 mm			
Acer AO725- C6Ckk Notebook	70787 Ft	11.60 inch	HD WXGA (1366x768) LED	AMD C series processzor C-60B	1000 MHz	2048 MB	DDR3 1066MHz	320 GB	5400 rpm	-	- MB	1.30 Kg	1 év	4 cella	opció	Linux	igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0	Memóriakártya-olvasó	magyar	HD Webcamera	új				
Acer AS4352- B812G32MNkk Notebook	71575 Ft	14.00 inch	HD WXGA (1366x768) LED	Intel® Celeron™ Dual Core processzor B815	1600 MHz	2048 MB	DDR3 1333MHz	320 GB	5400 rpm	Intel® HD Graphics	- MB	2.25 Kg	1 év	6 cella	DVD-RW SuperMulti DL	Linux	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, HDMI	Memóriakártya-olvasó	magyar	HD Webcamera	új				
Asus X55U -SX007D Notebook	71575 Ft	15.60 inch	HD WXGA (1366x768) LED	AMD Dual Core processzor C-60	1000 MHz	2048 MB	DDR3 1333MHz	320 GB	5400 rpm	AMD Mobility Radeon™ HD 6290M	- MB	2.45 Kg	2 év	6 cella	DVD-RW SuperMulti DL	opció	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, VGA, HDMI, 1xUSB 3.0	Memóriakártya-olvasó	magyar	Webcamera	új	378 x 253 x 26,2-31,9 mm			
Packard Bell EASYNOTE TK-F4013-BZ-230HG Notebook	71575 Ft	15.60 inch	HD WXGA (1366x768) LED	AMD E series processzor 300	1300 MHz	2048 MB	DDR3 1066MHz	320 GB	5400 rpm	ATI Mobility Radeon™ HD6310	1024 MB		1 év	6 cella	DVD-RW SuperMulti DL	Linux	igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, HDMI	SD, MMC	magyar	Webcamera	új				
Packard Bell EASYNOTE TS-F4211-HR-453HG Notebook	76299 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Celeron™ processzor B815	1600 MHz	4096 MB	DDR3 1333MHz	500 GB	5400 rpm	Intel® HD Graphics 3000	- MB		1 év	6 cella	DVD-RW SuperMulti DL	Linux	igen	10/100Mbps, WLAN a/b/g/n	802.11b/g/n	opció	3xUSB 2.0, VGA, HDMI	SD, MMC	magyar	Webcamera	új				
Asus X55A -SX044D Notebook	77087 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Celeron™ Dual Core processzor B820	1700 MHz	2048 MB	DDR3 1333MHz	320 GB	5400 rpm	Intel® HD Graphics	- MB	2.52 Kg	2 év	6 cella	DVD-RW SuperMulti DL	opció	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, VGA, HDMI, 1xUSB 3.0	Memóriakártya-olvasó	magyar	Webcamera	új	251 x 378 x 25,5-31,9 mm			
Acer V3-531 -B824G32Makk Notebook	78661 Ft	15.60 inch	HD WXGA (1366x768) LED	Intel® Celeron™ Dual Core processzor B820	1700 MHz	4096 MB	DDR3 1333MHz	320 GB	5400 rpm	Intel® HD Graphics	- MB	2.40 Kg	1 év	6 cella	DVD-RW SuperMulti DL	Linux	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	VGA, Bluetooth, 2xUSB 3.0	Memóriakártya-olvasó	magyar	HD Webcamera	új				
Asus X55U -SX003D Notebook	79449 Ft	15.60 inch	HD WXGA (1366x768) LED	AMD E series processzor E-450	1650 MHz	2048 MB	DDR3 1333MHz	320 GB	5400 rpm	AMD Radeon™ HD6320	- MB	2.45 Kg	2 év	6 cella	DVD-RW SuperMulti DL	opció	igen	10/100/1000Mbps, WLAN a/b/g/n	802.11b/g/n	opció	USB 2.0, VGA, HDMI, 1xUSB 3.0	Memóriakártya-olvasó	magyar	Webcamera	új	378 x 253 x 26,2-31,9 mm			
