TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Chipset	LAN	WLAN	BT	HSDPA	TV ki	Audio	VGA ki	HDMI	DP	FP	Kamera	CR	ExpressCard	FW	eSata	USB	Egyéb	Méret
Packard Bell EasyNote F4211-HR-232HG	78661 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Celeron® Processor B815 (2M Cache, 1.60 GHz)	2GB DDR3/1333 MHz	320GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.7kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® HM65 Express	10/100mbps LAN	Wireless 802.11b/g/n	Nincs	Nincs	Nem	HD Audio	Van	Van	Nincs	Nincs	Webkamera 1,3MPixel - 1280x800 felbontással	5in1 Card reader	Nincs	Nincs	Nem	3db USB 2.0	Nem	376 x 262 x 31,8 mm	
ASUS X55U-SX007D	68425 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	AMD® C-60 Dual-Core™ (1.00 - 1.33 GHz, 1024 KB)	2GB DDR3/1333 MHz	320GB 5400RPM SATA	AMD Radeon™ HD6290	2.45kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW SM	FreeDos	AMD A68M	Gigabit LAN	Wireless 802.11b/g/n	Nincs	Nincs	Nem	Altec Lansing® hangszórók	Van	Van	Nincs	Nincs	Webkamera 0,3MPixel - 640x480 felbontás	2in1 Card reader	Nincs	Nincs	Nincs	1db USB 2.0 - 1db USB 3.0	Nem	378 x 253 x 26,2-31,9 mm	
HP 630 A6E76EA	78732 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Celeron® Processor B815 (2M Cache, 1.60 GHz)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.5kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® HM55 Express	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 2.1	Nincs	Nem	Altec Lansing® hangszórók	Van	Van	Nincs	Nincs	0.3MPixel HD	2in1 Card reader	Nincs	Nincs	Nincs	3db USB 2.0	Nem	376 x 247 x 31.8 mm	
Lenovo IdeaPad G575GL 59-345819	70787 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	AMD® E-300 Dual-Core (1.3Ghz, 1MB L2)	2GB DDR3/1066 MHz	320GB 5400RPM SATA	AMD Radeon™ HD6310	2.6Kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	AMD A50M (Hudson M1) Fusion™	10/100mbps LAN	Wireless 802.11b/g/n	Nem	Nincs	Nem	HD Audio	Van	Nincs	Nincs	Nincs	0,3MPixel - 640x480 felbontással	2in1 Card reader	Nincs	Nincs	Nem	2db USB 2.0	Nincs	376.8 x 249.8 x 17.3/34.9mm	
Packard Bell EasyNote F5211-HC-454HG	78661 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Celeron® Processor B820 (2M Cache, 1.70 GHz)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.6kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® HM65 Express	10/100mbps LAN	Wireless 802.11b/g/n	Nincs	Nincs	Nem	HD Audio	Van	Van	Nincs	Nincs	Webkamera 1,3MPixel - 1280x800 felbontással	5in1 Card reader	Nincs	Nincs	Nem	3db USB 2.0	Nem	381 x 253 x 25,2-33,2 mm	
ACER Aspire 4352-B812G32MNkk	71575 Ft	14.1" WXGA HD-LED GlareType 1366x768 pixel	Intel® Celeron® Processor B815 (2M Cache, 1.60 GHz)	2GB DDR3/1333 MHz	320GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.25kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW SM	Linux	Mobile Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Nincs	Nincs	Nem	Dolby® Advanced Audio® v2	Van	Van	Nincs	Nincs	Acer Crystal Eye HD webcam	5in1 Card reader	Nincs	Nincs	Nincs	3db USB 2.0	Nem	342 x 245 x 25.5/34.2 mm	
ASUS X55A-SX044D	73149 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Celeron® Processor B820 (2M Cache, 1.70 GHz)	2GB DDR3/1333 MHz	320GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.45kg	24 hónap	4700 mAh (Lithium-ion)	8x DVD+-RW SM	FreeDos	Intel® HM65 Express	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	Nem	SonicMaster Lite audio	Van	Van	Nincs	Nincs	Webkamera 0,3MPixel - 640x480 felbontás	2in1 Card reader	Nincs	Nincs	Nincs	1db USB 2.0 - 2db USB 3.0	Nem	378 x 253 x 26.2-31.9 mm	
HP 635 A1E51EA	78661 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	AMD® E-450 Dual-Core (1.65Ghz, 1MB L2)	4GB DDR3/1333 MHz	320GB 5400RPM SATA	ATi Mobility Radeon® HD4250	2.4kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	AMD RS880M	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 3.0	Nincs	Nem	Altec Lansing® hangszórók	Van	Van	Nincs	Nincs	0.3MPixel HD	2in1 Card reader	Nincs	Nincs	Nincs	3db USB 2.0	Nem	376 x 247 x 31.8 mm	
Lenovo IdeaPad G575GL 59-345828	74724 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	AMD® E-300 Dual-Core (1.3Ghz, 1MB L2)	4GB DDR3/1066 MHz	320GB 5400RPM SATA	AMD Radeon™ HD6310	2.6Kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	AMD A50M (Hudson M1) Fusion™	10/100mbps LAN	Wireless 802.11b/g/n	Nem	Nincs	Nem	HD Audio	Van	Nincs	Nincs	Nincs	0,3MPixel - 640x480 felbontással	2in1 Card reader	Nincs	Nincs	Nem	2db USB 2.0	Nincs	376.8 x 249.8 x 17.3/34.9mm	
LENOVO IdeaPad G570GH (59-324339)	78661 Ft	15.6" WXGA HD GlareType 1366x768 pixel	Intel® Celeron® Processor B800 (2M Cache, 1.50 GHz)	2GB DDR3/1333 MHz	320GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.6kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Intel® HM65 Express	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 2.1	Nincs	Nem	SRS Premium Surround Sound	Van	Van	Nincs	Nincs	0.3MPixel webkamera	5in1 Card reader	Nincs	Nincs	Nincs	4db USB 2.0	Nincs	376.8 x 249.8 x 17.3-34.9mm	
