TermékNév	Ár	TFT	CPU	RAM	HDD	HDD +	GPU	Súly	Gar.	Akku	ODD	OS	LAN	Portok	Kamera	Audio	Egyéb	Szín
Prestigio MultiPad 3270 Prime(PMP3270B) Tablet	25000 Ft	7" képátló, 800x480, 16:9	ARM Cortex A8 1GHz	512MB RAM	4GB		Video acceleration DSP	326g	2 év garancia	3000mAh, 5 óra		Android 4.0 Ice Cream Sandwich	802.11a/b/g/n, GPS nincs	3.5-mm minijack, Max. Támogatás 32GB SD/SDHC Card, USB 2.0	Előlapi 0.3 Mpixel	sztereó hangszóró	Töltő, USB adatkábel	Fekete	
Prestigio MultiPad 3370 (PMP3370B) Tablet	26000 Ft	7" képátló, 800x480, 16:9	ARM Cortex A8 1GHz	512MB RAM	4GB		Video acceleration DSP	326g	2 év garancia	3000mAh, 5 óra		Android 4.0 Ice Cream Sandwich	802.11a/b/g/n, GPS nincs	3.5-mm minijack, Max. Támogatás 32GB SD/SDHC Card, USB 2.0	Előlapi 0.3 Mpixel	sztereó hangszóró	Töltő, USB adatkábel	Fekete	
Acer Iconia Tab A200 (prios) Tablet	72900 Ft	10,1 képátló, 1280x800, 16:10	NVIDIA Tegra 250 1GHz/FSB 333MHz /1MB Cache	1GB RAM	8GB		NVIDIA Tegra 250	720g	1 év garancia	2 cellás, 3260 mAh, 6 óra		Android 3.2 Honeycomb	802.11b, g, n, Bluetooth, 3G Opcionális	HDMI, 3.5-mm minijack, Micro SD (max. 32GB), 2.0	Előlapi beépített	sztereó hangszóró, mikrofon		Ezüst	
Asus X55U-SX007D Notebook	72900 Ft	15,6", 1366x768, 16:9	AMD , AMD C-60 1GHz, 1 MB L2 Cache DualCore	2 GB, DDR3 1333MHz		320 GB, SATA-2	AMD Mobility Radeon HD6290	2,4 kg, 37,8 x 25,3 x 2,62 - 3,19 cm	2 év garancia	6 cella, 4400 mAh	DVD +/- RW, Super Multi	FreeDos	10/100/1000, 802.11.b/g/n WLAN	1x USB 2.0 - 1x USB 3.0, Bluetooth 3.0 High Speed , Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 0.3MPixel				
Lenovo Ideapad B570e (59-325615) Notebook	74900 Ft	15,6", 1366x768, 16:9	Intel Celeron DualCore, B800 - 1,5GHz /2MB Cache / FSB 1333MHtz	2 GB, DDR3 1333MHz		320 GB, SATA-2	Intel GMA HD	2,4 kg, 378 x33.1x252mm	2 év garancia	6 cella, 3 óra átlagos üzemidő	DVD +/- RW, Dual Layer	FreeDos	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, Bluetooth 2.1, 6 in 1 kártyaolovasó, DSUB, Ujjlenyomat olvasó, HDMI out	Camera 0.3MPixel		eSATA		
Packard Bell EASYNOTE F5211-HC-232HG Notebook	74900 Ft	15,6", 1366x768, 16:9	Intel Celeron DualCore, B820 - 1,7Ghz /2MB Cache / FSB 1333MHz	2 GB, DDR3 1066MHz		320 GB, SATA-2	Intel GMA HD	2,5 kg, 381.6 (W) x 253 (D) x 25.2/33.2 (H) mm	2 év garancia	6 cella, 4400 mAh	DVD +/- RW, Super Multi	Linux	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, 5 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Packard Bell EASYNOTE F5211-HC-260HG Notebook	74900 Ft	15,6", 1366x768, 16:9	Intel Celeron DualCore, B830 - 1.8 GHz/2MB Cache / FSB 1333MHz	2 GB, DDR3 1066MHz		500 GB, SATA-2	Intel GMA HD	2,5 kg, 381.6 (W) x 253 (D) x 25.2/33.2 (H) mm	2 év garancia	6 cella, 4400 mAh	DVD +/- RW, Super Multi	Linux	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, 5 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Packard Bell EASYNOTE F5211-BZ-231HG Notebook	75900 Ft	15,6", 1366x768, 16:9	AMD , AMD E-450 1.66 GHz / 1MB Cache 18W	2 GB, DDR3 1333MHz		320 GB, SATA-2	AMD Radeon HD 6320	2,5 kg, 381.6 (W) x 253 (D) x 25.2/33.2 (H) mm	1 év garancia	6 cella, 4400 mAh	DVD +/- RW, Super Multi	Linux	10/100/1000, 802.11.b/g/n WLAN	3 db USB 2.0 port, 5 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.3MPix				
Asus X55U-SX003D Notebook	76900 Ft	15,6", 1366x768, 16:9	AMD , AMD E-450 1.66 GHz / 1MB Cache 18W	2 GB, DDR3 1333MHz		320 GB, SATA-2	AMD Radeon HD 6320	2,4 kg, 37,8 x 25,3 x 2,62 - 3,19 cm	2 év garancia	6 cella, 4400 mAh	DVD +/- RW, Super Multi	FreeDos	10/100/1000, 802.11.b/g/n WLAN	1x USB 2.0 - 1x USB 3.0, Bluetooth 3.0 High Speed , Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 0.3MPixel				
Lenovo Ideapad G570GL (59-333895) Notebook	77900 Ft	15,6", 1366x768, 16:9	Intel DualCore, B800 - 1,5GHz /2MB Cache / FSB 1333MHtz	2 GB, DDR3 1333MHz		320 GB, SATA-2	Intel Graphics 3000 HD	2,6 kg, 376.8x17.3~34.9x249.8mm	2 év garancia	6 cella, 4400 mAh	DVD +/- RW, Super Multi	FreeDos	10/100, 802.11.b/g/n WLAN	4 db USB 2.0 port, 5 in 1 kártyaolvasó, DSUB	Camera 0.3MPixel				
Lenovo ideaPad G575GL (59-345819) Notebook	77900 Ft	15,6", 1366x768, 16:9	AMD , AMD E-300 APU 1.3GHz / 800MHz/1MB L2	2 GB, DDR3 1333MHz		320 GB, SATA-2	ATI Mobility Radeon HD6310	2,6 kg, 376.8mm x249.8mm x17.3~34.9 mm	2 év garancia	6 cella, 4,5 óra átlagos üzemidő , 4400 mAh	DVD +/- RW, Dual Layer	FreeDos	10/100, 802.11.b/g/n WLAN	4 db USB 2.0 port, Bluetooth 2.1, 2 in 1 kártyaolvasó, DSUB	Camera 0.3MPixel				
