TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Chipset	Audio	Bill.	Portok	Multimédia	Méret	Szállítás		Biztonság	Mobil internet modul
ASUS EEE PC X101CH-WHI006W Netbook pixelhibás	47165 Ft	10,1" WXGA matt LED TFT 16:9 (1024x600)	Intel® Atom™ Dual-Core N2600 (1M Cache, 1.6 GHz)	2GB DDR3 1066MHz	320GB SATA 5400rpm	Intel® Graphics Media Accelerator 3150	1 kg		3-cellás Lithium-Ion	opcionális külső író (nem tartozék)		Intel® NM10 Express	Beépített sztereó hangszórók	magyar	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített 0,3Mpixel webkamera, 3 az 1-ben kártyaolvasó (SD,MMC, MS)	262 x 180 x 22 mm	következő munkanapon				
Acer AOD270-26CWS NU.SGEEU.003 Netbook	53465 Ft	10,1" WSVGA fényes LED TFT 16:9 (1024x600)	Intel® Atom™ Dual-Core N2600 (1M Cache, 1.6 GHz)	2GB DDR3 1066MHz	320GB SATA 5400rpm	Intel® Graphics Media Accelerator 3600	1,3 kg		6cellás (48WHr) lithium-ion	opcionális külső író (nem tartozék)		Intel® NM10 Express	Intel High Definition audio compliant audio chip	magyar	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített 0,3Mpixel webkamera, Multi az 1-ben kártyaolvasó	256,5 x 184 x 24 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Acer AOD270-26CKK NU.SGAEU.007 Netbook	53465 Ft	10,1" WSVGA fényes LED TFT 16:9 (1024x600)	Intel® Atom™ Dual-Core N2600 (1M Cache, 1.6 GHz)	2GB DDR3 1066MHz	320GB SATA 5400rpm	Intel® Graphics Media Accelerator 3600	1,3 kg		6cellás (48WHr) lithium-ion	opcionális külső író (nem tartozék)		Intel® NM10 Express	Intel High Definition audio compliant audio chip	magyar	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített 0,3Mpixel webkamera, Multi az 1-ben kártyaolvasó	256,5 x 184 x 24 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
ASUS EEE PC R051BX-WHI003W Fehér Netbook	53465 Ft	10,1" WXGA matt LED TFT 16:9 (1024x600)	AMD C-50 Dual-Core™ (1.00 GHz, 1024 KB)	1GB DDR3 1066MHz	320GB SATA 5400rpm	AMD Radeon™ HD 6250	1.17 kg		3-cellás (28 WHr) Lithium-Ion	opcionális külső író (nem tartozék)		AMD A50M (Hudson M1) Fusion™	Beépített sztereó hangszórók	magyar	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó	262 x 178 x 23.6 ~ 36.4 mm	nincs raktáron				
ASUS EEE PC 1015BX-BLK043W Fekete	55039 Ft	10,1" WSVGA LED matt TFT (1024 x 600)	AMD C-50 Dual-Core™ (1.00 GHz, 1024 KB)	2GB DDR3 1066MHz	320GB SATA 5400rpm	AMD Radeon™ HD 6250	1,17 kg		3-cellás (28 WHr) Lithium-Ion	opcionális külső író (nem tartozék)		AMD A50M (Hudson M1) Fusion™	HD Audio, 2 speakers	magyar	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó	262 x 178 x 23,6 - 36,4 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Acer AOD270-26CBB NU.SGDEU.004 Netbook	55039 Ft	10,1" WSVGA fényes LED TFT 16:9 (1024x600)	Intel® Atom™ Dual-Core N2600 (1M Cache, 1.6 GHz)	2GB DDR3 1066MHz	320GB SATA 5400rpm	Intel® Graphics Media Accelerator 3600	1,3 kg		6cellás (48WHr) lithium-ion	opcionális külső író (nem tartozék)		Intel® NM10 Express	Intel High Definition audio compliant audio chip	magyar	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített 0,3Mpixel webkamera, Multi az 1-ben kártyaolvasó	256,5 x 184 x 24 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
Acer AOD270-26D NU.SGCEU.004 Netbook	55512 Ft	10,1" WSVGA fényes LED TFT 16:9 (1024x600)	Intel® Atom™ Dual-Core N2600 (1M Cache, 1.6 GHz)	2GB DDR3 1066MHz	320GB SATA 5400rpm	Intel® Graphics Media Accelerator 3600	1,3 kg		6cellás (48WHr) lithium-ion	opcionális külső író (nem tartozék)		Intel® NM10 Express	Intel High Definition audio compliant audio chip	magyar	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített 0,3Mpixel webkamera, Multi az 1-ben kártyaolvasó	256,5 x 184 x 24 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
ASUS EEE PC 1011PX-BLK120S Netbook	56299 Ft	10,1" WXGA matt LED TFT 16:9 (1024x600)	Intel® Atom™ Dual-Core N570 (1M Cache, 1.66 GHz)	1GB DDR3 1066MHz	320GB SATA 5400rpm	Intel® Graphics Media Accelerator 3150	1.25 kg		3 cellás (23 WHr) Lithium-Ion	opcionális külső író (nem tartozék)	Windows7 Starter Edition Magyar	Intel® NM10 Express	HD Audio, 2 speakers	magyar	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (3db), Wireless LAN 802.11 b/g/n (WiFi)	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó	262 x 178 x 23.6 ~ 36.4 mm	nincs raktáron				
ASUS EEE PC X101CH-BLK009W Fekete Netbook	56457 Ft	10,1" WXGA matt LED TFT 16:9 (1024x600)	Intel® Atom™ Dual-Core N2600 (1M Cache, 1.6 GHz)	2GB DDR3 1066MHz	320GB SATA 5400rpm	Intel® Graphics Media Accelerator 3150	1 kg		3-cellás Lithium-Ion	opcionális külső író (nem tartozék)		Intel® NM10 Express	Beépített sztereó hangszórók	magyar	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített 0,3Mpixel webkamera, 3 az 1-ben kártyaolvasó (SD,MMC, MS)	262 x 180 x 22 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
ASUS EEE PC X101CH-WHI006W Fehér Netbook	56457 Ft	10,1" WXGA matt LED TFT 16:9 (1024x600)	Intel® Atom™ Dual-Core N2600 (1M Cache, 1.6 GHz)	2GB DDR3 1066MHz	320GB SATA 5400rpm	Intel® Graphics Media Accelerator 3150	1 kg		3-cellás Lithium-Ion	opcionális külső író (nem tartozék)		Intel® NM10 Express	Beépített sztereó hangszórók	magyar	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi)	beépített 0,3Mpixel webkamera, 3 az 1-ben kártyaolvasó (SD,MMC, MS)	262 x 180 x 22 mm	raktáron (48 órán /2 munkanapon/ belül szállítjuk)				
