TermékNév	Ár	TFT	TFT Szabány	TFT Méret	TFT Méret +	TFT Felb.	TFT X	TFT Y	TFT Arány	TFT Típus	TFT Touch	TFT Fok	TFT Színhű	CPU	CPU Gyártó	CPU Család	CPU Magok	CPU Frek.	CPU Turbo	CPU SS	CPU Cache	CPU RAM Max	CPU 64	CPU Tech	CPU Wh	CPU Virt	CPU HT	RAM	RAM Méret	RAM Típus	HDD	HDD Típus	HDD 2	HDD 2 Típus	GPU	GPU Gyártó	GPU Család	GPU Típus	GPU Mem	GPU Mem Típus	GPU Tech	GPU DX	GPU Shader	GPU OGL	Súly	Akku	Akku Cella	Akku Wh	Akku Típus	Akku Idő	ODD	ODD Hely	ODD CD	ODD DVD	ODD BR	OS	OS Család	OS Típus	OS Nyelv	OS 32/64	Modell	Kategória	Egyéb	LAN	WLAN	BT	CR	USB	VGA ki	HDMI	Audio	Mikrofon	Kamera	Bill.	Bill. Szín	Bill. Gombok	FP	Kensington	Széles	Mély	Magas	HSDPA	ExpressCard	USB 3	DP	Mikrofon be	Backlit KB	Multitouch	AC	HDD RPM	FW	GPS	Dokk	TPM	TFT 3D	Bill. Num	SPDIF	eSata	Modem	Utazó akkumulátor csatlakozó	Com	Optikai meghajtóLightscribe
SONY VAIO Z széria notebook	692038 Ft	13.1" HD (1600x900) Display Premium AG LED	WXGA++	13,1 "	matt	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	széles	Igen	Intel Core i7 2620M	Intel	Core i7	2	2,70 GHz	3,4 GHz	Igen	4 MB	8 GB	Igen	32 nm	35 W	Igen	Igen	8GB DDR3	8 GB	DDR3	256 GB	SSD			GMA HD3000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	10,1	4,1	3,0	1,2 kg	SONY VAIO Z series 6-cell	6	48 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit		felső kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	1 db USB	Igen	Igen	Igen	mono	HD	Magyar billentyűzet	sötét alapon világos karakterek	2	Igen	Igen	330 mm	210 mm	17 mm																						
LENOVO ThinkPad T530 notebook	267629 Ft	15.6" HD+ (1600x900) AG LED	WXGA++	15,6 "	matt	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	normál		Intel Core i5 3210M	Intel	Core i5	2	2,50 GHz	3,1 GHz	Igen	3 MB	16 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD3000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	10,1	4,1	3,0	2,5 kg	LENOVO ThinkPad T530 6-cell	6	56 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	LENOVO ThinkPad T	felső kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	3 db USB	Igen		Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	4	Igen	Igen	373 mm	245 mm	32 mm	foglalat	Igen	2 db USB3	Igen	Igen	Igen	Igen	90 W	7200 fordulat/perc													
Apple Macbook Pro 15.4" notebook	484164 Ft	15.4" HD+ (1440x900) Glossy LED	WXGA+	15,4 "	fényes	HD+ (900p képes)	1440 pixel	900 pixel	16:10	LED TFT	nem	széles		Intel Core i7 3610QM	Intel	Core i7	4	2,30 GHz	3,3 GHz	Igen	6 MB	32 GB	Igen	22 nm	45 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GeForce GT 650M	NVIDIA	GeForce	dedikált (közép kategória)	0,5 GB	GDDR3	28 nm	11,1	5,0	4,1	2,4 kg	APPLE Macbook Pro 15" 6-cell	6	77 Wh	Li-Ion Polymer	kiváló	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Mac OS X 10.7 (Lion)	Mac OS	MAC	Angol	32 bit	APPLE Macbook Pro	felső kategória	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	2 db USB			Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek			Igen	325 mm	227 mm	24 mm			2 db USB3	Igen	Igen	Igen	Igen	85 W	5400 fordulat/perc	Igen												
HP Elitebook 2170p Premium Business notebook	302275 Ft	11.6" HD (1366x768) AG LED	WXGA	11,6 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 3427U	Intel	Core i5	2	1,80 GHz	2,8 GHz	Igen	3 MB	32 GB	Igen	22 nm	17 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	1,3 kg	HP Elitebook 2170p 6-cell	6	48 Wh	Li-Ion	kiváló						Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	HP EliteBook 21xx	felső kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	2 db USB	Igen		Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	4	Igen	Igen	292 mm	192 mm	27 mm	3G/HSDPA		2 db USB3	Igen	Igen	Igen	Igen	65 W	7200 fordulat/perc		Igen	Igen	Igen									
TOSHIBA Qosmio X870 notebook (ezüst)	457393 Ft	17.3" 3D, Full HD (1920x1080) TruBrite LED	WUXGA	17,3 "	fényes	Full HD (1080p képes)	1920 pixel	1080 pixel	16:9	LED TFT	nem	normál		Intel Core i7 3610QM	Intel	Core i7	4	2,30 GHz	3,3 GHz	Igen	6 MB	32 GB	Igen	22 nm	45 W	Igen	Igen	12GB DDR3	12 GB	DDR3	750 GB	HDD	750 GB	HDD	GeForce GTX 670M / 3GB	NVIDIA	GeForce	dedikált (felső kategória)	3,0 GB	GDDR5	40 nm	11,0	5,0	4,2	3,6 kg	TOSHIBA Qosmio X870 6-cell	6	47 Wh	Li-Ion	normál	Blu-Ray R/RE - DVD+/-RW combo	beépített	ír és olvas	ír és olvas	ír és olvas	Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit	TOSHIBA Qosmio X	felső kategória	otthoni	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	3D HD	Magyar billentyűzet	sötét alapon világos karakterek				418 mm	273 mm	37 mm			4 db USB3		Igen	Igen	Igen	180 W	7200 fordulat/perc					Igen	Igen							
ASUS G75 notebook	410149 Ft	17.3" Full HD (1920x1080) ColorShine LED	WUXGA	17,3 "	fényes	Full HD (1080p képes)	1920 pixel	1080 pixel	16:9	LED TFT	nem	széles		Intel Core i7 3610QM	Intel	Core i7	4	2,30 GHz	3,3 GHz	Igen	6 MB	32 GB	Igen	22 nm	45 W	Igen	Igen	8GB DDR3	8 GB	DDR3	160 GB	SSD	750 GB	HDD	GeForce GTX 660M / 2GB	NVIDIA	GeForce	dedikált (felső kategória)	2,0 GB	GDDR5	28 nm	11,0	5,0	4,1	4,5 kg	ASUS G75 8-cell	8	74 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit	ASUS G7x	felső kategória	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	415 mm	320 mm	17 mm			4 db USB3	Igen	Igen	Igen	Igen	180 W	5400 fordulat/perc					Igen	Igen	Igen						
ASUS G55 notebook	306220 Ft	15.6" Full HD (1920x1080) ColorShine LED	WUXGA	15,6 "	fényes	Full HD (1080p képes)	1920 pixel	1080 pixel	16:9	LED TFT	nem	széles		Intel Core i5 3210M	Intel	Core i5	2	2,50 GHz	3,1 GHz	Igen	3 MB	16 GB	Igen	22 nm	35 W	Igen	Igen	8GB DDR3	8 GB	DDR3	750 GB	SSH	750 GB	HDD	GeForce GTX 660M / 2GB	NVIDIA	GeForce	dedikált (felső kategória)	2,0 GB	GDDR5	28 nm	11,0	5,0	4,1	3,8 kg	ASUS G55 8-cell	8	74 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 HP 64bit hun	Windows 7	Home	Magyar	64 bit	ASUS G5x	felső kategória	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2		Igen	384 mm	299 mm	20 mm			4 db USB3	Igen	Igen	Igen	Igen	180 W	5400 fordulat/perc					Igen	Igen	Igen						
Apple Macbook Air 13.3" notebook	412511 Ft																																																																																																						
HP Elitebook 8570w Premium Business notebook	352669 Ft	15.6" Full HD (1920x1080) AG WVA LED	WUXGA	15,6 "	matt	Full HD (1080p képes)	1920 pixel	1080 pixel	16:9	LED TFT	nem	széles		Intel Core i5 3360M	Intel	Core i5	2	2,80 GHz	3,5 GHz	Igen	3 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			FirePro M4000 / 1GB	AMD	FirePro	dedikált (közép kategória)	1,0 GB	GDDR5	28 nm	11,0	5,0	4,2	3,0 kg	HP Elitebook 8570w 8-cell	8	83 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	HP EliteBook 85xx	felső kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen		Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	6	Igen	Igen	382 mm	258 mm	35 mm	foglalat	Igen	2 db USB3	Igen	Igen		Igen	120 W	7200 fordulat/perc	Igen		Igen			Igen		Igen					
HP Elitebook 8770w Mobile Workstation notebook	381015 Ft	17.3" Full HD (1920x1080) AG WVA LED	WUXGA	17,3 "	matt	Full HD (1080p képes)	1920 pixel	1080 pixel	16:9	LED TFT	nem	széles		Intel Core i5 3360M	Intel	Core i5	2	2,80 GHz	3,5 GHz	Igen	3 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			FirePro M4000 / 1GB	AMD	FirePro	dedikált (közép kategória)	1,0 GB	GDDR5	28 nm	11,0	5,0	4,2	3,5 kg	HP Elitebook 8770w 8-cell	8	83 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	HP EliteBook 87xx	felső kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	4 db USB	Igen		Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	6	Igen	Igen	417 mm	273 mm	37 mm		Igen	2 db USB3	Igen	Igen		Igen	200 W	7200 fordulat/perc	Igen		Igen			Igen		Igen					
