TermékNév	Ár	TFT Felb.	TFT Méret	TFT Típus	TFT Arány	CPU Gyártó	CPU Család	CPU Típus	RAM Méret	RAM	RAM Slot	HDD	HDD Méret	HDD Seb.	GPU	Súly	Akku cella	OS	ODD	Chipset	WLAN	Kamera Felb.	USB	VGA ki	Audio	LAN	CR	Kensington	Anyag	Szín	Széles	Magas	Mély	Család	RAM Modul	AC	Hangszóró	Mikrofon	Bill. num	HDMI	USB 3	Technológia	HSDPA	HDD 2	HDD 2 Méret	BT	TB	Egyéb	2.Háttértár fordulatszám	Tárolt energia	Elektromos töltés	3D Technológia	Mini DisplayPort ki	Billentyűzet világítás	Egyéb szín	Micro HDMI ki	Pixelhiba	Tanúsítvány(ok)	DisplayPort ki	Ujjlenyomat olvasó	Leejtés védelem	TPM	Dokkolható	eSATA ki	ExpressCard	FireWire 400 ki	Soros
ACER AS5250-E302G32MNKK 15,6"/AMD Dual-Core E-300 1,3GHz/2GB/320GB/DVD író/Fekete notebook	0 Ft	1366x768	15,6"	LED	Fényes	AMD	E-300	AMD Dual-Core E-300 (1,3GHz, 1MB)	2,0 GB	DDR3-1066	2 db	HDD	320 GB	5400 rpm	AMD Radeon HD 6310	2,60 kg	6	Linux	DVD SuperMulti	AMD	802.11 b/g/n	1,30 MP	3 db	1 db	Igen	10/100 Mb/s	Igen	Igen	Műanyag	Fekete	381,00 mm	34,00 mm	253,0 mm	Aspire 5250	1 x 2	65 watt	Sztereó	Igen	Igen																													
ACER AS5349-B812G32MNKK 15,6"/Intel Celeron Dual-Core B815 1,6Hz/2GB/320GB/DVD író/Fekete notebook	0 Ft	1366x768	15,6"	LED	Fényes	Intel	Celeron	Intel Celeron Dual-Core B815 (1,6 GHz, 2 MB)	2,0 GB	DDR3-1066	2 db	HDD	320 GB	5400 rpm		2,40 kg	6	Linux	DVD SuperMulti	Intel	802.11 b/g/n	1,30 MP	3 db	1 db	Igen	10/100 Mb/s	Igen	Igen	Műanyag	Fekete	381,00 mm	34,70 mm	253,0 mm	Aspire 5349	1 x 2	65 watt	Sztereó	Igen	Igen	1 db																												
ACER AS5349-B812G32MNKK+W7HP Bundle 15,6"/Intel Celeron Dual-Core B815 1,6Hz/2GB/320GB/DVD író/Win7/Fekete notebook	0 Ft	1366x768	15,6"	LED	Fényes	Intel	Celeron	Intel Celeron Dual-Core B815 (1,6 GHz, 2 MB)	2,0 GB	DDR3-1066	2 db	HDD	320 GB	5400 rpm		2,40 kg	6	Windows 7 Home Premium OEM bundle 64 bit	DVD SuperMulti	Intel	802.11 b/g/n	1,30 MP	3 db	1 db	Igen	10/100 Mb/s	Igen	Igen	Műanyag	Fekete	381,00 mm	34,70 mm	253,0 mm	Aspire 5349	1 x 2	65 watt	Sztereó	Igen	Igen	1 db																												
ACER AS5560-4054G50MNBB 15,6"/AMD A4-3305M 1,9GHz/4GB/500GB/DVD író/Kék notebook	0 Ft	1366x768	15,6"	LED	Fényes	AMD	A4	AMD Dual-Core A4-3305M (1,9 GHz, 1 MB)	4,0 GB	DDR3-1066	2 db	HDD	500 GB	5400 rpm	AMD Radeon HD 6480G	2,60 kg	6	Linux	DVD SuperMulti	AMD	802.11 b/g/n	1,30 MP	3 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Műanyag	Kék	381,60 mm	33,20 mm	253,0 mm	Aspire 5560	1 x 4	65 watt	Sztereó	Igen	Igen	1 db																												
ACER AS5560-4334G75MNRR 15,6"/AMD A4-3300M 1,9GHz/4GB/750GB/DVD író/Piros notebook	0 Ft	1366x768	15,6"	fényes	Fényes	AMD	A4	AMD Dual-Core A4-3300M (1,9 GHz, 2 MB)	4,0 GB	DDR3-1066	2 db	HDD	750 GB	5400 rpm	AMD Radeon HD 6480G 512MB	2,60 kg	6	Linux	DVD SuperMulti	AMD	802.11 b/g/n	1,30 MP	3 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Műanyag	Piros	381,60 mm	33,20 mm	253,0 mm	Aspire 5560	2 x 2	65 watt	Sztereó	Igen	Igen	1 db																												
ACER AS5560G-4054G50MNRR 15,6"/AMD A4-3305M 1,9GHz/4GB/500GB/DVD író/piros notebook	0 Ft	1366x768	15,6"	LED	Fényes	AMD	A4	AMD Dual-Core A4-3305M (1,9 GHz, 1 MB)	4,0 GB	DDR3-1066	2 db	HDD	500 GB	5400 rpm	ATI Radeon HD7470 1GB	2,60 kg	6	Linux	DVD SuperMulti	AMD	802.11 b/g/n	1,30 MP	3 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Műanyag	Piros	381,60 mm	33,20 mm	253,0 mm	Aspire 5560G	1 x 4	90 watt	Sztereó	Igen	Igen	1 db																												
ACER AS5733-382G32MNKK 15,6"/Intel Core i3-380 2,53Hz/2GB/320GB/DVD író notebook	0 Ft	1366x768	15,6"	LED	Fényes	Intel	Core i3	Intel Core i3-380M (2,53 GHz, 2 x 256 KB + 3 MB)	2,0 GB	DDR3-1066	2 db	HDD	320 GB	5400 rpm		2,60 kg	6	Linux	DVD SuperMulti	Intel	802.11 b/g/n	1,30 MP	3 db	1 db	Igen	10/100 Mb/s	Igen	Igen	Műanyag	Fekete	381,00 mm	34,00 mm	253,0 mm	Aspire 5733	1 x 2	65 watt	Sztereó	Igen	Igen																													
ACER AS5733Z-P622G32MIKK 15,6"/Intel Pentium Dual-Core P6200 2,13Hz/2GB/320GB/DVD író notebook	0 Ft	1366x768	15,6"	LED	Fényes	Intel	Pentium	Intel Pentium Dual-Core P6200 (2,13 GHz, 2 x 256 KB + 3 MB)	2,0 GB	DDR3-1066	2 db	HDD	320 GB	5400 rpm		2,65 kg	6	Linux	DVD SuperMulti	Intel	802.11 b/g/n	1,30 MP	3 db	1 db	Igen	10/100 Mb/s	Igen	Igen	Műanyag	Fekete	381,00 mm	34,00 mm	253,0 mm	Aspire 5733Z	1 x 2	65 watt	Sztereó	Igen	Igen																													
ACER AS5733Z-P622G50MNKK 15,6"/Intel Pentium Dual-Core P6200 2,13Hz/2GB/500GB/DVD író notebook	0 Ft	1366x768	15,6"	LED	Fényes	Intel	Pentium	Intel Pentium Dual-Core P6200 (2,13 GHz, 2 x 256 KB + 3 MB)	2,0 GB	DDR3-1066	2 db	HDD	500 GB	5400 rpm		2,60 kg	6	Linux	DVD SuperMulti	Intel	802.11 b/g/n	1,30 MP	3 db	1 db	Igen	10/100 Mb/s	Igen	Igen	Műanyag	Fekete	381,00 mm	34,00 mm	253,0 mm	Aspire 5733Z	1 x 2	65 watt	Sztereó	Igen	Igen																													
ACER AS5742G-382G32MNKK 15,6"/Intel Core i3-380 2,53Hz/2GB/320GB/DVD író notebook	0 Ft	1366x768	15,6"	LED	Fényes	Intel	Core i3	Intel Core i3-380M (2,53 GHz, 2 x 256 KB + 3 MB)	2,0 GB	DDR3-1066	2 db	HDD	320 GB	5400 rpm	NVIDIA GeForce G610M 1GB	2,60 kg	6	Linux	DVD SuperMulti	NVIDIA	802.11 b/g/n	1,30 MP	3 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Műanyag	Fekete	381,00 mm	34,00 mm	253,0 mm	Aspire 5742G	1 x 2	90 watt	Mono	Igen	Igen	1 db																												
ACER AS5742ZG-P622G32MNKK 15,6"/Intel Pentium Dual-Core P6200 2,13Hz/2GB/320GB/DVD író notebook	0 Ft	1366x768	15,6"	LED	Fényes	Intel	Pentium	Intel Pentium Dual-Core P6200 (2,13 GHz, 2 x 256 KB + 3 MB)	2,0 GB	DDR3-1066	2 db	HDD	320 GB	5400 rpm	NVIDIA GeForce G610M 1GB	2,60 kg	6	Linux	DVD SuperMulti	NVIDIA	802.11 b/g/n	1,30 MP	3 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Műanyag	Fekete	381,00 mm	34,00 mm	253,0 mm	Aspire 5742ZG	1 x 2	90 watt	Sztereó	Igen	Igen	1 db																												
ACER AS5742Z-P624G50MNCC 15,6"/Intel Pentium Dual-Core P6200 2,13Hz/4GB/500GB/DVD író/Barna notebook	0 Ft	1366x768	15,6"	LED	Fényes	Intel	Pentium	Intel Pentium Dual-Core P6200 (2,13 GHz, 2 x 256 KB + 3 MB)	4,0 GB	DDR3-1066	2 db	HDD	500 GB	5400 rpm		2,60 kg	6	Linux	DVD SuperMulti	Intel	802.11 b/g/n	1,30 MP	3 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Műanyag	Barna	381,00 mm	34,00 mm	253,0 mm	Aspire 5742Z	1 x 4	65 watt	Sztereó	Igen	Igen	1 db																												
ACER AS5749-32354G50MNKK 15,6"/Intel Core i3-2350M 2,3GHz/4GB/500GB/DVD író/notebook	0 Ft	1366x768	15,6"	LED	Fényes	Intel	Core i3	Intel Core i3-2350M (2,3 GHz, 3 MB)	4,0 GB	DDR3-1066	2 db	HDD	500 GB	5400 rpm		2,40 kg	6	Linux	DVD SuperMulti	Intel	802.11 b/g/n	0,30 MP	3 db	1 db	Igen	10/100 Mb/s	Igen	Igen	Műanyag	Fekete	381,00 mm	34,70 mm	253,0 mm	Aspire 5749	1 x 4	65 watt	Sztereó	Igen	Igen	1 db																												
ACER AS5749Z-B964G75MNKK 15,6"/Intel Pentium Dual-Core B960 2,2Hz/4GB/750GB/DVD író/Win7/Fekete notebook	0 Ft	1366x768	15,6"	LED	Fényes	Intel	Pentium	Intel Pentium Dual-Core B960 (2,2 GHz, 2 MB)	4,0 GB	DDR3-1066	2 db	HDD	750 GB	5400 rpm		2,40 kg	6	Windows 7 Home Premium 64 bit	DVD SuperMulti	Intel	802.11 b/g/n	0,30 MP	3 db	1 db	Igen	10/100 Mb/s	Igen	Igen	Műanyag	Fekete	381,00 mm	34,70 mm	253,0 mm	Aspire 5749Z	1 x 4	65 watt	Sztereó	Igen	Igen	1 db																												
ACER AS5750G-2334G64MNKK 15,6"/Intel Core i3-2330M 2,2GHz/4GB/640GB/DVD író/Fekete notebook	0 Ft	1366x768	15,6"	LED	Fényes	Intel	Core i3	Intel Core i3-2330M (2,2 GHz, 3 MB)	4,0 GB	DDR3-1066	2 db	HDD	640 GB	5400 rpm	NVIDIA GeForce GT 520M 1GB	2,60 kg	6	Linux	DVD SuperMulti	NVIDIA	802.11 b/g/n	1,30 MP	3 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Műanyag	Fekete	381,60 mm	33,20 mm	253,0 mm	Aspire 5750G	1 x 4	90 watt	Sztereó	Igen	Igen	1 db																												
ACER AS5750Z-B964G50MNKK 15,6"/Intel Pentium Dual-Core B960 2,2Hz/4GB/500GB/DVD író/Fekete notebook	0 Ft	1366x768	15,6"	LED	Fényes	Intel	Pentium	Intel Pentium Dual-Core B960 (2,2 GHz, 2 MB)	4,0 GB	DDR3-1066	2 db	HDD	500 GB	5400 rpm		2,60 kg	6	Linux	DVD SuperMulti	Intel	802.11 b/g/n	1,30 MP	3 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Műanyag	Fekete	381,60 mm	33,20 mm	253,0 mm	Aspire 5750Z	1 x 4	65 watt	Sztereó	Igen	Igen	1 db																												
ACER AS5750Z-B964G75MNKK 15,6"/Intel Pentium Dual-Core B960 2,2Hz/4GB/750GB/DVD író/Fekete notebook	0 Ft	1366x768	15,6"	LED	Fényes	Intel	Pentium	Intel Pentium Dual-Core B960 (2,2 GHz, 2 MB)	4,0 GB	DDR3-1066	2 db	HDD	750 GB	5400 rpm		2,60 kg	6	Linux	DVD SuperMulti	Intel	802.11 b/g/n	1,30 MP	3 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Műanyag	Fekete	381,60 mm	33,20 mm	253,0 mm	Aspire 5750Z	1 x 4	65 watt	Sztereó	Igen	Igen	1 db																												
ACER AS5750Z-B964G75MNKK+W7HP Bundle 15,6"/Intel Pentium Dual-Core B960 2,2Hz/4GB/750GB/DVD író/Fekete notebook	0 Ft	1366x768	15,6"	LED	Fényes	Intel	Pentium	Intel Pentium Dual-Core B960 (2,2 GHz, 2 MB)	4,0 GB	DDR3-1066	2 db	HDD	750 GB	5400 rpm		2,60 kg	6	Windows 7 Home Premium OEM bundle 64 bit	DVD SuperMulti	Intel	802.11 b/g/n	1,30 MP	3 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Műanyag	Fekete	381,60 mm	33,20 mm	253,0 mm	Aspire 5750Z	1 x 4	65 watt	Sztereó	Igen	Igen	1 db																												
ACER AS5750ZG-B954G50MNKK 15,6"/Intel Pentium Dual-Core B950 2,1Hz/4GB/500GB/DVD író/Fekete notebook	0 Ft	1366x768	15,6"	LED	Fényes	Intel	Pentium	Intel Pentium Dual-Core B950 (2,1 GHz, 2 MB)	4,0 GB	DDR3-1066	2 db	HDD	500 GB	5400 rpm	NVIDIA GeForce GT 520M 1GB	2,60 kg	6	Linux	DVD SuperMulti	NVIDIA	802.11 b/g/n	1,30 MP	3 db	1 db	Igen	10/100/1000 Mb/s	Igen	Igen	Műanyag	Fekete	381,60 mm	33,20 mm	253,0 mm	Aspire 5750ZG	1 x 4	90 watt	Sztereó	Igen	Igen	1 db																												
