TermékNév	Ár	TFT Méret	TFT Típus	TFT Felb.	CPU	RAM	RAM Típus	HDD	GPU	Súly	Gar.	Akku	ODD	OS	LAN	WLAN	Modem	USB	USB 3	FP	CR	BT	FW	Audio	Kamera	TV in	VGA ki	Portok	HSDPA	Szín	Dokk	Szoftverek	Tartozék	Backlit KB	Info	Mely típushoz	Méret	Foglalat típusa	Kiszerelés	Magszám	Valós frekvencia	Szorzó	Cache	L1 Cache	L2 Cache	L3 Cache	FSB	Egyéb képességek	FDD	Busz
HPQ NB ProBook 6470b 14" HD+, Core i5-3210M 2.5GHz, 4GB, 500GB, DVD-RW, BT, FPR, Win 7 Prof 64 bit, 6cell	214864 Ft	14	Matt	1600 x 900 (WUGA) 16	Intel Core i5	4096	DDRIII	500	Alaplapi Integrált VGA	2,03	3 év el- és visszaszállításos garancia	6 cella	DVD-RW +/-	MS W. 7 Professional 64bit HU/ENG	10/100/1000	802.11b/g/n	Nem	1	2	Igen	Igen	4.0	1	Igen	0,92	Nem	D-Sub + Display Port	eSATA	Nincs	Szürke	USB/dokkoló porton	-	1x ExpressCard/54, 1x médiakártya-olvasó	Nem	http																
LENOVO NB ThinkPad T530, 15.6" HD, Intel Core i5-3320M 2.60 GHz, 4GB, 500GB, DVD-RW, Intel HD Graphics 4000, Win7Pro64, 6cell	259896 Ft	15,6	Matt	1366 x 768 (WXGA) 16	Intel Core i5	4096	DDRIII	500	Intel HD Graphics 4000	2,57	3 év szervizben	6 cella	DVD-RW +/- DL	MS W. 7 Professional 64bit HU/ENG	10/100/1000	802.11a/g/n	Nem	1	2	Nem	4-1	4.0		Igen		Nem	D-Sub + Display Port	n.a.	Foglalat	Fekete	USB/dokkoló porton		Express Card	Igen	http																
SAMSUNG NB NP300E5C, 15.6 LED Matt 1366x768, Core i5-3210M 3.10GHz, 6GB, 1000GB, HDMI, DSUB, NVIDIA GF 620M 1GB, DDR3, Windows 8 - 64 bit, 6cell, kék-ezüst	154856 Ft	15,6	Matt	1366 x 768 (WXGA) 16	Intel Core i5	6	DDRIII	1000	nVIDIA GeForce GT 620	2,34	2 év szervizben	6 cella	DVD-RW SUPERMULTI DL	MS W. 8 64bit HU	10/100/1000	802.11b/g/n	Nem	3		Nem	4-1	4.0		Igen	1,3	Nem	D-Sub + HDMI	n.a.	n.a.	Ezüst	USB porton			Nem	http																
SAMSUNG NB NP300E5X, 15.6 LED Matt 1366x768, Pentium B970 2,30GHz, 4GB, 750GB, HDMI, DSUB, Intel HD, DOS, 6cell, kék-ezüst	87402 Ft	15,6	Matt	1366 x 768 (WXGA) 16	Intel Pentium	4	DDRIII	750	Intel HD Graphics 4000	2,3	2 év szervizben	6 cella	DVD-RW SUPERMULTI DL	DOS	10/100/1000	802.11b/g/n	Nem	3		Nem	4-1	4.0		Igen	1,3	Nem	D-Sub + HDMI	n.a.	n.a.	Ezüst	USB porton			Nem	http																
TOSHIBA NB Satellite L850-18U, 15.6" 1366x768, Core i5-3210M 2.5 GHz, 6GB, 640GB, Radeon HD7670M-2GB, DVD-RW DL, NoOs, 6 cell	150270 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Celeron	6144	DDRIII	640	AMD Radeon HD 7670M	2,3	2 év szervizben	6 cella	DVD-RW	Operációs rendszer nélkül	10/100	802.11b/g/n		2	1	Nem	Igen	4.0			1		HDMI	n.a.	Nincs	n.a.		n.a.	n.a.	n.a.	http																
TOSHIBA NB Satellite C850-18X, 15.6" 1366x768, Celeron B830 1.80GHz, 2GB, 320GB, Intel GMA HD, DVD-RW DL, NoOs, 6 cell	78936 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Celeron	2048	DDRIII	320	Intel GMA HD	2,3	2 év szervizben	6 cella	DVD-RW	DOS	10/100	802.11b/g/n		2	1	Nem	Igen	4.0			1		HDMI	n.a.	Nincs	Fekete		n.a.	n.a.	n.a.	http																
LENOVO NB IdeaPad B570e, 15.6" HD LED, Intel Celeron B800, 2GB, 320GB, DVD-RW, Intel HD Graphics, 6 Cell, DOS, Fekete	68536 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Celeron	2048	DDRIII	320	Intel HD Graphics 3000	2,7	2 év szervizben	6 cella	DVD-RW +/- DL	DOS	10/100/1000	802.11b/g/n	Nem	3		Nem	6-1	2.1		Igen	0,3	Nem	D-Sub	eSATA	Nincs	Fekete	USB porton		Numerikus bill	Nem	http																
SAMSUNG NB NP300E5Z 15.6 LED Matt 1366x768, Pentium B950 2.10GHz, 4GB, 750GB, nVidia GT 520MX 512MB, DOS, 6cell, ezüst	97240 Ft	15,6	Matt	1366 x 768 (WXGA) 16	Intel Pentium	4096	DDRIII	750	nVIDIA GeForce GT 520	2,34	2 év szervizben	6 cella	DVD-RW SUPERMULTI DL	DOS	10/100/1000	802.11b/g/n	Nem	3		Nem	4-1	3.0		Igen	0,3	Nem	D-Sub + HDMI	n.a.	n.a.	Ezüst	USB porton			Nem	http																
ACER NB AS5560-63424G50MN 15.6" AMD A6-3420 (Quad Core 1.5Ghz, 4Mb Cache) , 4GB, 500GB, DVD-RW SM, Ati HD7480, Linux, 6cell, kék	96616 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	AMD Llano	4096	DDRII	500	AMD GMA HD	2,59	2 év el- és visszaszállításos garancia	6 cella	DVD-RW SUPERMULTI DL	Linux	10/100/1000	802.11b/g/n	Nem	2	1	Nem	Igen	Nincs		Igen	1,3	Nem	D-Sub + HDMI	n.a.	n.a.	Kék	USB porton			n.a.	http																
ACER NB AS7250G-4504G50Mnkk 17.3" LED HD+ 1600x900, AMD Dual-Core E450, 4GB, 500GB, AMD Radeon? HD 7470M+1 GB VRAM, DVD-RW SM, Intel GMA, 6cell, Linux	90792 Ft	17,3		1600 x 900 (WUGA) 16	AMD Brazos	4096	DDRIII	500	AMD Radeon HD 7470M	3,25	2 év el- és visszaszállításos garancia	6 cella	DVD-RW SUPERMULTI DL	Linux	10/100/1000	802.11b/g/n	Nem	3		Nem	Nem	Nincs		Igen	0,3	Nem	D-Sub + HDMI	n.a.	Nincs	Fekete	USB porton			Nem	http																
DELL NB Inspiron 5720 17.3" HD+, Intel Core i5-3210M 2.50GHz 4GB, 750GB, DVD-RW, 1GB GF GT630, Linux, 6cell, Ezüst	158912 Ft	17,3	Fényes	1600 x 900 (WUGA) 16	Intel Core i5	4096	DDRIII	750	nVIDIA GeForce GT 630M + 1GB VRAM	3,28	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított szervizgara	6 cella	DVD-RW +/-	Ubuntu Linux	10/100	802.11b/g/n	Nem		4	Nem	8-1	4.0		Igen	1	Nem	D-Sub + HDMI	n.a.	Nincs	Ezüst	USB porton			Nem	http																
Packard Bell NB EASYNOTE_TV43-HC-461HG 15.6" LED, Intel Dual Core B970 2.3GHz, 4 GB, 500GB, DVD-RW SM, Intel UMA, Card reader Linux, 6cell, red/white	80912 Ft	15,6	Fényes	1366 x 768 (WXGA) 16	Intel Pentium Dual Core	4096	DDRIII	500	Alaplapi Integrált VGA	2,25	2 év el- és visszaszállításos garancia	6 cella	DVD-RW SUPERMULTI DL	Linux	10/100/1000	802.11b/g/n	Nem	3		Nem	Igen	Nincs		Igen	1,3	Nem	n.a.	n.a.	Nincs	Piros	USB porton			Nem	http																
ACER NB AS4352-B812G32MNkk 14.0" LED CB, Intel Celeron B815 1.6GHz, 1x2GB, 320GB, DVD-RW SM, Intel UMA, Linux, 6cell, fekete	67590 Ft	14	Fényes	1366 x 768 (WXGA) 16	Intel Celeron	2048	DDRIII	320	Alaplapi Integrált VGA	2,25	2 év el- és visszaszállításos garancia	6 cella	DVD-RW SUPERMULTI DL	Linux	10/100/1000	802.11b/g/n	Nem	3		Nem	5-1	Nincs		Igen	1,3	Nem	D-Sub + HDMI	n.a.	Nincs	Fekete	USB porton			Nem	http																
DELL NB Vostro 3560 15.6" Full HD, Intel Core i7-3612QM 2.1GHz, 4GB, 500GB, DVD-RW, AMD Radeon HD 7670, Linux, 6cell, Piros	212680 Ft	15,6	Matt	1920 x 1080 (HD1080) 16	Intel Core i7	4096	DDRIII	500	AMD Radeon HD 7670M	2,57	1 év általános (jogszabály szerint) + 2 év (gyártó által biztosított helyszíni g	6 cella	DVD-RW +/-	Ubuntu Linux	10/100/1000	802.11b/g/n	Nem		4	Igen	8-1	4.0		Igen	1	Nem	D-Sub + HDMI	n.a.	Nincs	Piros	USB porton		34mm Express Card	Igen	http																
ACER NB AS7250-4504G50Mnkk, 17.3" LED HD+ 1600x900, AMD Dual-Core E450, 4GB, 500GB, AMD Radeon? HD 6320M osztott, DVD-RW SM, 6cell, Linux	83096 Ft	17,3		1600 x 900 (WUGA) 16	AMD Brazos	4096	DDRIII	500	AMD Radeon Integrated Graphics	3,25	2 év el- és visszaszállításos garancia	6 cella	DVD-RW SUPERMULTI DL	Linux	10/100/1000	802.11b/g/n	Nem	3		Nem	Igen	Nincs		Igen	0,3	Nem	D-Sub + HDMI	n.a.	Nincs	Fekete	USB porton			Nem	http																
ACER NB AS4752Z-B9604G50MNBB 14.0" LED CB, Intel Dual Core B960 2.2GHz, 4GB, 500GB, DVD-RW SM, Intel UMA, Win 7 Home Premium, 6cell, kék	96304 Ft	14	Fényes	1366 x 768 (WXGA) 16	Intel Pentium Dual Core	4096	DDRIII	500	Alaplapi Integrált VGA	2,25	2 év el- és visszaszállításos garancia	6 cella	DVD-RW SUPERMULTI DL	MS W. 7 Home Premium 64bit HU	10/100/1000	802.11b/g/n	Nem	3		Nem	5-1	Nincs		Igen	1,3	Nem	D-Sub + HDMI	n.a.	Nincs	Kék	USB porton			Nem	http																
