TermékNév	Ár	TFT Méret	TFT Felb.	TFT Típus	TFT Jell.	CPU Gyártó	CPU Család	CPU Típus	CPU +	RAM Méret	RAM Frek.	RAM Jell.	HDD Méret	HDD Típus	HDD Jell.	GPU Gyártó	GPU Típus	GPU Jelleg	GPU Jell.	Súly	Gar.	Gar. Típus	Akku	ODD	Chipset	Kategória	Típus	Állapot	Szín	Akció	Nyelv	Bill.	Touchpad	Audio	Portok	Portok +	ExpressCard	Tartozék	LAN	LAN +	OS	Egyéb	Méret	OS Jell.	Operációs rendszer Választható nyelv	Videókártya Jellemzők	Operációs rendszer Verzió	Optikai meghajtó Jellemzők	Fizikai paraméterek Ajándék kiegészítők	Fizikai paraméterek Egyéb leírás	Videókártya Dedikált memória
Packard Bell dot s	60543 Ft	10,1 "	1024x600 WSVGA	LED, Fényes	Diamond View	Intel	Atom	N455 1,66GHz		1 GB	DDR3 1066 MHz		320 GB	HDD	Serial ATA	Intel	UMA	Alaplapi integrált		1,20 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos	6 cellás 4400 mAh Lítium-ion Maximális akkumulátor üzemidő: 8 óra		Intel NM10 Express	Ultrahordozható	Netbook	Új	lila/fekete	Nem	Magyar	93%-os méretűegyérintős, ikonokkal azonosított gyorsgombok	TouchPad	Hangszórók, Mikrofon	VGA, Memóriakártya olvasó, Webkamera, HDMI	HDMI, VGA, 3*USB 2.0	5-in-1 kártya olvasó (xD-Picture, Secure Digital (SD), MultiMediaCard (MMC), Memory Stick, Memory Stick PRO	0.3MP CrystalEye Webkamera	WLAN	Wi-Fi® 802.11b/gLAN 10/100	Windows 7 Starter	Microsoft® Office Starter: csak csökkentett szolgáltatáskészletű Word és Excel® alkalmazást tartalmaz, hirdetésekkel. A PowerPoint® és az Outlook® nem része a csomagnak. A teljes szolgáltatáskészletű szoftver használatához vásárolja meg az Office 2010 programcsomagot.Bing™ BarWindows Live™ EssentialsAdobe® Photoshop® ElementsPackard Bell Social Network			Magyar							
Asus EEEPC R051BX	57866 Ft	10,1 "	1024x600 WSVGA	LED		AMD	C-Series	Dual Core™ C-50 - 1,00GHz	1MB L2 Cache, 9W	1 GB	DDR3 1066 MHz	max. 2GB - 1 Slot	320 GB	HDD	SATA	AMD/ATI	Mobility™ HD6250	Alaplapi integrált		1,17 kg	2 év (1 év az akkura és töltőre)	Világ, El- és visszaszállításos	3 cellás 2600mAh 28W/h4 - 6 óra	Nincs	AMD® FUSION (Hudson-M1)	Ultrahordozható	Netbook	Új	Fekete hátlap	Nem	Magyar			Hi-Definition audio CODEC, beépített sztereo hangszóró, beépített mikrofon1x Audio in/out	Webkamera, Memóriakártya olvasó, VGA, HDMI	HDMI, 2x USB 2.0, 1x VGA	Kártyaolvasó: 2 az 1ben (SD/MMC)	Webkamera 0,3MPixel - 640x480 felbontással	WLAN	10/100 Mbps Ethernet, Wifi 802.11n	Windows 7 Starter		262 x 178 x 23,6-36,4 mm		Magyar							
Acer Aspire One D270-26Ckk	55039 Ft	10,1 "	1024x600 WSVGA	Fényes, LED		Intel	Atom	N2600 1.60GHz	1M cache, DDR3 800MHz, 3.5W, Dual-core	2 GB	DDR3 1066 MHz	1x2GB, max. 2 GB	320 GB	HDD	Serial ATA	Intel	GMA 3600	Alaplapi integrált		1,3kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	6 cellás (max. 8 üzemóra)	Nincs	Intel NM10 Chipset	Ultrahordozható	Netbook	Új	Fekete hátlap	Igen	Magyar		TouchPad	beépített hangszóró és mikrofon	Webkamera, Memóriakártya olvasó, HDMI	HDMI / 3xUSB2.0 / VGA	Multi-in-1 kártyaolvasó (MS, xD, MMC, SD, MSpro)	0.3MP CrystalEye webkamera	WLAN	802.11bg Wi-FiFast Ethernet	Külön vásárolható	Linux	256,5 x 184 x 24 mm									
Acer Aspire One D270-26Cws	55039 Ft	10,1 "	1024x600 WSVGA	Fényes, LED		Intel	Atom	N2600 1.60GHz	1M cache, DDR3 800MHz, 3.5W, Dual-core	2 GB	DDR3 1066 MHz	1x2GB, max. 2 GB	320 GB	HDD	Serial ATA	Intel	GMA 3600	Alaplapi integrált		1,3kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	6 cellás (max. 8 üzemóra)	Nincs	Intel NM10 Chipset	Ultrahordozható	Netbook	Új	Vörös / Piros hátlap	Igen	Magyar		TouchPad	beépített hangszóró és mikrofon	Webkamera, Memóriakártya olvasó, HDMI	HDMI / 3xUSB2.0 / VGA	Multi-in-1 kártyaolvasó (MS, xD, MMC, SD, MSpro)	0.3MP CrystalEye webkamera	WLAN	802.11bg Wi-FiFast Ethernet	Külön vásárolható	Linux	256,5 x 184 x 24 mm									
Asus EEEPC 1015BX	67709 Ft	10,1 "	1024x600 WSVGA	Matt, LED		AMD	C-Series	Dual Core™ C-60 - 1,00GHz	1MB L2 Cache, 9W	1 GB	DDR3 1066 MHz	max. 2GB - 1 Slot	320 GB	HDD	5400RPM, SATA	AMD/ATI	Mobility™ HD6250	Alaplapi integrált		1,17 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Világ	3 cellás 2600mAh 28W/h4 - 6 óra	Nincs	AMD® FUSION (Hudson-M1)	Ultrahordozható	Netbook	Új	Vörös / Piros hátlap	Nem	Magyar			Hi-Definition audio CODEC, beépített sztereo hangszóró, beépített mikrofon1x Audio in, 1x Audio out	Memóriakártya olvasó, Webkamera, HDMI, VGA	HDMI, 2x USB 2.0, 1x VGA	Kártyaolvasó: 2 az 1ben (SD/MMC)	Webkamera 0,3MPixel - 640x480 felbontással	WLAN	10/100 Mbps Ethernet, Wifi 802.11n	Windows 7 Starter		262 x 178 x 23,6-36,4 mm	Támogatás: Windows 7	Magyar							
Asus Eee PC X101CH	61094 Ft	10,1 "	1024x600 WSVGA	Matt, LED		Intel	Atom	N2600 - 1.6GHz	kétmagos; 2.5GT/s / 1MB L2 Cache	1 GB	DDR3 1066 MHz	max. 2GB - 1slot	320 GB	HDD	SATA	Intel	GMA 3150	Alaplapi integrált		1 Kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Világ	5 órás (3 cella, 2.2Ah) akkumulátoros üzemidő*A hasznos üzemidő termékmodelltől, a rendszer konfigurációjától és a használati körülményektől függően eltérő lehet	Nincs	Mobile Intel® NM10 Express	Ultrahordozható	Netbook	Új	Barna hátlap	Nem	Magyar			Kiváló minőségű hangszóró1 db audio aljzat (fejhallgató/Headset)	Memóriakártya olvasó, Webkamera, HDMI, VGA	1 db VGA-csatlakozó2 db USB 2.01 db HDMI	kártyaolvasó: SD/ SDHC/ MMC	Webkamera: 0,3MPixel - 640x480 felbontással	WLAN	WLAN 802.11 b/g/n@2.4GHzLAN RJ-45 10/100 Mbps Ethernet	Windows 7 Starter	Linux	262 x 180 x 22 mm (szélesség x mélység x magasság)	Támogatás: Windows 7	Magyar							
Dell Inspiron Mini 1018	67000 Ft	10,1 "	1024x600 WSVGA	Fényes	TrueLife	Intel	Atom	N455 1.66GHz	512KB L2cache / FSB 667MHz	1 GB	DDR3 1333 MHz	(1x1024)	250 GB	HDD	2.5" 5400rpm SATA	Intel	Graphics Media Accelerator 3150	Alaplapi integrált		1.2kg -1,33kg	2 év (1 év az akkura és töltőre)	Szerviz, Világ	6 cellás 48WHr Li-Ion	Nincs	Intel® NM10 Express	Ultrahordozható	Netbook	Új	Fekete hátlap	Nem	Magyar			1 x 2.0 Watt hangszóróanalóg mikrofon1 headphone jack	Webkamera, VGA, Bluetooth	BlueTooth 3.0, VGA, (2) USB 2.0	3-in-1 kárytaolvasó: Secure Digital (SD/SDHC) Memory CardMulti-Media Card (MMC)Memory Stick (MS/MS Pro)	0.3Mp kamera	WLAN	WLAN 802.11b/g10/100 LAN (RJ45)	Windows 7 Starter	MS Office Starter + Skype	25.5mm/32.8mm * 268mm * 197mm	SP1	Magyar		32 bit					
Asus Eee PC X101-BLK005S	59126 Ft	10,1 "	1024x600 WSVGA	Matt, LED	non Glare	Intel	Atom	N455 - 1,66GHz	1MB L2 Cache	1 GB	DDR3 1066 MHz	max. 2GB	32 GB	SSD		Intel	GMA X3150	Alaplapi integrált		1 Kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Világ	3 cella, 28 W/h, 2600mAhmax. 4 óra	Nincs	Intel® NM10	2 kg alatt	Netbook	Új	Fekete hátlap	Nem	Magyar			Kiváló minőségű hangszóró1 db audio aljzat (fejhallgató)	Memóriakártya olvasó, Webkamera	2x USB 2.0	1x micro SD Kártyaolvasó (SDHC)	Webkamera 0,3MPixel - 640x480 felbontással	WLAN	WLAN 802.11 b/g/n@2.4GHzLAN RJ-45	Windows 7 Starter		262 x 180 x 22 mm (szélesség x mélység x magasság)		Magyar							
Asus Eee PC R11CX	66291 Ft	10,1 "	1024x600 WSVGA	Matt		Intel	Atom	N2600 - 1.6GHz	kétmagos; 2.5GT/s / 1MB L2 Cache	1 GB	DDR3 1066 MHz	max. 2GB - 1slot	320 GB	HDD	SATA	Intel	GMA 3150	Alaplapi integrált		1 Kg	2 év (1 év az akkura és töltőre)	Világ, El- és visszaszállításos	5 órás (3 cella, 2.2Ah) akkumulátoros üzemidő*A hasznos üzemidő termékmodelltől, a rendszer konfigurációjától és a használati körülményektől függően eltérő lehet	Nincs	Mobile Intel® NM10 Express	Ultrahordozható	Netbook	Új	Fekete hátlap	Nem	Magyar			Kiváló minőségű hangszóró1 db audio aljzat (fejhallgató/Headset)	Webkamera, Memóriakártya olvasó, VGA	1 db VGA-csatlakozó2 db USB 2.0	kártyaolvasó: SD/ SDXC / MMC	Webkamera: 0,3MPixel - 640x480 felbontással	WLAN	WLAN 802.11 b/g/n@2.4GHzLAN RJ-45 10/100 Mbps Ethernet	Windows 7 Starter		262 x 180 x 22 mm (szélesség x mélység x magasság)		Magyar							
Acer Aspire One 725-C6Ckk	62913 Ft	11,6 "	1366x768 WXGA HD	Fényes, LED	(200-nit) Acer CineCrystal™	AMD	C-Series	C-60B 1,33/1GHz	1M cache, FSB 1066MHz, 9W	4 GB	DDR3 1066 MHz	1x4GB, amx. 4 GB	500 GB	HDD		AMD/ATI	Radeon™ HD 6250	Alaplapi integrált		1.20 kg	2 év (1 év az akkura és töltőre)	Nemzetközi, El- és visszaszállításos	37 Wh 2500 mAh 4-cellás Li-ion max. 5.7 h		AMD A68M Fusion™ Controller Hub	Ultrahordozható	Netbook	Új	Fekete hátlap	Igen	Magyar	84-/85-/88-gombos Acer FineTip	Multi-gesture touchpad	High-definition audio sztereo hangszórók, digitális mikrofonHeadphone/speaker jackMicrophone-in jack	VGA, Memóriakártya olvasó, Webkamera, HDMI, USB 3.0	USB 3.0 port2x USB 2.0 portHDMI® VGA	Multi-in-1 kártya olvasó: Secure Digital™ (SD) Card, MultiMediaCard™ (MMC), Memory Stick™ (MS), Memory Stick PRO™ (MS PRO), xD-Picture Card™ (xD)	Acer Crystal Eye Webkamera 1280 x 720, 720p HD	WLAN	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi LAN: Fast Ethernet	Külön vásárolható	Linux	285 (W) x 202 (D) x 23.5 (H) mm			Unified Video Decoder 3 (UVD3), OpenCL™ 1.1, OpenGL® 3.1, OpenEXR High Dynamic-Range (HDR), Shader Model 5.0, Microsoft® DirectX® 11						
