TermékNév	Ár	TFT	TFT Méret	TFT Felb.	CPU	CPU Gyártó	CPU Típus	CPU Seb.	RAM	RAM Típus	HDD	HDD Típus	GPU	GPU Típus	GPU Mem	Súly	Gar.	Akku	OS	ODD	Mikrofon	Audio	Kamera	WLAN	BT	VGA ki	USB	HDMI	CR	Nyelv	Méret	Tartozék	Chipset	Egyéb	Portok	Kommunikációs megjegyzés	Külső SATA csatlakozó	TPM	Ujjlenyomat olvasó	Csatlakozók megjegyzés	Egyéb megjegyzés	3G	Megnevezés	LAN	AC	3G modul	Modem (RJ-11)	Display port	Express Card	RJ11 modem	Micro DVI csatlakozó	Firewire csatlakozó	Firewire	DVI	E-SATA/USB Combo	TV Tuner	SSD	Intel Turbo Memory (Robson)	Képernyő méret: 17,3"-os	Felbontás: WUXGA Full HD LED (1920x1080)	CPU: Intel Core i7-3610QM	HDD: 750 GB, 5400 RPM, SATA + 160 GB SSD	RAM: 2 x 4 GB DDR3-1600	ODD: DVD Super Multi	VGA: NVIDIA GeForce GTX 660M 2GB GDDR5	Operációs rendszer:Windows 7 Home Premium 64 bit	WLAN:b/g/n	Webkamera: HD	Bluetooth 4.0	USB: 4 x USB 3.0	Akkumulátor: 8 cellás, 5200 mAh, 74 W/h	Adapter: 180 W	Nettó súly: 4,5 kg	Méret:415 x 320 x 17-52 mm	Egyéb: Táska, egér, világító billentyűzet	Garancia: 24 hónap ASUS szervizben, ügyfélszolgálat: +36-1-505-4561	Cellák száma	Tárolt energia	Alap szín	Anyag	Numerikus billentyűzet	Chipset gyártó	CPU gyártó	CPU típus	D-Sub ki	Hálózati csatlakozás	HDMI ki	Jack 3,5mm	USB 2.0 ki	USB 3.0 ki	Kijelző felbontás	Kijelző felület	Kijelző méret	Kijelző típus	Memória kártyaolvasó	Kensington zár foglalat	Magasság (max.)	Mélység (max.)	Család	Optikai meghajtó	Operációs rendszer kompatibilitás	Memória modulok	Memória mennyiség	Szélesség (max.)	Háttértár fordulatszám	Háttértár méret	Háttértár típus	Töltő teljesítmény	VGA típus	WiFi	Technológia	Memória foglalatok száma	Hangszóró	Képátló	CPU család	Billentyűzet világítás	Elektromos töltés	2.Háttértár fordulatszám	2.Háttértár méret	2.Háttértár típus	Nyelvezet:Magyar nyelvű billentyűzet, dokumentáció	RJ45 LAN	3G (UMTS)	4G (LTE)	Micro HDMI ki	Mini DisplayPort ki	Infravörös port	Intel Pentium Dual-Core B970 (2,3 GHz, 2 MB)	WiFi: 802.11 b/g/n	Nyelvezet: Magyar nyelvű billentyűzet, dokumentáció	 
Asus N73SV-V2G-TY539V	0 Ft	17.3" WXGA HD LED háttérvilágítású kijelző - fényes (1600x900) Color Shine			INTEL Core i7 i7-2630QM	INTEL	Core i7 i7-2630QM	2.00 Ghz (6M Cache)	4GB	DDR3 1333MHz	2x640GB	SATA 5400rpm	nVidia GeForce GT 540M	Dedikált	1GB DDR3 VRAM	3.4 kg	24 hónap nemzetközi + magyarországi háztól-házig szolgáltatással	6 cella 4400mAh	Magyar nyelvű Microsoft Windows 7 Home Premium 64bit	Blu-ray olvasó	Van	Bang & Olufsen ICEpower®	2.0 megapixel	802.11 b/g/n	3.0 + HS	Van	1xUSB 3.0 + 3xUSB 2.0	Van	3-az-1-ben kártyaolvasó (SD, MMC, MS)	Magyar nyelvű billentyűzet, dokumentáció	426x290x393 mm	Hálózati adapter	Mobile Intel HM65 Express	12GB-ig bővíthető																																																																																																		
Asus UX30-QX032C	0 Ft	13.3" WXGA HD LED háttérvilágítású kijelző (1366x768)			INTEL Core 2 Solo ULV SU3500	INTEL	Core 2 Solo ULV SU3500		3GB	DDR2 800MHz	500GB	SATA 5400rpm	Intel Graphics Media Accelerator (GMA) 4500MHD (Montevina)	Integrált		1.45 kg		3 cella 3250mAh	Magyar nyelvű Microsoft Windows Vista Home Premium	Belső meghajtó nélkül. Kérjen ajánlatot!		Van	1.3 megapixel	Van	Van	Van	3xUSB 2.0	Van	Van	Magyar nyelvű billentyűzet, dokumentáció	322x222x6,8-19,6mm	Hálózati adapter, hordtáska és egér	Mobile Intel GS45 Express + ICH9M	A memória tovább nem bővíthető!																																																																																																		
Asus A54HR-SO107D	0 Ft	15.6" (1366x768)			INTEL Pentium Dual-Core B960	INTEL	Pentium Dual-Core B960	2.2 Ghz (2MB)	4GB	DDR3 1333MHz	500GB	SATA 5400rpm	AMD AMD Radeon HD 7470M	Dedikált	1GB	2.6 kg	24 hónap nemzetközi + magyarországi háztól-házig szolgáltatással	4 cella	Free DOS	DVD RW SuperMulti	Van	Van	0.3 megapixel	802.11 b/g/n			1xUSB 3.0 + 1xUSB 2.0	Van	4-az-1-ben kártyaolvasó	Magyar nyelvű billentyűzet, dokumentáció		Hálózati adapter	Mobile Intel HM65 Express	A memória tovább nem bővíthető!	Van	Dokkoló: Csatlakoztatható, USB-n keresztül																																																																																																
Asus A54HY-SX148V Újraúj	0 Ft	15.6" WUXGA HD LED háttérvilágítású kijelző			INTEL Pentium Dual-Core B950	INTEL	Pentium Dual-Core B950	(2200MHz)	4GB	DDR3 1333MHz	500GB	SATA	ATI AMD Radeon HD 6470M	Dedikált	1GB		12 hónap nemzetközi + magyarországi háztól-házig szolgáltatással		Magyar nyelvű Microsoft Windows 7 Home Premium 64bit	DVD SuperMulti	Van	Van	Van	Van	Van			Van		Magyar nyelvű billentyűzet, dokumentáció		Hálózati adapter																																																																																																				
Asus B53E-SO060X	0 Ft	15.6" WXGA HD LED háttérvilágítású kijelző - fényes (1366x768) Color Shine			INTEL Core i5 i5-2410M	INTEL	Core i5 i5-2410M	2.3 Ghz (3M Cache)	4GB	DDR3 1333MHz	500GB	SATA 5400rpm	Intel HD 3000 grafikus kártya	Integrált		2.6 kg	36 hónap	4 cella 4400mAh	Magyar nyelvű Microsoft Windows 7 Professional 64bit	DVD RW SuperMulti	Van	Altec Lansing	2.0 megapixel	802.11 b/g/n	2.1 + EDR	Van	1xUSB 3.0 + 2xUSB 2.0	Van	5-az-1-ben kártyaolvasó	Magyar nyelvű billentyűzet, dokumentáció	384x263x35mm	Hálózati adapter, hordtáska és egér, dokkoló	Mobile Intel HM65 Express	2 x SODIMM bővítőhely akár 8GB RAM			Van	Van	Van	Express kártya olvasó	A három év garancia érvényes a notebookra, dokkolóra és akkumulátorra is!																																																																																											
Asus B53E-SO061X	0 Ft	15.6" WXGA HD LED háttérvilágítású kijelző (1366x768)			INTEL Core i3 i3-2310M	INTEL	Core i3 i3-2310M	2.13 Ghz (3M Cache)	3GB	DDR3 1333MHz	320GB	SATA 5400rpm	Intel HD 3000 grafikus kártya	Integrált		2.7 kg	36 hónap	4 cella 4400mAh	Magyar nyelvű Microsoft Windows 7 Professional 64bit	DVD RW SuperMulti	Van	Altec Lansing	2.0 megapixel	802.11 b/g/n	2.1 + EDR	Van	1xUSB 3.0 + 2xUSB 2.0	Van	5-az-1-ben kártyaolvasó	Magyar nyelvű billentyűzet, dokumentáció	384x263x35mm	Hálózati adapter, hordtáska és egér, dokkoló	Mobile Intel HM65 Express	2 x SODIMM bővítőhely akár 8GB RAM			Van	Van	Van	Express kártya olvasó	A három év garancia érvényes a notebookra, dokkolóra és akkumulátorra is!																																																																																											
Asus B53F-SO092X	0 Ft	15.6" WXGA HD LED háttérvilágítású kijelző - fényes (1366x768) Color Shine			INTEL Core i3 i3-380M	INTEL	Core i3 i3-380M	2.53 GHz (3M Cache)	3GB	DDR3 1066MHz	320GB	SATA 5400rpm	Intel Graphics Media Accelerator HD Graphics (GMA HD)	Integrált		2.6 kg	36 hónap	3 cella 4400mAh	Magyar nyelvű Microsoft Windows 7 Professional 64bit	DVD RW SuperMulti	Bemenet Line-In		2.0 megapixel	802.11 b/g/n	2.1 + EDR	Van	2xUSB 2.0	Van	5-az-1-ben kártyaolvasó	Magyar nyelvű billentyűzet, dokumentáció	384x263x35mm	Hálózati adapter, hordtáska és egér	Mobile Intel HM55 Express	2 x SODIMM bővítőhely akár 8GB RAM	Van			Van			1x Express card	Van																																																																																										
Asus B53F-SO094X	0 Ft	15.6" WXGA HD LED háttérvilágítású kijelző - fényes (1366x768) Color Shine			INTEL Core i5 i5-460M	INTEL	Core i5 i5-460M	2.53 GHz (3M Cache)	4GB	DDR3 1066MHz	500GB	SATA 5400rpm	Intel Graphics Media Accelerator HD Graphics (GMA HD)	Integrált		2.6 kg	36 hónap	3 cella 4400mAh	Magyar nyelvű Microsoft Windows 7 Professional 64bit	DVD RW SuperMulti	Bemenet Line-In		2.0 megapixel	802.11 b/g/n	2.1 + EDR	Van	2xUSB 2.0	Van	5-az-1-ben kártyaolvasó	Magyar nyelvű billentyűzet, dokumentáció	384x263x35mm	Hálózati adapter, hordtáska és egér	Mobile Intel HM55 Express	2 x SODIMM bővítőhely akár 8GB RAM			Van, USB-vel megosztott	Van		Express kártya olvasó		Van																																																																																										
Asus Bamboo U6V-2P055E	0 Ft	12.1" WXGA LED háttérvilágítású kijelző (1280x800) Color Shine			INTEL Core 2 Duo P8400	INTEL	Core 2 Duo P8400		3GB	DDR2 800MHz	320GB	SATA 5400rpm	nVidia GeForce 9300M GS (NB9M-GS)	Dedikált	256MB VRAM	1.57 kg			Magyar nyelvű Microsoft Windows Vista Business	Slim DVD RW SuperMulti Double Layer	Van	Van	0.3 megapixel	802.11 a/g/n	2.1 + EDR	Van	3xUSB 2.0	Van	8-az-1-ben kártyaolvasó (SD, MMC, MS, MS-Pro, mini SD, MS-Duo, MS-Pro Duo-ez utóbbik adapterrel)	Magyar nyelvű billentyűzet, dokumentáció	300x220x25,3mm	Hálózati adapter, hordtáska és egér	Mobile Intel PM45 Express + ICH9M				Van	Van	Van	Express kártya olvasó																																																																																												
Asus Bamboo U6V-2P065E	0 Ft	12.1" WXGA LED háttérvilágítású kijelző (1280x800) Color Shine			INTEL Core 2 Duo P8600	INTEL	Core 2 Duo P8600	2.40 Ghz (1066MHz FSB, 3M Cache)	3GB	DDR2 800MHz	320GB	SATA 5400rpm	nVidia GeForce 9300M GS (NB9M-GS)	Dedikált	256MB VRAM	1.57 kg	24 hónap nemzetközi + magyarországi háztól-házig szolgáltatással	3 cella	Magyar nyelvű Microsoft Windows Vista Business	DVD RW SuperMulti	Van	Van	0.3 megapixel	802.11 b/g/n	2.0 + EDR	Van	3xUSB 2.0	Van	Van	Magyar nyelvű billentyűzet, dokumentáció	300x220x31,6mm	Hálózati adapter, hordtáska és egér					Van	Van	Van		1x Express card/54																																																																																											
ASUS bundle X52DE-EX004D 15,6"/AMD V120 2,2GHz/2GB/320GB/DVD S-multi/Windows 7 HP notebook	0 Ft																24 hónap ASUS szervizben, ügyfélszolgálat: +36-1-505-4561													Magyar nyelvű billentyűzet, dokumentáció													ASUS bundle X52DE-EX004D 15,6"/AMD V120 2,2GHz/2GB/320GB/DVD S-multi/Windows 7 HP notebook																																																																																									
ASUS bundle1	0 Ft																24 hónap ASUS szervizben, ügyfélszolgálat: +36-1-505-4561													Magyar nyelvű billentyűzet, dokumentáció													ASUS bundle1																																																																																									
ASUS EEE PC 1000H 10"/Intel Atom N270 1,6GHz/1GB/160GB/Linux (fekete) netbook	0 Ft																24 hónap ASUS szervizben, ügyfélszolgálat: +36-1-505-4561													Magyar nyelvű billentyűzet, dokumentáció													ASUS EEE PC 1000H 10"/Intel Atom N270 1,6GHz/1GB/160GB/Linux (fekete) netbook																																																																																									
ASUS EEE PC 1000H 10"/Intel Atom N270 1,6GHz/1GB/160GB/XP Home (fehér) netbook	0 Ft		10"-os	WSVGA (1024x600)	Intel Atom N270 (1,6 GHz, 533 MHz, 512 kB)				1 x 1 GB DDR2-667		160 GB					1,45 kg	24 hónap ASUS szervizben, ügyfélszolgálat: +36-1-505-4561	6 cellás	XP Home				1,3 megapixel	b/g/n	2.0 + EDR	1 x VGA	3 x USB 2.0		Van	Magyar nyelvű billentyűzet, dokumentáció	266 x 191,2 x 28,5-38 mm			Védőtok										10/100	36 W																																																																																							
