TermékNév	Ár	TFT	TFT 3D	CPU	RAM	RAM Slot	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Gyártó	Kategória	Sorozat	Érintőképernyő	Audio	Mikrofon	Kamera	WLAN	BT	HSDPA	Portok	CR	LAN	USB	Méret	Alapszín	Chipset	USB 3	SSD kapacitás	Extra	Képarány	Number of SSDs installed	SSD meghajtó kapacitás	Intel Wireless Display (WiDi)	Tárolókapacitás	Hangrendszer	Processor clock speed	Processszorcsalád	Turbo frequency (max)	Processzor magok száma	Processor number of threads	System bus	L3-gyorsítótár	Alaplapi lapkakészlet	Internal memory	Belső memória-típus	Teljes tárolókapacitás	Storage media	Kártyaolvasó beépítve	Kompatibilis memóriakártyák	Átlós képernyő	Képernyő-felbontás	LED backlight	Teljes HD (Full HD)	On-board graphics adapter mode	Discrete graphics adapter mode	Optikai meghajtó-típus	Fényírás	Beépített mikrofon	Beépített kamera	WLAN-kapcsolat	Vezetéknélküli LAN típus	Ethernet/LAN csatlakozás	Bluetooth verzió	3G network access module	USB 3.0 portok száma	DVI-port	Mikrofon, bemeneti jackdugó	S/PDIF kimeneti port	DC-bemeneti jackdugó	ExpressCard-csatlakozó	CardBus PCMCIA csatlakozó típu	SmartCard csatlakozó	Mutatóeszköz	Numerikus billentyűzet	Biztosított operációs rendszer	Eszköztípus	Termék színe	Külső megjelenés	Market positioning	Akkumulátor-technológia	Akkumulátorcellák száma	Intel My WiFi Technology	Intel Anti-Theft Technology	Intel vPro Technology	Intel visual technologies	Intel Hyper-Threading Technolo	Intel Turbo Boost Technology	Memória bővítőhelyek	Maximális belső memória	Merevlemez kapacitása	Merevlemez forgási sebesség	Merevlemez csatolófelület	Méretarány	Ethernet LAN adatátviteli sebe	Kábelezési technológia	USB 2.0 portok száma	VGA (D-Sub) portok száma	Hangszóró/fejhallgató/kimeneti	Ethernet LAN (RJ-45) portok me	HDMI portok mennyisége	Szélesség	Mélység	Operating system architecture	Telepített merevlemezek száma	Discrete graphics memory	AC adapter mellékelve	Beépített hangszórók száma	Discrete graphics memory type	Magasság (elülső)	magasság (hátulsó)	Dokkoló csatlakozó	Hangszóró teljesítmény	Combo headphone/microphone por	Battery capacity	Magasság	AC adapter eloszlás	Kábelek mellékelve	Akkumulátor élettartam	Energy Star által tanúsított	EPEAT compliance	Full-size keyboard	Spill resistant keyboard	DisplayPorts quantity	Intel Small Business Advantage	SSD meghajtó csatlakozók	Touch technology	Touch screen type	Micro HDMI ports quantity	L2-gyorsítótár	Windows-gombok	Felhasználói kézikönyv	Ráadás szoftver	WiFi által tanúsított	Memory layout	Garanciakártya	Kábelzár csatlakozó	Jelszavas védelem	Billentyűzet billentyűk száma	Memory form factor	Front camera	Intel Identity Protection Tech	Front camera resolution	Intel Smart Connect Technology	Intel Matrix Storage Technolog	Intel HD Audio Technology	Vezetéknélküli LAN adatátvitel	Island-style keyboard	Glossy display	Maximális felbontás	Akkumulátor töltési idő	Keyboard backlit	Near Field Communication (NFC)	4G	Fejhallgató csatlakozhatóság	Mikrofon csatlakoztathatóság	4G WiMAX	Data network	Maximális grafikus adapter mem	Memória órajel	Storage media type	Tápegység	Soros portok száma	Memóriatípus	Hangszórógyártó	Processzor-foglalat	Ujjlenyomat-olvasó	Fényerő	Maximum internal memory (64-bi	Recovery operating system incl	USB Sleep-and-Charge	USB Sleep-and-Charge ports	Meghajtóprogramok mellékelve	Akkumulátor teljesítménye	AC adapter frekvencia	AC adapter bemeneti feszültség	AC adapter kimeneti feszültség	3D kompatibilitás	Merevlemez méret	AC adapter kimeneti áram	Thunderbolt ports quantity	Gyors áttekintő útmutató	Megbízott platform modul (TPM)	Üzemi hőmérséklettartomány (T-	Tárolási hőmérséklettartomány	Beépített TV-tuner	RoHS compliance	Power auto-sensing	Támogatott lemezfajták	Kijelzőszínek	Relatív üzemi páratartalom-tar	Tárolási relatív páratartalmi	Üzemi magasság	Nem üzemeltetési magasság	On-board graphics adapter memo	Wireless Wide Area Network (WW	Telepfeszültség	Üzemi ütődés	Üzemen kívüli ütődés	Üzemi rezgés	Nem üzemi rezgés
Asus X202E-CT011H	0 Ft	11,6 " (1366x768 pixel)	Nem	Intel Celeron Dual-Core 847 ULV (1,1 GHz, 2 MB cache)	4 GB DDR III 1600 MHz	Nem	500 GB 5400 rpm	Intel HD Graphics	1,4 kg	Garancialeveles 2 év	2 cellás	Nincs	Windows 8	Asus	Ultrabook	Asus X	Igen	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	USB, 3,5 Jack, D-Sub	MMC, SD	10/100 Mb/s	2 db	303x200x22 mm	Szürke																																																																																																																																																																																
Acer Aspire E1-571G-33116G75MNKS_LIN_N14MGL2G	0 Ft	15,6 " (1366x768 pixel)	Nem	Intel Core i3 3110M (2,4 GHz, 3 MB cache)	6 GB DDR III 1600 MHz	Igen	750 GB 5400 rpm	NVIDIA GeForce GT 710M	2,5 kg	Garancialeveles 2 év	6 cellás	DVD+-RW DL	Linux	Acer	Általános	Acer Aspire	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	HDMI, USB, 3,5 Jack, D-Sub	SDHC, SDXC, SD	10/100/1000 Mb/s	3 db	381,6 x 253 x 25,2-33,2 mm	Fekete	Intel HM77 Express																																																																																																																																																																															
Acer Aspire V5-123-12102G32NKK 11,6"	0 Ft	11,6 " (1366 x 768 pixel)	Nem	AMD E Series E1-2100 (1 GHz, 1 MB cache)	2 GB DDR III 1066 MHz		320 GB 5400 rpm	AMD Radeon HD 8210	1,38 kg	Garancialeveles 2 év	4 cellás	Nincs	Linux	Acer	Netbook	Acer Aspire V	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, 3,5 Jack	MMC, SD	10/100 Mb/s	2 db		Fekete	Intel NM70 Express	1 db																																																																																																																																																																														
Samsung NP400B2B-A01HU	0 Ft	12,5 " (1366x768 pixel)	Nem	Intel Core i5 2450M (2,5 GHz, 3 MB cache)	4 GB DDR III 1066 MHz	Nem	500 GB 7200 rpm	Intel HD Graphics	1,74 kg	Garancialeveles 2 év	6 cellás	Nincs	Windows 7 Professional 64 bit	Samsung	Általános		Nem	HD Audio	Igen	Igen	802.11 n, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB 3.0, USB, ExpressCard 34mm, E-SATA, 3,5 Jack, D-Sub		10/100/1000 Mb/s	1 db	302.1 x 223.7 x 11.8 ~ 34.2 mm	Fekete	Intel HM65 Express	2 db																																																																																																																																																																														
Apple MacBook Pro 13 Ci5 4GB 500GB HD4000 magyar	0 Ft	13,3 " (1280 x 800 pixel)	Nem	Intel Core i5 (2,5 GHz, 3 MB cache)	4 GB DDR III 1600 MHz	Nem	500 GB 5400 rpm	Intel HD Graphics 4000	2,06 kg	Garancialeveles 1 év		Nincs	Mac OS X 10.7 Lion	Apple	Üzleti	Apple MacBook Pro	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	FireWire, USB 3.0, Thunderbolt port, 3,5 Jack	SDXC	10/100/1000 Mb/s		325x227x24,1 mm	Ezüst		2 db																																																																																																																																																																														
Asus UX21A-K1009V 11,6"	0 Ft	11,6 " (1920x1080 pixel)	Nem	Intel Core i7 3517U (1,9 GHz, 4 MB cache)	4 GB DDR III 1600 MHz	Nem		Intel HD Graphics 4000	1,1 kg	Garancialeveles 2 év	6 cellás	Nincs	Windows 7 Home Premium 64 bit	Asus	Ultrabook		Nem	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	Mini VGA, Micro HDMI, USB 3.0, 3,5 Jack		10/100 Mb/s		299x196,8x3~17 mm	Ezüst	Intel HM76 Express	2 db	250 GB																																																																																																																																																																													
Lenovo ThinkPad T430 14" HD+ i7-3520M 8GB 500GB	0 Ft	14 " (1600x900 pixel)	Nem	Intel Core i7 3520M (2,9 GHz, 3 MB cache)	8 GB DDR III 1600 MHz	Nem	500 GB 7200 rpm	NVIDIA Quadro NVS 4200M	2,16 kg	Garancialeveles 3 év	9 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	Lenovo	Üzleti	Lenovo ThinkPad T	Nem	Dolby® Advanced Audio 2.0	Igen	Igen	802.11 n, 802.11 a, 802.11 g	Nem	Nem	USB 3.0, USB, ExpressCard 34mm, Mini Display Port, 3,5 Jack, D-Sub	MMC, SDHC, SDXC, SD	10/100/1000 Mb/s	1 db	350x232x29.9 mm	Fekete		2 db																																																																																																																																																																														
Sony Vaio VPCZ21V9E 13,1" Fekete	0 Ft	13,1 " (1600 x 900 pixel)	Nem	Intel Core i7 2620M (2,7 GHz, 4 MB cache)	8 GB DDR III 1333 MHz	Nem		AMD Radeon HD 6650M	1,18 kg	Garancialeveles 2 év		DVD+-RW DL	Windows 7 Professional 64 bit	Sony	Luxus		Nem	Dolby® Home Theater® v4	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	HDMI, USB, 3,5 Jack, D-Sub	MS Pro, SDHC, SDXC, SD	10/100/1000 Mb/s	1 db	210x330x16,65 mm	Fekete	Intel HM67 Express		250 GB																																																																																																																																																																													
HP EliteBook 8770w LY561EA	0 Ft	17,3 " (1920x1080 pixel)	Nem	Intel Core i5 3360M (2,8 GHz, 3 MB cache)	4 GB DDR III 1600 MHz	Nem	500 GB 7200 rpm	AMD FirePro M4000	3,47 kg	Garancialeveles 3 év	8 cellás	DVD+-RW DL	Windows 7 Professional 64 bit	HP	Üzleti	HP EliteBook	Nem	HD Audio	Igen	Igen	802.11 n, 802.11 a, 802.11 b, 802.11 g	Igen	Nem	ExpressCard 54mm, FireWire, USB 3.0, USB, E-SATA, 3,5 Jack, Display Port, D-Sub	MMC, SD	10/100/1000 Mb/s	2 db	37,4x416,5x272,7 mm	Ezüst	Intel QM77 Express	2 db																																																																																																																																																																														
HP 650 B6N21EA	0 Ft	15,6 " (1366x768 pixel)	Nem	AMD E Series E2-1800 (1,7 GHz, 1 MB cache)	2 GB DDR III 1600 MHz	Nem	320 GB 5400 rpm	AMD Radeon HD 7340	2,45 kg	Garancialeveles 2 év	6 cellás	DVD+-RW DL	Linux	HP	Üzleti		Nem	HD Audio	Nem	Igen	802.11 n, 802.11 b, 802.11 g	Nem	Nem	HDMI, USB, 3,5 Jack, D-Sub	MMC, SDHC, SD	10/100/1000 Mb/s	3 db	376 x 247 x 35,8 mm	Szürke	AMD A68M																																																																																																																																																																															
