TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	ODD	Gar.	Akku	OS	Egyéb	Állapot	Szín	BT	USB	CR	Bill.	TV ki	Touchpad	WLAN	FW	LAN	Modem	PCMCIA	Portok	Család	Modell	Dokk	Kamera	Kategória	Bill. Num	HDMI	ExpressCard	Külső táskaméret	FP	3G kártyahely	eSata
Asus laptophoz +4 GB memória bővítés felára	7874 Ft										Egyéb	Új																										
HP Pavilion DV1000	44900 Ft	14.1ʺ WXGA	Pentium M-1600 (725)	1536 MB	160 GB	Intel integrált	DVDRW	3 nap	gyenge	Win XP home		Használt	szürke	van	3 db	4 in 1	magyar	S-Video	Touch pad	van	van	van	van	van	VGA													
ThinkPad X60s	69900 Ft	12ʺ TFT XGA	Core2 Duo T7100 (1800)	1024 MB	80 GB	Intel GMA 950	nincs optikai meghajtó	3 nap		WinXP Prof. Eng.		Használt	fekete		3 db	SD card	angol		Track point + Touch pad	b/g 54mbps	van	10/100	van	van	VGA	ThinkPad	ThinkPad X	van	van									
Asus X502CA-XX083D Black FD	62913 Ft	15.6ʺ HD LED (1366x768)	Celeron DC 1007U (1500)	2048 (DDR3) MB	320 GB	Intel HD Graphics	nincs optikai meghajtó	2 év	2 cellás	nincs (F)		Új	fekete		1x3.0.2x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Első noteszgépem	van	van						
Acer AS E1-532-29552G50Mnkk Black LX	62913 Ft	15.6ʺ HD fényes	Celeron 2955U (1400)	2048 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	4 cellás	nincs (L)		Új	fekete	4.0	1x3.0.2x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Aspire			van	Első noteszgépem	van	van						
Acer AS E1-530-21172G50Mnrr Red LX 2Y NVB	70787 Ft	15.6ʺ HD LED (1366x768)	Pentium 2117U (1800)	2048 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	4 cellás	nincs (L)		Új	piros	4.0	1x3.0.2x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA	Aspire			van	Első noteszgépem	van	van						
Toshiba Satellite C50-A-14L Black NoOs	70787 Ft	15.6ʺ HD LED (1366x768)	Celeron 1005M (1900)	4096 (DDR3) MB	500 GB	Intel HD Graphics	nincs optikai meghajtó	2 év	4200 mAh (Li-ion)	nincs op. rsz.		Új	fekete	4.0	1x3.0.2x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100			VGA	Satellite			van	Első noteszgépem	van	van						
Acer AS E1-530-21172G50Mnkk Black LX 2Y NVB	70787 Ft	15.6ʺ HD LED (1366x768)	Pentium 2117U (1800)	2048 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	4 cellás	nincs (L)		Új	fekete	4.0	1x3.0.2x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Első noteszgépem	van	van						
Asus X402CA-WX012D Black FD 2Y	70787 Ft	14ʺ HD LED (1366x768)	Pentium 987 (1500)	4096 (DDR3) MB	500 GB	Intel HD Graphics	nincs optikai meghajtó	2 év	2 cellás	nincs (F)		Új	fekete		1x3.0.2x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Első noteszgépem		van						
ThinkPad T60	74900 Ft	14ʺ XGA	CoreDuo T2500 (2000)	1024 MB	60 GB	Intel	DVD+CDRW	3 nap		WinXP Prof. Eng.		Használt	fekete		3 db		angol		Track point + Touch pad	b/g 54mbps		10/100	van	van	VGA	ThinkPad	ThinkPad T	van					van					
Asus X550CA-XX190D Red FD	78661 Ft	15.6ʺ HD LED fényes	Pentium 2117U (1800)	4096 (DDR3) MB	500 GB	Intel HD Graphics	DVDRW SM	2 év	4 cellás	nincs (F)		Új	piros	4.0	1x3.0.1x2.0	SD card	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Első noteszgépem	van	van						
HP 250 H6Q59EA LX HPNVB	78661 Ft	15.6ʺ HD LED matt	Pentium 2020M (2400)	4096 (DDR3) MB	750 GB	Intel HD Graphics	DVDRW +/- DL	2 év	6 cellás	nincs (L)		Új	ezüstszürke	4.0	3 db	2 in 1	magyar		Touch pad	b/g/n 300mbps		10/100/1000			VGA				van	Első noteszgépem		van		Ajándék táska				
