TermékNév	Ár	TFT Méret	TFT Felb.	TFT Jell	CPU	RAM	HDD	SSD	GPU	Súly	Gar.	Akku	ODD	OS	LAN	Portok	Bill.	Specifikáció	Softver	SDD
acer Ultrabook Aspire S7-391-73514G25AWS - Érintő Kijelzővel! - Ultrabook - Fehér - Most 3 év garanciával!	0 Ft	13.3"-os Érintőképernyő	FULL HD 1920 x 1080	TOUCHSCREEN FULL HD 1920 x 1080 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású IPS panel, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i7-3517U (4M Cache, 1.9 - 3.0 GHz, 17W, HyperThreading,TurboBoost)	4GB DDR3	------	256GB	Intel®HD Graphics 4000	323 x 223 x 11.9 mm1.30 kg	3 év	4 cellás Li-ion akkumulátor, 7 óra üzemidő		Windows 8 64bit	Intel® Wireless WiFi Link 5100/5300 (kétcsatornás,négyfunkciós 802.11a/b/g/Draft-N) Wi-Fi CERTIFIED® vezeték nélküli hálózati kapcsolatAcer Crystal Eye webkamera 1.3mpixBluetooth®4.0+HS	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 3.0 csatlakozó 1x HDMI™ 1x fejhallgató/hangszóró kimenet 1x hálózati tápegység csatlakozó	HÁTTÉRVILÁGÍTÁSÚ MAGYAR nyelvű 86-/87-/91-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Ultrabook Aspire S3-391-53334G52add - Pezsgő - Most 3 év garanciával!	0 Ft	13.3"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i5-3337U (3M Cache, 1.8 - 2.7 GHz, 17W, HyperThreading,TurboBoost)	4GB DDR3	500GB	20GB	Intel®HD Graphics 4000	323 x 218 x 13.1/17.5 mm1.33 kg	3 év	3 cellás Li-ion akkumulátor, 7 óra üzemidő		Windows 8	Intel® Wireless WiFi Link 5100/5300 (kétcsatornás,négyfunkciós 802.11a/b/g/Draft-N) Wi-Fi CERTIFIED® vezeték nélküli hálózati kapcsolatAcer Crystal Eye webkamera 1.3mpixBluetooth®4.0+HS	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 3.0 csatlakozó 1x HDMI™ (High-Definition Multimedia Interface) HDCP (High-bandwidth Digital Content Protection) támogatással 1x fejhallgató/hangszóró kimenet 1x hálózati tápegység csatlakozó	MAGYAR nyelvű 86-/87-/91-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Aspire E1-531-20208G1TMNKS - Fekete - Már 2 év garanciával!	0 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel Pentium Dual-Core 2020M (2 MB, 2,4 GHz)	8GB DDR3 memória	1TB SATA HDD		Intel®HD Graphics	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Linux	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Acer Crystal Eye webkamera 1.3Mpix	2-az-1-ben kártyaolvasó (SD™, MMC) 3x USB 2.0 1x HDMI™ port HDCP támogatással 1x VGA kimenet 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	103-/104-/107 gombos billentyűzet; fordított "T" kurzorelrendezésMulti-gesture touchpad mutatóeszköz, amely támogatja az ujjal való: • görgetés • nagyítás • lapozás funkciókatMedia gombok: lejátszás/szünet, megállítás, előző, következő				
acer Aspire V3-772G-747a161TMakk Fekete - Már 2 év garanciával!	0 Ft	17.3"		Full HD 1920 x 1080 felbontású, Acer ComfyView™ LCD MATT kijelző	Intel® Core™ i7-4702MQ (6M Cache, 2.20 up to 3.20 GHz)	16GB DDR3 memória (8GB+8GB DDR3)	1 TB SATA HDD		NVIDIA® GeForce® GTX 760M 2GB	414 x 275 x 34.8/34.7 mm / ~3.2 kg		48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 3.5 óra üzemidővel	DVD-Super Multi duplarétegű író	Linux	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0+HS Acer Crystal Eye webkamera 1.3MPix	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 2x USB 3.0 1x HDMI™ port HDCP támogatással 1x VGA kimenet 1x fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1x Ethernet (RJ-45) csatlakozó 1x hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Aspire E1-531-20204G50Mnks - Fekete - Már 2 év garanciával!	0 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel Pentium Dual-Core 2020M (2 MB, 2,4 GHz)	4GB DDR3 memória	500 GB SATA HDD		Intel®HD Graphics	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Linux	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Acer Crystal Eye webkamera 1.3Mpix	2-az-1-ben kártyaolvasó (SD™, MMC) 3x USB 2.0 1x HDMI™ port HDCP támogatással 1x VGA kimenet 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	103-/104-/107 gombos billentyűzet; fordított "T" kurzorelrendezésMulti-gesture touchpad mutatóeszköz, amely támogatja az ujjal való: • görgetés • nagyítás • lapozás funkciókatMedia gombok: lejátszás/szünet, megállítás, előző, következő				
acer Aspire E1-570G-33214G75Mnkk - Fekete - Már 2 év garanciával!	0 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i3-3217U (3M Cache, 1.80 GHz)	4GB DDR3 memória	750 GB		NVIDIA® GeForce® GT 740M 2GB	378 x 259 x 24.8/29.7 mm2.2 kg	2 év	4-cellás Li-ion akkumulátor, max. 4 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Linux	Acer InviLink™ Nplify™ 802.11a/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Acer Crystal Eye webkamera 1.3MpixBluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 1x HDMI™ port HDCP támogatással 1x VGA kimenet 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	103-/104-/107 gombos billentyűzet; fordított "T" kurzorelrendezésMulti-gesture touchpad mutatóeszköz, amely támogatja az ujjal való: • görgetés • nagyítás • lapozás funkciókatMedia gombok: lejátszás/szünet, megállítás, előző, következő				
acer Aspire E1-571-33118G1TMNKS - Fekete - Már 2 év garanciával!	0 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel Core i3-3110M (3M Cache, 2.40 , HyperThreading,)	8GB DDR3 memória	1TB SATA HDD		Intel® HD Graphics 4000	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Linux	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Acer Crystal Eye webkamera 1.3Mpix	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 1x HDMI™ port HDCP támogatással 1x VGA kimenet 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	103-/104-/107 gombos billentyűzet; fordított "T" kurzorelrendezésMulti-gesture touchpad mutatóeszköz, amely támogatja az ujjal való: • görgetés • nagyítás • lapozás funkciókatMedia gombok: lejátszás/szünet, megállítás, előző, következő				
acer Aspire E1-570G-53338G1TMnks - Fekete - Már 2 év garanciával!	0 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Core™ i5-3337U (3M Cache, 1.8 to 2.70 GHz)	8GB DDR3 memória	1 TB		NVIDIA® GeForce® GT 740M 2GB	378 x 259 x 24.8/29.7 mm2.2 kg	2 év	4-cellás Li-ion akkumulátor, max. 4 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Linux	Acer InviLink™ Nplify™ 802.11a/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Acer Crystal Eye webkamera 1.3MpixBluetooth®4.0	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 1x USB 3.0 1x HDMI™ port HDCP támogatással 1x VGA kimenet 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	103-/104-/107 gombos billentyűzet; fordított "T" kurzorelrendezésMulti-gesture touchpad mutatóeszköz, amely támogatja az ujjal való: • görgetés • nagyítás • lapozás funkciókatMedia gombok: lejátszás/szünet, megállítás, előző, következő				
acer Aspire V3-772G-747a8G1TMakk Fekete - Már 2 év garanciával!	0 Ft	17.3"		Full HD 1920 x 1080 felbontású, Acer ComfyView™ MATT LCD	Intel® Core™ i7-4702MQ (6M Cache, 2.20 up to 3.20 GHz)	8GB DDR3 memória	1 TB SATA HDD		NVIDIA® GeForce® GTX 760M 2GB	414 x 275 x 34.8/36.1 mm, 3.4 kg	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 3.5 óra üzemidővel	DVD-Super Multi duplarétegű író	Linux	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Bluetooth®4.0+HS Acer Crystal Eye webkamera 1.3MPix	2-az-1-ben kártyaolvasó (SD™, MMC) 2x USB 2.0 2x USB 3.0 HDMI™ port HDCP támogatással 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	MAGYAR nyelvű 103-/104-/107-, gombos billentyűzet, fordított T kurzor elrendezés, 1.8 mm (minimum) billentyűleütési út Multi-funkcionális touchpad 11 funkcióbillentyű, 4 kurzor gomb, Windows® gomb, gyorsgombok, hagyományos numerikus billentyűzet Gyorsindító gombok: Acer Backup, WLAN, hangerő növelés/csökkentés, touchpad zár Media gombok: lejátszás/szünet, megállítás, előző, következő Hangerő szabályozó (hangerő növelés/csökkentés) Fényerő növelés/csökkentés				
acer Aspire E1-531G-B966G75MNKS - Fekete - Már 2 év garanciával!	0 Ft	15.6"	HD 1366 x 768	1366 x 768 felbontású, magas fényerejű (220-nit) Acer CineCrystal™ LED-háttérvilágítású TFT LCD, 16:9 képarány, 8 ms high-def válaszidő	Intel® Pentium® B960 (2M Cache, 2.20 GHz)	6GB DDR3 memória (4GB+2GB DDR3 1333MHz)	750GB SATA HDD		NVIDIA® GeForce® GT 710 2GB	378 x 259 x 24.8/29.7 mm2.4 kg 6-cellás akkumulátorral	2 év	48 W 4400 mAh 6-cellás Li-ion akkumulátor, akár 4.5 óra üzemidővel	DVD-Super Multi duplarétegű meghajtó	Linux	Acer InviLink™ Nplify™ 802.11b/g/n Wi-Fi CERTIFIED™ vezeték nélküli hálózati kapcsolatGigabit Ethernet; Wake-on-LAN támogatás Acer Crystal Eye webkamera 1.3Mpix	2-az-1-ben kártyaolvasó (SD™, MMC) 3x USB 2.0 1x HDMI™ port HDCP támogatással 1x VGA kimenet 1 fejhallgató-/hangszóró kimenet, mikrofon bemenet kombinált csatlakozó 1 Ethernet (RJ-45) csatlakozó 1 hálózati tápegység csatlakozó	103-/104-/107 gombos billentyűzet; fordított "T" kurzorelrendezésMulti-gesture touchpad mutatóeszköz, amely támogatja az ujjal való: • görgetés • nagyítás • lapozás funkciókatMedia gombok: lejátszás/szünet, megállítás, előző, következő				
