TermékNév	Ár	TFT Méret	TFT Felb.	CPU Típus	CPU Frek.	RAM Méret	RAM Típus	HDD Méret	HDD Seb.	GPU Típus	GPU RAM	Súly	Gar.	Akku	ODD	OS	Beépített tárhely	Audio	LAN	WLAN	Modem	Portok	CR	Méret	Bill.	Egyéb	Állapot	Ajándék	2. Merevlemez mérete	2. Merevlemez sebessége
Digitech Tab7 Fehér Notebook	14953 Ft	7.00 inch	(800x480)	Boxchip processzor Cortex A8 Single Core	1200 MHz	512 MB	DDR3 SDRAM			-	- MB	0.33 Kg	1 év	3000 mAh	-	Android 4.1	4 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	Micro USB	micro SD, Memóriakártya-olvasó	182x119x9 mm	egyéb	Érintőképernyő, Front Camera, Flash Memória, 4 GB	új				
Digitech Tab7 Piros Notebook	14953 Ft	7.00 inch	(800x480)	Boxchip processzor Cortex A8 Single Core	1200 MHz	512 MB	DDR3 SDRAM			-	- MB	0.33 Kg	1 év	3000 mAh	-	Android 4.1	4 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	Micro USB	micro SD, Memóriakártya-olvasó	182x119x9 mm	egyéb	Érintőképernyő, Front Camera, Flash Memória, 4 GB	új				
Digitech Tab7 Fekete Notebook	14953 Ft	7.00 inch	(800x480)	Boxchip processzor Cortex A8 Single Core	1200 MHz	512 MB	DDR3 SDRAM			-	- MB	0.33 Kg	1 év	3000 mAh	-	Android 4.1	4 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	Micro USB	micro SD, Memóriakártya-olvasó	182x119x9 mm	egyéb	Érintőképernyő, Front Camera, Flash Memória, 4 GB	új				
Digitech Tab7 Rózsaszín Notebook	14953 Ft	7.00 inch	(800x480)	Boxchip processzor Cortex A8 Single Core	1200 MHz	512 MB	DDR3 SDRAM			-	- MB	0.33 Kg	1 év	3000 mAh	-	Android 4.1	4 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	Micro USB	micro SD, Memóriakártya-olvasó	182x119x9 mm	egyéb	Érintőképernyő, Front Camera, Flash Memória, 4 GB	új				
Digitech Tab7 Kék Notebook	14953 Ft	7.00 inch	(800x480)	Boxchip processzor Cortex A8 Single Core	1200 MHz	512 MB	DDR3 SDRAM			-	- MB	0.33 Kg	1 év	3000 mAh	-	Android 4.1	4 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	Micro USB	micro SD, Memóriakártya-olvasó	182x119x9 mm	egyéb	Flash Memória, 4 GB, Érintőképernyő, Front Camera	új				
BluePanther Voyager S Notebook	16528 Ft	7.00 inch	(800x480)	Boxchip processzor A13 Cortex A8	1200 MHz	512 MB	DDR3 SDRAM			-	- MB	0.27 Kg	1 év	3000 mAh	-	Android 4.0 ICS	8 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	Micro USB	Memóriakártya-olvasó, micro SD	182x119x9 mm	egyéb	Flash memória, 8GB	új				
BluePanther Voyager S+ Notebook	17315 Ft	7.00 inch	(800x480)	ARM Cortex processzor A13 Cortex A8	1200 MHz	512 MB	DDR3 SDRAM			-	- MB	0.27 Kg	1 év	3000 mAh	-	Android 4.0 ICS	8 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	Micro USB	Memóriakártya-olvasó, micro SD	182x119x9 mm	egyéb	Érintőképernyő, Flash memória, 8GB	új				
Funsreen SOL 7R22 Notebook	18890 Ft	7.00 inch	(800x480)	VIA processzor 8650 CPU+300 MHz	800 MHz	256 MB	DDR2 800MHz			-	- MB	0.45 Kg	1 év	2000 mAh	-	Android 2.2	2 GB	igen	WLAN b/g	802.11b/g	opció	Mini USB, USB 1.1	micro SD, Memóriakártya-olvasó	193x117x90 mm	egyéb	Front Camera, Flash Memória, 2 GB	új				
Overmax OV-NewBase2 Notebook	20465 Ft	7.00 inch	(800x480)	MKT Dual Core processzor	1200 MHz	1024 MB	DDR3 SDRAM			-	- MB	0.33 Kg	1 év	2800 mAh	-	Android 4.1	8 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	Micro USB	micro SD, Memóriakártya-olvasó	193 x 120 x 11 mm	egyéb	Front Camera, Érintőképernyő, Flash memória, 8GB	új				
Overmax OV-DualDrive Notebook	26764 Ft	7.00 inch	(800x480)	TCC processzor Dual Core	1200 MHz	1024 MB	DDR3 SDRAM			-	- MB	0.36 Kg	1 év	3000 mAh	-	Android 4.0 ICS	8 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	Micro USB, HDMI, Mini Display Port	micro SD, Memóriakártya-olvasó	188 x 120 x 10 mm	egyéb	Érintőképernyő, Flash memória, 8GB, Front Camera, Back Camera	új				
GoClever R83.2 Notebook	29913 Ft	8.00 inch	Multi-Touch IPS LCD (1024x768)	RockChip RK3066 processzor Cortex A9	1600 MHz	1024 MB	DDR3 SDRAM			Mali 400 MP4	- MB	0.42 Kg	2 év	3800 mAh	-	Android 4.1	8 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	Bluetooth, Micro USB	micro SD, Memóriakártya-olvasó	210x162x10 mm	egyéb	Front Camera, Érintőképernyő, Flash memória, 8GB, Back Camera	új				
Acer B1-710-83171G00nw Notebook	31488 Ft	7.00 inch	1024 x 600	MKT Dual Core processzor	1200 MHz	1024 MB	DDR3 SDRAM			-	- MB	0.33 Kg	1 év	2640 mAh	-	Android 4.0 ICS	8 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	Micro USB, Bluetooth	Memóriakártya-olvasó, micro SD	197.4 x 128.5 x 12.4 mm	egyéb	Flash memória, 8GB, Webcamera, Érintőképernyő	új				
Texet TM-8041HD Notebook	33063 Ft	8.00 inch	Multi-Touch 1024x768 LED	ARM Cortex processzor A9 Dual Core	1500 MHz	1024 MB	DDR3 SDRAM			-	- MB	0.42 Kg	2 év	4400 mAh	-	Android 4.1	8 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	Mini HDMI, Micro USB	micro SD, Memóriakártya-olvasó	199 x 153 x 9,6 mm	egyéb	Front Camera, Érintőképernyő, Flash memória, 8GB, Back Camera	új				
Acer B1-710-83171G01nw Notebook	33850 Ft	7.00 inch	1024 x 600	MKT Dual Core processzor	1200 MHz	1024 MB	DDR3 SDRAM			-	- MB	0.33 Kg	1 év	2640 mAh	-	Android 4.0 ICS	16 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	Bluetooth, Micro USB	micro SD, Memóriakártya-olvasó	197.4 x 128.5 x 12.4 mm	egyéb	Webcamera, Érintőképernyő, Flash memória, 16GB	új				
Maxell MAXTab H-8 Notebook	33850 Ft	8.00 inch	Multi-Touch 1024x768 LED	ARM Cortex processzor A9 Dual Core	1500 MHz	512 MB	DDR3 SDRAM			-	- MB	0.55 Kg	2 év	5200 mAh	-	Android 4.1	4 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	HDMI, Micro USB, Mini USB	micro SD, Memóriakártya-olvasó		egyéb	Flash Memória, 4 GB, Érintőképernyő, Front Camera	új				
Overmax OV-DualDrive Európa térképpel Notebook	33850 Ft	7.00 inch	(800x480)	TCC processzor Dual Core	1200 MHz	1024 MB	DDR3 SDRAM			-	- MB	0.36 Kg	1 év	3000 mAh	-	Android 4.0 ICS	8 GB	igen	WLAN a/b/g/n	802.11b/g/n	opció	HDMI, Micro USB, Mini Display Port	micro SD, Memóriakártya-olvasó	188 x 120 x 10 mm	egyéb	Érintőképernyő, Flash memória, 8GB, Front Camera, Back Camera, GPS	új				
BluePanther Voyager GT Notebook	34638 Ft	7.00 inch	1024 x 600	ARM Cortex processzor A9	1024 MHz	1024 MB	DDR3 SDRAM			Power VR SGX531	- MB	0.34 Kg	1 év	4500 mAh	-	Android 4.0 ICS	8 GB	igen	10/100Mbps, WLAN a/b/g/n, WLAN g/n	802.11b/g/n	opció	Mini USB	Memóriakártya-olvasó	193,7 x 122,6 x 10,2 mm	egyéb	Flash memória, 8GB	új				
Funsreen Luna Slim 7C23 Notebook	34638 Ft	7.00 inch	(800x480)	Telechips 8803 processzor Cortex A8	1024 MHz	512 MB	DDR3 SDRAM			-	- MB	0.45 Kg	1 év	3600 mAh	-	Android 2.3	4 GB	igen	WLAN b/g	802.11b/g	opció	Mini USB	micro SD, Memóriakártya-olvasó	193x123x13,8 mm	egyéb	Front Camera, Flash Memória, 4 GB	új				
