TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Chipset	Méret	Audio	LAN	WLAN	BT	HSDPA	Kamera	CR	HDMI	VGA ki	USB	TV ki	DP	FP	ExpressCard	FW	eSata	Egyéb	Tárhely	Tárhely bővítés	Interfészek
ACER V5-121-C72G32akk	0 Ft	11.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	AMD® C-70 Dual-Core™ (1.00 - 1.33 GHz, 1024 KB)	2GB DDR3/1333 MHz	320GB 5400RPM SATA	AMD Radeon™ HD 7290M	1.2kg	24 hónap	2500 mAh (Lithium-ion)	USB DVD-RW (vásárolható)	Linux	Intel® HM70 Express	285 x 202 x 25.4mm	HD Audio	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	Acer Crystal Eye webkamera 1280 x 1024 felbontás, továbbfejlesztett Acer PrimaLite technológia™	4in1 Card reader	Van	Van	2db USB 2.0 - 1db USB 3.0	Nem										
Acer V5-431-10074G50Mabb Blue	0 Ft	14.1" WXGA HD-LED GlareType 1366x768 pixel	Intel® Celeron® Processor 1007U (2M Cache, 1.50 GHz)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.1 kg	24 hónap	2500 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Intel® HM77 Express	285 x 202 x 20.95-27.35 mm	HD Audio	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	Acer Crystal Eye HD webcam with	2in1 Card reader	Van	Van	2db USB 2.0 - 1db USB 3.0	http://www.youtube.com/watch?feature=player_embedded&v=u6ID7yHo74Y	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
HP Pavilion Sleekbook 15-B105SH D4Z61EA	0 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Pentium® 2117U Processor (2M Cache, 1.80 GHz)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.1kg	24 hónap	4400 mAh (Lithium-ion)	USB DVD-RW (vásárolható)	FreeDos	Intel® HM70 Express	385.7 x 259 x 21 mm	Altec Lansing® hangszórók - Dolby Advanced Audio	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 2.1	Nincs	HP TrueVision HD webkamera beépített digitális mikrofonnal	2in1 Card reader	Van	Nem	1db USB 2.0 - 2db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
ASUS X550CA-XO145D fehér	0 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Celeron® Processor 1007U (2M Cache, 1.50 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	Intel® HD Graphics	2.3kg	24 hónap	3700 mAh (Lithium Polymer)	USB DVD-RW (vásárolható)	FreeDos	Intel® HM76 Express	38.0 x 2.51 x 2.48 ~3.17 cm	Beépített hangszóró és mikrofon	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nem	HD webkamera (720p)	3in1 Card reader	Van	Van	1db USB 2.0 - 1db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nem	Nem				
TOSHIBA Satellite C55-A-163 fehér	0 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Celeron® Processor 1005U (2M Cache, 1.9 GHz)	4GB DDR3/1600 MHz	750GB 5400RPM SATA	Intel® HD Graphics	2.3 Kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Mobile Intel® HM70 Express Chipset	380 x 242 x 30,8 - 33,35 mm	Realtek ALC269Q-VB5-GR beépített sztereó hangszórók	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	beépített 1 megapixeles HD webkamera (1280 x 800) beépített mikrofonnal	5in1 Card reader	Van	Van	2db USB 2.0 - 1db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
ASUS X401A-WX530D Pink	0 Ft	14" WXGA HD LED GlareType 1366x768 pixel	Intel® Pentium® 2020M Processor (2M Cache, 2.40 GHz)	4GB DDR3/1333 MHz	500GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	1,85 kg	24 hónap	47WHr (Lithium-ion)	USB DVD-RW (vásárolható)	FreeDos	Intel® HM70 Express	344x 241 x 26,5 mm	Altec Lansing® hangszórók	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	0.3 megapixeles rögzített webkamera	3in1 Card reader	Van	Van	1db USB 2.0 - 1db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
HP Compaq CQ58-351SH D4Y04EA	0 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	AMD® E1-1200 Dual-Core (1.4Ghz, 1MB L2)	4GB DDR3/1333 MHz	750GB 5400RPM SATA	AMD Radeon™ HD 7310M	2.45kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	AMD A68M	376 x 247 x 31.3 cm	Altec Lansing® hangszórók	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 2.1	Nincs	HP TrueVision HD webkamera beépített digitális mikrofonnal	2in1 Card reader	Van	Van	3db USB 2.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
LENOVO IdeaPad B590 59-374005	0 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Pentium® 2020M Processor (2M Cache, 2.40 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.5kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Intel® HM70 Express	378 x 252 x 33.4 mm	Nem	Gigabit LAN	Wireless 802.11b/g/n	Nincs	Nincs	0.3MPixel webkamera	4in1 Card reader	Van	Van	2db USB 2.0 - 1db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nincs				
Asus X200CA-KX052H	0 Ft	11.6" WXGA HD-LED Multi-Touch 1366x768 pixel	Intel® Celeron® Processor 1007U (2M Cache, 1.50 GHz)	2GB DDR3/1333 MHz	500GB 5400RPM SATA	Intel® HD Graphics	1.24 Kg	24 hónap	3260 mAh (Lithium Polymer)	USB DVD-RW (vásárolható)	Windows 8	Intel® HM70 Express	30.2 x 20.0 x 2.56 cm	SonicMaster	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	HD webkamera	2in1 Card reader	Van	Van	2db USB 2.0 - 1db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
Acer Aspire E1-530-21174G75Mnkk	0 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Pentium® 2117U Processor (2M Cache, 1.80 GHz)	4GB DDR3/1600 MHz	750GB 5400RPM SATA	Intel® HD Graphics	2.35kg	24 hónap	2500 mAh (Lithium-ion)	8x DVD+-RW DL drive	Linux	Nem	Nem	Nem	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	HD felbontású webkamera	SD Card reader	Van	Van	3db USB 2.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
SAMSUNG Ativ Book 2 NP270E5V-K02HU	0 Ft	15.6" WXGA HD-LED AntiGlare (matt kijelző) 1366x768 pixel	Intel® Pentium® 2117U Processor (2M Cache, 1.80 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	Intel® Graphics Media Accelerator HD	2.2kg	24 hónap	4400 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Mobile Intel® HM65 Express	376.0 x 248.0 x 25.2 ~ 31.8mm	HD Audio	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	720p HD felbontású webkamera	3in1 Card reader	Van	Van	3db USB 2.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
LENOVO IdeaPad G505 59-390258	0 Ft	15.6" WXGA HD GlareType 1366x768 pixel	AMD® A4-5000M (2M Cache, 1.5GHz)	4GB DDR3/1600 MHz	1TB 5400RPM SATA	AMD Radeon™ HD 8570M 1024MB	2.6kg	24 hónap	2900 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	AMD® A76M Fusion™	377 x 250 x 34 mm	Dolby® Advanced Audio™ v2	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nincs	1MP HD Webkamera	2in1 Card reader	Van	Van	1db USB 2.0 - 2db USB 3.0	Nem	Nincs	Nincs	Nincs	Nincs	Nem	Nem				
HP 2000-2D03SH F2T63EA	0 Ft	15.6" WXGA HD-LED GlareType 1366x768 pixel	Intel® Core™ i3-3110M Processor (3M Cache, 2.40 GHz)	4GB DDR3/1600 MHz	750GB 5400RPM SATA	Intel® GMA HD 4000	2.45kg	24 hónap	47WHr (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Intel HM75 Express	376 x 247 x 35.8 mm	Altec Lansing hangszórók	10/100mbps LAN	Wireless 802.11b/g/n	Bluetooth 2.1	Nincs	HP TrueVision HD webkamera LED-es működésjelző fénnyel	2in1 Card reader	Van	Van	3db USB 2.0	Nem	Nincs	Nincs	Nincs	Nincs	Nincs	Nem				
ASUS X550CC-XX156D fehér	0 Ft	15.6" WXGA HD GlareType 1366x768 pixel	Intel® Pentium® 2117U Processor (2M Cache, 1.80 GHz)	4GB DDR3/1600 MHz	500GB 5400RPM SATA	NVIDIA® GeForce® GT 720M 2048MB	2.3kg	24 hónap	2600 mAh (Lithium-ion)	8x DVD+-RW DL drive	FreeDos	Intel® HM76 Express	380 x 251 x 24,8-31,7 mm	SonicMaster technológia	Gigabit LAN	Wireless 802.11b/g/n	Bluetooth 4.0	Nem	HD webkamera (720p)	3in1 Card reader	Van	Van	1db USB 2.0 - 1db USB 3.0	http://www.youtube.com/watch?v=3Q2_gXq7GG0	Nincs	Nincs	Nincs	Nincs	Nem	Nem				
