TermékNév	Ár	TFT	CPU	RAM	HDD	HDD +	GPU	Súly	Gar.	Akku	ODD	OS	LAN	Portok	Kamera	Egyéb	Audio	Szín
Lenovo Ideapad G500 (59-390483) Notebook	77900 Ft	15,6", 1366x768, 16:9	Intel Celeron DualCore, 1005M 1.90 GHz / 2MB Cache	4 GB, DDR3 1600MHz		1 TB, SATA-2	Intel GMA HD Graphics 4000	2,6 kg, 377 mm x 250 mm x 34 mm	2 év garancia	6 cella, 5 óra átlagos üzemidő, 4800 mAh	DVD +/- RW, Super Multi	FreeDos	10/100, 802.11.b/g/n WLAN	2 USB 3.0, 1 USB 2.0, Bluetooth 4.0 (low energy), 2 in 1 kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Toshiba Satellite C50-A-14L Notebook	78900 Ft	15,6" HD LED, 1366x768, 16:9	Intel Celeron DualCore, 1005M 1.90 GHz / 2MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD	2,3Kg, 380 x 242 x 30,8 (elöl) / 33,35 (hátul) mm	2 év garancia	6 cella, 3,5 óra átlagos üzemidő	DVD +/- RW, Dual Layer		10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Toshiba Satellite C50-A-14G Notebook	78900 Ft	15,6" HD LED, 1366x768, 16:9	Intel Celeron DualCore, 1005M 1.90 GHz / 2MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD	2,3Kg, 380 x 242 x 30,8 (elöl) / 33,35 (hátul) mm	2 év garancia	6 cella, 3,5 óra átlagos üzemidő	DVD +/- RW, Dual Layer		10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Dell Inspiron 3521 (INSP3521-33) Notebook	78900 Ft	15,6", 1366x768, 16:9	Intel Celeron DualCore, 1017U 1,6Ghz / 2MB Cache	2 GB, DDR3 1600MHz		320 GB, SATA-2	Intel GMA HD	2,3Kg, 25.4mm / 376mm / 259mm	3 év garancia	4 cella, 4000 mAh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11 n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD	Waves MaxxAudio 4 hangrendszer			
Dell Inspiron 3521 (DI3521I-1017-2GH32D4BK-11) Notebook	80900 Ft	15,6", 1366x768, 16:9	Intel Celeron DualCore, 1017U 1,6Ghz / 2MB Cache	2 GB, DDR3 1600MHz		320 GB, SATA-2	Intel GMA HD	2,3Kg, 25.4mm / 376mm / 259mm	3 év garancia	4 cella, 4000 mAh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11 n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD	Waves MaxxAudio 4 hangrendszer			
Toshiba Satellite C55-A-163 Notebook	84900 Ft	15,6" HD LED, 1366x768, 16:9	Intel Celeron DualCore, 1005M 1.90 GHz / 2MB Cache	4 GB, DDR3 1600MHz		750GB, SATA-2	Intel GMA HD	2,3Kg, 380 x 242 x 30,8 (elöl) / 33,35 (hátul) mm	2 év garancia	6 cella, 3,5 óra átlagos üzemidő	DVD +/- RW, Dual Layer		10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), Multi in 1kártyaolvasó, DSUB, HDMI out	Camera 1.0 MPix HD				
Lenovo Ideapad G505 (59-390261) Notebook	84900 Ft	15,6", 1366x768, 16:9	AMD , A4-5000 1.5 GHz 2MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	AMD/ATI Radeon HD 8330	2,6 kg, 377 mm x 250 mm x 34 mm	2 év garancia	6 cella	DVD +/- RW, Super Multi	FreeDos	10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), 2 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
Dell Inspiron 3521 (INSP3521-29) Notebook	84900 Ft	15,6", 1366x768, 16:9	Intel DualCore, 2127U 1.9GHz / 2MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD	2,3Kg, 25.4mm / 376mm / 259mm	3 év garancia	4 cella, 4000 mAh	DVD +/- RW, Dual Layer	Linux	10/100, 802.11 n WLAN	2 USB 2.0, 2 USB 3.0, Bluetooth 4.0 (low energy), 8 in 1 kártyaolvasó, HDMI out	Camera 1.0 MPix HD	Waves MaxxAudio 4 hangrendszer			
Lenovo Ideapad G505 (59-402610) Notebook	85900 Ft	15,6", 1366x768, 16:9	AMD , A4-5000 1.5 GHz 2MB Cache	4 GB, DDR3 1600MHz		1 TB, SATA-2	AMD/ATI Radeon HD 8330	2,6 kg, 377 mm x 250 mm x 34 mm	2 év garancia	6 cella	DVD +/- RW, Super Multi	FreeDos	10/100, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), 2 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
Lenovo Ideapad B590 (59-374005) Notebook	88900 Ft	15,6", 1366x768, 16:9	Intel DualCore, 2020M 2.40 GHz / 4MB Cache	4 GB, DDR3 1600MHz		500 GB, SATA-2	Intel GMA HD	2,2 kg	2 év garancia	6 cella, 2200 mAh	DVD +/- RW, Super Multi	FreeDos	10/100/1000, 802.11.b/g/n WLAN	2x USB 2.0 - 1x USB 3.0, Bluetooth 4.0 (low energy), 4 in 1 kártyaolvasó, DSUB, HDMI out	720p HD webkamera				
