TermékNév	Ár	TFT	CPU	RAM	HDD	GPU	Súly	Gar.	Akku	ODD	OS	Chipset	Audio	Bill.	Portok	Multimédia	Lopás védelem	Méret	Szállítás	Érintőkijelző: 	Biztonság	Mobil internet modul	GPS
Acer V5-121-C72G32akk NX.M83EU.001 Notebook	55039 Ft	11,6" HD WXGA matt LED TFT 16:9 (1366 x 768)	AMD C-70 (Dual-Core, 1.00 - 1.33 GHz)		11,6" HD WXGA matt LED TFT 16:9 (1366 x 768)	opcionális külső író (nem tartozék)	Intel Anti-Theft lopásvédelem 1évre 9990Ft	284 x 203 x 28 mm	magyar		Multi az 1-ben kártyaolvasó, beépített HD webkamera	AMD® A68M Fusion™	AMD Radeon™ HD 6290	Beépített sztereó hangszórók	4 cellás lítiumion (Li-Ion)	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		1.20 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Acer V5-131-10072G32nkk NX.M89EU.008 Notebook	55039 Ft	11,6" HD WXGA matt LED TFT 16:9 (1366 x 768)	Intel® Celeron® 1007U (Dual-Core, 1.5 GHz)		11,6" HD WXGA matt LED TFT 16:9 (1366 x 768)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	285 x 202 x 23,5 - 27,5 mm	magyar		5 az 1-ben kártyaolvasó, beépített 0,3Mpixel webkamera	Mobile Intel® NM70 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Beépített sztereó hangszórók	4 cellás lítiumion (Li-Ion)	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		1,2 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
ASUS X200CA-KX003D Notebook	57402 Ft	11,6" HD WXGA fényes LED TFT 16:9 (1366 x 768)	Intel® Celeron® 1007U (Dual-Core, 1.5 GHz)	2GB DDR3 1333MHz	11,6" HD WXGA fényes LED TFT 16:9 (1366 x 768)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	30.2 x 20.0 x 2.56 cm	magyar	320GB SATA 5400rpm	beépített 0,3Mpixel webkamera, 2 az 1-ben kártyaolvasó	Mobile Intel® HM70 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Beépített sztereó hangszórók	3 cellás (32 WHr) lithium-ion	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		1.24 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Acer V5-123-12102G32nkk NX.MFQEU.003 Notebook	62126 Ft	11,6" HD WXGA matt LED TFT 16:9 (1366 x 768)	AMD® E1-2100 (Dual-Core, 1 GHz)		11,6" HD WXGA matt LED TFT 16:9 (1366 x 768)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	285 x 202 x 27.4 mm	magyar		Multi az 1-ben kártyaolvasó, beépített HD webkamera	AMD® A70M Fusion™	AMD Radeon™ HD 8210	Beépített sztereó hangszórók	4 cellás lítiumion (Li-Ion)	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		1.20 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Acer V5-131-844G50NSS NX.M8AEU.001 Notebook	62913 Ft	11,6" HD WXGA fényes LED TFT 16:9 (1366 x 768)	Intel® Celeron® 847 (Dual-Core, 1.1 GHz)		11,6" HD WXGA fényes LED TFT 16:9 (1366 x 768)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	285 x 202 x 23,5 - 27,5 mm	magyar		5 az 1-ben kártyaolvasó, beépített 0,3Mpixel webkamera	Mobile Intel® NM70 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Beépített sztereó hangszórók	4 cellás lítiumion (Li-Ion)	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 a/g/n (WiFi), USB 3.0 (1db)		1,2 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Acer E1-532-29552G50Dnkk NX.MFVEU.010 Notebook	62913 Ft	15,6" HD LED matt TFT 16:9 (1366 x 768)	Intel® Celeron® 2955U (Dual-Core, 1.4 GHz)		15,6" HD LED matt TFT 16:9 (1366 x 768)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	381.6 x 256 x 25.3 mm	magyar teljes méretű, numerikus billentyűkkel		Multi az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM86 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Beépített sztereó hangszórók	4 cellás lítiumion (Li-Ion)	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2.35 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Acer V5-131-10074G50nkk NX.M89EU.003 Notebook	62913 Ft	11,6" HD WXGA fényes LED TFT 16:9 (1366 x 768)	Intel® Celeron® 1007U (Dual-Core, 1.5 GHz)		11,6" HD WXGA fényes LED TFT 16:9 (1366 x 768)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	285 x 202 x 23,5 - 27,5 mm	magyar		5 az 1-ben kártyaolvasó, beépített 0,3Mpixel webkamera	Mobile Intel® NM70 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Beépített sztereó hangszórók	4 cellás lítiumion (Li-Ion)	10/100mbps LAN, USB 2.0 (2db), VGA monitor kimenet, HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		1,2 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Lenovo IdeaPad G505 59-390274 Notebook	62913 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	AMD® E1-2100 (Dual-Core, 1 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	DVD író / olvasó (supermulti)	Üzembehelyezés / installáció 6000Ft	377 x 250 x 34 mm	magyar teljes méretű, numerikus billentyűkkel		2 az 1-ben kártyaolvasó, beépített HD webkamera	AMD® A68M Fusion™	AMD Radeon™ HD 8210	Dolby® Advanced Audio™ v2	6 cellás lithium-ion	10/100mbps LAN, VGA monitor kimenet, USB 2.0 (1db), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (2db), Bluetooth v4.0 + HS		2.6 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Acer V5-123-12104G50NSS NX.MFREU.001 Notebook	62913 Ft	11,6" HD WXGA matt LED TFT 16:9 (1366 x 768)	AMD® E1-2100 (Dual-Core, 1 GHz)		11,6" HD WXGA matt LED TFT 16:9 (1366 x 768)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	285 x 202 x 27.4 mm	magyar		Multi az 1-ben kártyaolvasó, beépített HD webkamera	AMD® A70M Fusion™	AMD Radeon™ HD 8210	Beépített sztereó hangszórók	4 cellás lítiumion (Li-Ion)	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		1.20 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
Acer E1-532-29552G50Mnkk NX.MFVEU.013 Notebook	64488 Ft	15,6" HD LED fényes TFT 16:9 (1366 x 768)	Intel® Celeron® 2955U (Dual-Core, 1.4 GHz)		15,6" HD LED fényes TFT 16:9 (1366 x 768)	opcionális külső író (nem tartozék)	Üzembehelyezés / installáció 6000Ft	381.6 x 256 x 25.3 mm	magyar teljes méretű, numerikus billentyűkkel		Multi az 1-ben kártyaolvasó, beépített HD webkamera	Mobile Intel® HM86 Express Chipset	Intel® HD Graphics integrált VGA vezérlő	Beépített sztereó hangszórók	4 cellás lítiumion (Li-Ion)	USB 2.0 (2db), VGA monitor kimenet, Gigabit LAN (10/100/1000), HDMI csatlakozó, Wireless LAN 802.11 b/g/n (WiFi), USB 3.0 (1db), Bluetooth v4.0 + HS		2.35 kg	2 év nemzetközi, belföldön el- és visszaszállítás					
