TermékNév	Ár	TFT	TFT Szabány	TFT Méret	TFT Méret +	TFT Felb.	TFT X	TFT Y	TFT Arány	TFT Típus	TFT Touch	TFT Fok	TFT Színhű	CPU	CPU Gyártó	CPU Család	CPU Magok	CPU Frek.	CPU Turbo	CPU SS	CPU Cache	CPU RAM Max	CPU 64	CPU Tech	CPU Wh	CPU Virt	CPU HT	RAM	RAM Méret	RAM Típus	HDD	HDD Típus	HDD 2	HDD 2 Típus	GPU	GPU Gyártó	GPU Család	GPU Típus	GPU Mem	GPU Mem Típus	GPU Tech	GPU DX	GPU Shader	GPU OGL	Súly	Akku	Akku Cella	Akku Wh	Akku Típus	Akku Idő	ODD	ODD Hely	ODD CD	ODD DVD	ODD BR	OS	OS Család	OS Típus	OS Nyelv	OS 32/64	Modell	Kategória	Egyéb	LAN	WLAN	BT	CR	USB	VGA ki	HDMI	Audio	Mikrofon	Kamera	Bill.	Bill. Szín	Bill. Gombok	FP	Kensington	Széles	Mély	Magas	HDD RPM	HSDPA	ExpressCard	Dokk	USB 3	eSata	FW	DP	Mikrofon be	Bill. Num	Multitouch	AC	Backlit KB	TPM	Utazó akkumulátor csatlakozó	Modem	Com	Éjjeli megvilágítás	Beépített kamera	Vonal bemenet	TFT 3D
SONY VAIO Z széria notebook	692038 Ft	13.1" HD (1600x900) Display Premium AG LED	WXGA++	13,1 "	matt	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	széles	Igen	Intel Core i7 2620M	Intel	Core i7	2	2,70 GHz	3,4 GHz	Igen	4 MB	8 GB	Igen	32 nm	35 W	Igen	Igen	8GB DDR3	8 GB	DDR3	256 GB	SSD			GMA HD3000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	32 nm	10,1	4,1	3,0	1,2 kg	SONY VAIO Z series 6-cell	6	48 Wh	Li-Ion Polymer	kiváló	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit		felső kategória	üzleti	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	1 db USB	Igen	Igen	Igen	mono	HD	Magyar billentyűzet	sötét alapon világos karakterek	2	Igen	Igen	330 mm	210 mm	17 mm																						
HP Elitebook 8770w Mobile Workstation notebook	352676 Ft	17.3" Full HD (1920x1080) AG WVA LED	WUXGA	17,3 "	matt	Full HD (1080p képes)	1920 pixel	1080 pixel	16:9	LED TFT	nem	széles		Intel Core i5 3380M	Intel	Core i5	2	2,90 GHz	3,6 GHz	Igen	3 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD	750 GB	HDD	FirePro M4000 / 1GB	AMD	FirePro	dedikált (közép kategória)	1,0 GB	GDDR5	28 nm	11,0	5,0	4,2	3,5 kg	HP Elitebook 8770w 8-cell	8	83 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 8 Pro 64bit hun	Windows 8	Professional	Magyar	64 bit	HP EliteBook 87xx	felső kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	4 db USB	Igen		Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	6	Igen	Igen	417 mm	273 mm	37 mm	7200 fordulat/perc	foglalat	Igen	Igen	2 db USB3	Igen	Igen	Igen	Igen	Igen	Igen	200 W										
TOSHIBA Qosmio X70-A notebook	473149 Ft	17.3" Full HD (1920x1080) TruBrite LED	WUXGA	17,3 "	fényes	Full HD (1080p képes)	1920 pixel	1080 pixel	16:9	LED TFT	nem	normál		Intel Core i7 4700MQ	Intel	Core i7	4	2,40 GHz	3,4 GHz	Igen	6 MB	32 GB	Igen	22 nm	4 W	Igen	Igen	32GB DDR3	32 GB	DDR3	1000 GB	HDD	1000 GB	HDD	GeForce GTX 770M / 3GB	NVIDIA	GeForce	dedikált (felső kategória)	3,0 GB	GDDR5	28 nm	11,0	5,0	4,3	3,6 kg						Blu-Ray R/RE - DVD+/-RW combo	beépített	ír és olvas	ír és olvas	ír és olvas	Windows 8 Pro 64bit hun	Windows 8	Professional	Magyar	64 bit	TOSHIBA Qosmio X	felső kategória	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	van	Full HD	Magyar billentyűzet	sötét alapon világos karakterek			Igen	419 mm	273 mm	30 mm	5400 fordulat/perc				2 db USB3				Igen	Igen		180 W	Igen									
LENOVO ThinkPad T431s notebook	451101 Ft	14.0" HD+ (1600x900) AG LED	WXGA++	14,0 "	matt	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	normál		Intel Core i7 3687U	Intel	Core i7	2	2,10 GHz	3,3 GHz	Igen	4 MB	32 GB	Igen	22 nm	17 W	Igen	Igen	8GB DDR3	8 GB	DDR3	240 GB	SSD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	1,6 kg	LENOVO ThinkPad T431 3-cell	3	47 Wh	Li-Ion Polymer	kiváló						Windows 8 Pro 64bit hun	Windows 8	Professional	Magyar	64 bit	LENOVO ThinkPad T	felső kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	2 db USB	Igen		Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	5		Igen	331 mm	226 mm	21 mm		foglalat		Igen	2 db USB3			Igen	Igen		Igen		Igen									
DELL Latitude E6540 notebook	290472 Ft	15.6" Full HD (1920x1080) AG LED	WUXGA	15,6 "	matt	Full HD (1080p képes)	1920 pixel	1080 pixel	16:9	LED TFT	nem	normál		Intel Core i5 4300M	Intel	Core i5	2	2,60 GHz	3,3 GHz	Igen	3 MB	32 GB	Igen	22 nm	37 W	Igen	Igen	4GB DDR3	4 GB	DDR3	8 GB	SSD	500 GB	HDD	GMA HD4600	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,1	5,0	4,0	2,4 kg	DELL Latitude E6540 6-cell	6	60 Wh	Li-Ion	normál	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	DELL Latitude E6xxx	felső kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	van	HD	Magyar billentyűzet	sötét alapon világos karakterek	5	Igen	Igen	379 mm	251 mm	33 mm	5400 fordulat/perc	foglalat	Igen	Igen	4 db USB3				Igen	Igen	Igen	65 W	Igen	Igen	Igen							
DELL Latitude E6430 notebook	314881 Ft	14.0" HD (1366x768) AG LED	WXGA	14,0 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 3340M	Intel	Core i5	2	2,70 GHz	3,4 GHz	Igen	3 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	8GB DDR3	8 GB	DDR3	256 GB	SSD			NVS 5200M / 1GB	NVIDIA	quadro NVS	dedikált (belépő szint)	1,0 GB	GDDR3	40 nm	11,0	5,0	2,1	2,0 kg	DELL Latitude E6430 6-cell	6	60 Wh	Li-Ion	kiváló	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	DELL Latitude E6xxx	felső kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2	Igen	Igen	352 mm	241 mm	27 mm	7200 fordulat/perc	foglalat	Igen	Igen	2 db USB3	Igen			Igen		Igen	90 W	Igen									
LENOVO ThinkPad X230 notebook	386535 Ft	12.5" HD (1366x768) AG LED	WXGA	12,5 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i7 3520M	Intel	Core i7	2	2,90 GHz	3,6 GHz	Igen	4 MB	32 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	500 GB	HDD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	1,3 kg	LENOVO ThinkPad X230 6-cell	6	63 Wh	Li-Ion	normál						Windows 8 Pro 64bit hun	Windows 8	Professional	Magyar	64 bit	LENOVO ThinkPad X	felső kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	3 db USB	Igen		Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	2	Igen	Igen	305 mm	207 mm	19 mm	7200 fordulat/perc	foglalat	Igen		2 db USB3			Igen	Igen		Igen	90 W	Igen			Igen						
DELL XPS 15 notebook	380235 Ft	15.6" Full HD (1920x1080) TrueLife LED	WUXGA	15,6 "	fényes	Full HD (1080p képes)	1920 pixel	1080 pixel	16:9	LED TFT	nem	széles		Intel Core i5 3210M	Intel	Core i5	2	2,50 GHz	3,1 GHz	Igen	3 MB	16 GB	Igen	22 nm	35 W	Igen	Igen	4GB DDR3	4 GB	DDR3	750 GB	HDD			GeForce GT 640M / 2GB	NVIDIA	GeForce	dedikált (felső kategória)	2,0 GB	GDDR3	28 nm	11,1	5,0	4,1	2,6 kg	DELL XPS 15 9-cell	9	65 Wh	Li-Ion Polymer	kiváló	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 8 64bit hun	Windows 8	Home	Magyar	64 bit	DELL XPS 15	közép kategória	otthoni	10/100/1000 gigabit	802.11(b/g/n)	Igen	Igen	3 db USB	Igen	Igen	Igen	stereo	HD	Angol billentyűzet	sötét alapon világos karakterek	3	Igen	Igen	371 mm	249 mm	23 mm	7200 fordulat/perc				3 db USB3			Igen	Igen			90 W		Igen								
DELL Latitude E6440 notebook	375511 Ft	14.0" HD+ (1600x900) AG LED	WXGA++	14,0 "	matt	HD+ (900p képes)	1600 pixel	900 pixel	16:9	LED TFT	nem	normál		Intel Core i7 4600U	Intel	Core i7	2	2,10 GHz	3,3 GHz	Igen	4 MB	16 GB	Igen	22 nm	15 W	Igen	Igen	8GB DDR3	8 GB	DDR3	128 GB	SSD			Radeon HD 8690M / 2GB	ATI	Radeon	dedikált (felső kategória)	2,0 GB	GDDR5	28 nm	11,1	5,0	4,2	2,1 kg	DELL Latitude E6440 6-cell	6	60 Wh	Li-Ion	kiváló	DVD+/-RW DL	beépített	ír és olvas	ír és olvas	nincs	Windows 7 Prof 64bit hun	Windows 7	Professional	Magyar	64 bit	DELL Latitude E6xxx	felső kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	4 db USB	Igen	Igen	Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	4	Igen	Igen	338 mm	232 mm	32 mm		foglalat	Igen		4 db USB3				Igen		Igen	65 W	Igen	Igen								
HP Elitebook Folio 9470m notebook	363700 Ft	14.0" HD (1366x768) AG LED	WXGA	14,0 "	matt	HD (720p képes)	1366 pixel	768 pixel	16:9	LED TFT	nem	normál		Intel Core i5 3437U	Intel	Core i5	2	1,90 GHz	2,9 GHz	Igen	3 MB	32 GB	Igen	22 nm	17 W	Igen	Igen	4GB DDR3	4 GB	DDR3	180 GB	SSD			GMA HD4000	Intel	(GMA)	integrált	0,0 GB	Rendszer memóriával megegyező	22 nm	11,0	5,0	4,0	1,6 kg	HP EliteBook Folio 9470m 4-cell	4	52 Wh	Li-Ion	kiváló						Windows 8 Pro 64bit hun	Windows 8	Professional	Magyar	64 bit	HP EliteBook Folio	felső kategória	üzleti	10/100/1000 gigabit	802.11(a/b/g/n)	Igen	Igen	3 db USB	Igen		Igen	stereo	HD	Magyar billentyűzet	sötét alapon világos karakterek	4	Igen	Igen	338 mm	231 mm	19 mm				Igen	3 db USB3			Igen	Igen		Igen	45 W	Igen	Igen								
