TermékNév	Ár	TFT Méret	TFT Felb.	TFT Típus	TFT Jell.	CPU Gyártó	CPU Család	CPU Típus	CPU +	RAM Méret	RAM Frek.	RAM Jell.	HDD Méret	HDD Típus	HDD Jell.	GPU Gyártó	GPU Típus	GPU Jelleg	GPU Jell.	Súly	Gar.	Gar. Típus	Akku	ODD	Chipset	Kategória	Típus	Állapot	Szín	Akció	Háttértár HDD meghajtó méret	Háttértár Tipus	Háttértár Jellemzők	Videókártya Jellemzők	Egyéb technikai paraméretek Billentyűzet	Bill.	Touchpad	Audio	Portok	Portok +	ExpressCard	Tartozék	LAN	LAN +	OS	Egyéb	Méret	Fizikai paraméterek Egyéb leírás	Optikai meghajtó Jellemzők	Operációs rendszer Verzió	Operációs rendszer Nyelv	Videókártya Dedikált memória	Fizikai paraméterek Ajándék kiegészítők	Háttértár SSD / Flash meghajtó méret	OS Jell.
Acer Aspire V5-131-10072G32NKK	5.9767589304665E+48 Ft	11,6 "	1366x768 WXGA HD	Fényes, LED	Acer CineCrystal	Intel®	Celeron Dual Core	1007U 1,5 GHz	2 MB Cache	2 GB	DDR3 1600 MHz	1 x 2GB, max. 8 GB, 2 soDIMM				Intel	HD Graphics	Alaplapi integrált		1.38 kg	2 év (1 év az akkura és töltőre)	Nemzetközi, El- és visszaszállításos	4-cellás Li-Ion 37 Wh 2500 mAhmax. 4h	Nincs	Intel NM70/HM70 Express Chipset	2 kg alatt	Notebook / Laptop	Új	Fekete hátlap	Igen	320 GB	HDD	Serial ATA 5400rpm	Microsoft® DirectX® 10.1	Magyar	84-/85-/88-gombos teljes méretű FineTip	Multi-touch TouchPad	High-definition audiosztereo hangszórók, mikrofonHeadphone/speaker jack	USB 3.0, Webkamera, Memóriakártya olvasó, VGA, HDMI	1*USB 3.0, 2*USB 2.0, VGA, HDMI	SD, MMC Memóriakártya olvasó	720p HD Webkamera 1280 x 720	WLAN	Acer InviLink Nplify 802.11b/g/n Wi-FiFast Ethernet	Külön vásárolható	Linux	285 (W) x 202 (D) x 20.95/27.35 (H) mm	Video megtekintése ->								
Asus X200CA-KX003D	5.8653818956623E+34 Ft	11,6 "	1366x768 WXGA HD	LED		Intel®	Celeron Dual Core	1007U 1.50 GHz	2M Cache	2 GB		DDR3, alaplapon				Intel	HD Graphics	Alaplapi integrált		1.24 kg	2 év (1 év az akkura és töltőre)	Világ, El- és visszaszállításos	2 cellás 5136mAh	Nincs	Intel® HM70 Express Chipset	2 kg alatt, Általános otthoni/irodai	Notebook / Laptop	Új	Fekete hátlap	Nem	320 GB	HDD	2.5" SATA		Magyar			hangszórók és mikrofon1 x COMBO audio jack	Memóriakártya olvasó, USB 3.0, VGA, Bluetooth, HDMI	Bluetooth™ V4.01 x VGA port/Mini D-sub 15-pin 1 x USB 3.0 port 2 x USB 2.0 port1 x HDMI	2 -in-1 kártyaolvasó (SD/ SDHC/ SDXC/ MMC)	HD webkamera	WLAN	802.11 b/g/n WLAN 10/100 Base T LAN	Külön vásárolható	FreeDOS	30.2 x 20.0 x 2.56 cm (WxDxH)									
Acer Aspire V5-123-12102G32nkk	3.9293046654623E+44 Ft	11,6 "	1366x768 WXGA HD	LED		AMD	E-Series	E1-2100 1.00 GHz	Dual-core, 1 MB cache	2 GB		DDR3, max. 4GB				AMD/ATI	Radeon HD 8210	Alaplapi integrált		1.20 kg	2 év (1 év az akkura és töltőre)	Nemzetközi, El- és visszaszállításos	4-cellás Li-Ion, 2500 mAhmax. 4h			Általános otthoni/irodai	Notebook / Laptop	Új	Fekete hátlap	Igen	320 GB	HDD	Serial ATA 5400RPM		Magyar		TouchPad, Multi-touch, gesztusfelismerés	hangszóró, mikrofon	USB 3.0, HDMI, Bluetooth, VGA, Memóriakártya olvasó, Webkamera	Bluetooth, HDMI, USB 3.0, 2*USB 2.0, VGA	Secure Digital (SD) kártyaolvasó	Webkamera		Wi-Fi: Acer Nplify 802.11b/g/n Fast Ethernet	Külön vásárolható	Linpus Linux	23.50 - 27.50 * 285.0 * 202.0 mm	Video megtekintése ->								
Acer Aspire V5-131-10074G50NKK	9.0476189304665E+48 Ft	11,6 "	1366x768 WXGA HD	Fényes, LED	Acer CineCrystal	Intel®	Celeron Dual Core	1007U 1,5 GHz	2 MB Cache	4 GB	DDR3 1600 MHz	1 x 4GB, max. 8 GB, 2 soDIMM				Intel	HD Graphics	Alaplapi integrált		1.38 kg	2 év (1 év az akkura és töltőre)	Nemzetközi, El- és visszaszállításos	4-cellás Li-Ion 37 Wh 2500 mAhmax. 4h	Nincs	Intel NM70/HM70 Express Chipset	2 kg alatt	Notebook / Laptop	Új	Fekete hátlap	Igen	500 GB	HDD	Serial ATA 5400rpm	Microsoft® DirectX® 10.1	Magyar	84-/85-/88-gombos teljes méretű FineTip	Multi-touch TouchPad	High-definition audiosztereo hangszórók, mikrofonHeadphone/speaker jack	HDMI, Webkamera, Memóriakártya olvasó, VGA	3*USB 2.0, VGA, HDMI	SD, MMC Memóriakártya olvasó	720p HD Webkamera 1280 x 720	WLAN	Acer InviLink Nplify 802.11b/g/n Wi-FiFast Ethernet	Külön vásárolható	Linux	285 (W) x 202 (D) x 20.95/27.35 (H) mm	Video megtekintése ->								
Acer Aspire V5-123-12104G50nss	3.9293046654623E+44 Ft	11,6 "	1366x768 WXGA HD	LED, Matt	Acer ComfyView	AMD	E-Series	E1-2100 1.00 GHz	Dual-core, 1 MB cache	4 GB		DDR3, max. 4GB				AMD/ATI	Radeon HD 8210	Alaplapi integrált		1.20 kg	2 év (1 év az akkura és töltőre)	Nemzetközi, El- és visszaszállításos	4-cellás Li-Ion, 2500 mAhmax. 4h			Általános otthoni/irodai	Notebook / Laptop	Új	Ezüst hátlap	Igen	500 GB	HDD	Serial ATA		Magyar		TouchPad, Multi-touch, gesztusfelismerés	hangszóró, mikrofon	USB 3.0, HDMI, Bluetooth, VGA, Memóriakártya olvasó, Webkamera	Bluetooth, HDMI, USB 3.0, 2*USB 2.0, VGA	Secure Digital (SD) kártyaolvasó	Acer Crystal Eye HD Webkamera		Wi-Fi: Acer Nplify 802.11b/g/n Fast Ethernet	Külön vásárolható	Boot-up Linux	23.50 - 27.50 * 285.0 * 202.0 mm	Video megtekintése ->								
Asus X200CA-KX011D	6.6606558956623E+34 Ft	11,6 "	1366x768 WXGA HD	Fényes, LED		Intel®	Celeron Dual Core	1007U 1.50 GHz	2M Cache	4 GB	DDR3 1333 MHz	DDR3, alaplapon				Intel	HD Graphics	Alaplapi integrált		1.24 kg	2 év (1 év az akkura és töltőre)	Világ, El- és visszaszállításos	2 cellás 5136mAh	Nincs	Intel® HM70 Express Chipset	2 kg alatt, Általános otthoni/irodai	Notebook / Laptop	Új	Fekete hátlap	Nem	500 GB	HDD	5400rpm 2.5" SATA		Magyar			hangszórók és mikrofon1 x COMBO audio jack	VGA, HDMI, Memóriakártya olvasó, USB 3.0	1 x VGA port/Mini D-sub 15-pin 1 x USB 3.0 port 2 x USB 2.0 port1 x HDMI	2 -in-1 kártyaolvasó (SD/ SDHC/ SDXC/ MMC)	720p HD webkamera	WLAN	802.11 b/g/n WLAN 10/100 Base T LAN	Külön vásárolható	FreeDOS	30.2 x 20.0 x 2.56 cm (WxDxH)									
Acer Aspire E1-532-29554G50MNKK	9.0476189304666E+44 Ft	15,6 "	1366x768 WXGA HD	Fényes, LED	Acer CineCrystalSuper-slim design	Intel®	Celeron Dual Core	2955U 1.4 GHz	2M Cache, 15 W	4 GB	DDR3 1600 MHz	1 x 4GB DDR3L SDRAM, max. 8 GB				Intel	HD Graphics	Alaplapi integrált		2.35 kg	2 év (1 év az akkura és töltőre)	Nemzetközi, El- és visszaszállításos	37 Wh 2500 mAh 14.8 V 4-cellás Li-ionmax. 4h	DVD író		Általános otthoni/irodai	Notebook / Laptop	Új	Fekete hátlap	Igen	500 GB	HDD	Serial ATA 5400 RPM		Magyar, Numerikus billentyűzet	103-/104-/107-gombos FineTip	Multi-gesture touchpad	High-definition audiosztereo hangszórók, mikrofonHeadphone/speaker jack	Bluetooth, USB 3.0, Webkamera, HDMI, Memóriakártya olvasó, VGA	Bluetooth, HDMI®, VGA, USB 3.0, 2*USB 2.0	Secure Digital (SD) kártyaolvasó	Acer Crystal Eye 720p HD webkamera, 1280 x 720	WLAN	Acer InviLink Nplify 802.11b/g/n Wi-FiGigabit Ethernet	Külön vásárolható	Linux	381.6 (W) x 256 (D) x 12.07/25.3 (H) mm		8X DVD-Super Multi double-layer							
Asus X502CA-XX084D	6.8969073881648E+39 Ft	15,6 "	1366x768 WXGA HD	LED, Fényes		Intel®	Celeron Dual Core	1007U 1,5 GHz	2MB cache	4 GB	DDR3 1600 MHz	beépítve, Nem bővíthető				Intel	HD Graphics	Alaplapi integrált		2 kg	2 év (1 év az akkura és töltőre)	Világ, El- és visszaszállításos	2 cellás (Polymer) 5136 mAh	Nincs	Mobile Intel® HM76 Express	2 kg alatt, Általános otthoni/irodai	Notebook / Laptop	Új	Fehér hátlap	Nem	320 GB	HDD	SATA 5400rpm		Magyar, Numerikus billentyűzet			2.0 Hangszóró	HDMI, USB 3.0, Webkamera, Memóriakártya olvasó, VGA	VGA, HDMI, 2*USB 2.0, USB 3.0	SD Kártyaolvasó	720p Webkamera	WLAN	Gigabit LAN / 802.11bgn	Külön vásárolható	FreeDOS	383 x 258 x 20-21,7 mm									
Asus X551CA-SX029D	6.8968758966856E+30 Ft	15,6 "	1366x768 WXGA HD	Fényes, LED		Intel®	Celeron Dual Core	1007U 1,5 GHz	2M Cache	4 GB	DDR3 1600 MHz	Nem bővíthető				Intel	HD Graphics	Alaplapi integrált		2.15 kg	2 év (1 év az akkura és töltőre)	Világ, El- és visszaszállításos	4 cellás 2600mAh 37Whr	DVD író	Mobile Intel® HM70 Express	Általános otthoni/irodai	Notebook / Laptop	Új	Fekete hátlap	Nem	500 GB	HDD	5400rpm SATA		Numerikus billentyűzet, Magyar			SonicMaster sztereo hangszórók, mikrofonMaxxAudio támogatás1 x COMBO audio jack	Memóriakártya olvasó, HDMI, USB 3.0, Webkamera	1 x USB 3.0 port, 1 x USB 2.0 port, 1 x HDMI	SD/ MMC kártyaolvasó	720p HD Webkamera	WLAN	802.11bgn WLAN10/100 Base T LAN	Külön vásárolható	FreeDOS	380 x 251 x 30.9 ~36.59 mm (WxDxH)		Super-Multi DVD							
Asus X502CA-XX109D	6.9047498966856E+25 Ft	15,6 "	1366x768 WXGA HD	LED, Fényes		Intel®	Celeron Dual Core	1007U - 1,50GHz	2MB cache	4 GB	DDR3 1600 MHz	beépítve, Nem bővíthető				Intel	HD Graphics	Alaplapi integrált		2 kg	2 év (1 év az akkura és töltőre)	Világ, El- és visszaszállításos	2 cellás (Polymer) 5136 mAh		Mobile Intel® HM76 Express	2 kg alatt, Általános otthoni/irodai	Notebook / Laptop	Új	Fehér hátlap	Nem	500 GB	HDD	SATA 5400rpm		Magyar, Numerikus billentyűzet			2.0 Hangszóró	Bluetooth, HDMI, USB 3.0, Webkamera, Memóriakártya olvasó, VGA	Bluetooth 4.0VGA, HDMI, 2*USB 2.0, USB 3.0	SD Kártyaolvasó	720p Webkamera	WLAN	Gigabit LAN / 802.11bgn	Külön vásárolható	FreeDOS	383 x 258 x 20-21,7 mm									
Asus X502CA-XX078D	7.0622613881648E+39 Ft	15,6 "	1366x768 WXGA HD	LED, Fényes		Intel®	Celeron Dual Core	1007U (1,5 GHz, 2 MB)	2MB cache	4 GB	DDR3 1600 MHz	beépítve, Nem bővíthető				Intel	HD Graphics	Alaplapi integrált		2 kg	2 év (1 év az akkura és töltőre)	Világ, El- és visszaszállításos	2 cellás (Polymer) 5136 mAh	Nincs	Mobile Intel® HM76 Express	2 kg alatt, Általános otthoni/irodai	Notebook / Laptop	Új	Fekete hátlap	Nem	500 GB	HDD	SATA 5400rpm		Magyar, Numerikus billentyűzet			2.0 Hangszóró	HDMI, USB 3.0, Webkamera, Memóriakártya olvasó, VGA	VGA, HDMI, 2*USB 2.0, USB 3.0	SD Kártyaolvasó	720p Webkamera	WLAN	Gigabit LAN / 802.11bgn	Külön vásárolható	FreeDOS	383 x 258 x 20-21,7 mm									
Acer Aspire E1-522-45002G50DNKK_LIN	3.9293046664859E+44 Ft	15,6 "	1366x768 WXGA HD	LED, Fényes	Acer CineCrystal™Super-slim design	AMD	A4-Series	A4-5000 - 1,50GHz	2MB cache, Quad-Core	2 GB	DDR3 1600 MHz	2 soDIMM slot / max. 8GB				AMD/ATI	Radeon™ HD 8330	Alaplapi integrált		2.4 kg	2 év (1 év az akkura és töltőre)	Nemzetközi, El- és visszaszállításos	4 cellás Lithium Ion, 37 Wh 2500 mAh max. 3,5h	Nincs		Általános otthoni/irodai	Notebook / Laptop	Új	Fekete hátlap	Igen	500 GB	HDD	Serial ATA 2.5" 5400rpm		Numerikus billentyűzet, Magyar	103-/104-/107 gombos FineTip	Multi-gesture touchpad	High-definition audio 2.0 Hangszóró, digitális mikrofonCombo audio jack	Bluetooth, Memóriakártya olvasó, VGA, USB 3.0, Webkamera, HDMI	Bluetooth® 4.0+HS2x USB 2.0, USB 3.0, VGA, HDMI	Secure Digital (SD) kártyaolvasó	Acer Crystal Eye 720p HD Webkamera 1280 x 720	WLAN	Gigabit LAN / Acer Nplify 802.11b/g/n WiFi	Külön vásárolható	Linpus Lite Mobiln	382 (W) x 256 (D) x 13.4/25.3 (H) mm									
Acer Aspire E1-530-21172G50MNRR_LIN	3.9293046664856E+40 Ft	15,6 "	1366x768 WXGA HD	Fényes, LED	CineCrystal™	Intel®	Pentium Dual Core	2117U - 1,80GHz	2 MB Cache	2 GB	DDR3 1600 MHz	max. 8GB, 2 soDIMM				Intel	HD Graphics	Alaplapi integrált		2.35 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	4-cellás Lithium Ion 2500 mAhmax. 4 óra	DVD író	Mobile Intel® HM70 Express Chipset	Általános otthoni/irodai	Notebook / Laptop	Új	Vörös / Piros hátlap	Igen	500 GB	HDD	Serial ATA 5400rpm		Magyar, Numerikus billentyűzet	105-/106-/109-gombos FineTouch™	Multi-touch TouchPad	Sztereo hangszóró, mikrofonCombo audio jack	VGA, Bluetooth, USB 3.0, Webkamera, HDMI, Memóriakártya olvasó	Bluetooth 4.0, HDMI, VGA, 2*USB 2.0, 1*USB 3.0	Secure Digital (SD) kártyaolvasó	Acer Crystal Eye 720p HD Webkamera, 1280 x 720	WLAN	Acer InviLink™ Nplify™ 802.11b/g/n Wi-FiGigabit Ethernet	Külön vásárolható	Linpus Lite Mobiln	381.6 (W) x 256 (D) x 12.07/25.3 (H) mm		8X DVD-Super Multi double-layer							
Lenovo IdeaPad G505	9.227549647619E+30 Ft	15,6 "	1366x768 WXGA HD	LED		AMD	E-Series	E1-2100 1,00GHz	2MB cache, 9 W	4 GB	DDR3 1600 MHz	1x4GB, 2 SODIMM hely				AMD/ATI	Radeon™ HD 8210	Alaplapi integrált		2.6 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos	6 Cellás Lithium-Ion	DVD író		Általános otthoni/irodai	Notebook / Laptop	Új	Fekete hátlap	Nem	320 GB	HDD	5400rpm SATA	DirectX 11	Magyar, Numerikus billentyűzet	sziget stílusú, AccuType, cseppálló	Multi-touch 2 gombos touchpad	Dolby® Advanced Audio™ V2 2.0 Hangszóró	USB 3.0, Webkamera, Memóriakártya olvasó, VGA, Bluetooth, HDMI	Bluetooth 4.0, USB 3.0 *1, USB 2.0 *2, VGA, HDMI	2-in-1 (SD, MMC) memóriakártya olvasó	720p HD webkamera	WLAN	Lenovo 1x1 bgn wifi10/100 LAN	Windows 8	DOS	377 mm x 250 mm x 34 mm		DVD író (Dual Layer)		Angol, Magyar, Választható	1024 MB				
Lenovo G500	1.1818095647619E+31 Ft	15,6 "	1366x768 WXGA HD	Fényes, LED		Intel®	Core i3	3110M 2,4 GHz	3MB cache	4 GB	DDR3 1600 MHz	1 x 4GB, 2 SODIMM hely, max. 16GB				AMD/ATI	Radeon™ HD 8570M 2GB GDDR3	Dedikált, saját memóriával		2,6 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos	6 cellás Lítium-ion, 48 Wh, max. 5h	DVD író	Mobile Intel® HM76 Express	Játék/3D grafika	Notebook / Laptop	Új	Fekete hátlap	Nem	1000 GB	Hibrid (HDD + SSD)	5400rpm HDD + SSD		Numerikus billentyűzet, Magyar	AccuType		Dolby® Advanced Audio™2.0 Hangszóró	HDMI, VGA, Bluetooth, USB 3.0, Webkamera, Memóriakártya olvasó	Bluetooth 4.01 USB 2.0, 2 USB 3.0, D-Sub, HDMI	2-in-1 (SD, MMC) memóriakártya olvasó	720p Webkamera	WLAN	WiFi: 802.11 b/g/nLAN: 10/100 Mbit/s	Külön vásárolható	FreeDOS	377 mm x 250 mm x 34 mm		DVD SuperMulti		Angol, Választható, Magyar	2048 MB		8 GB		
Lenovo IdeaPad B590	1.1109465896686E+31 Ft	15,6 "	1366x768 WXGA HD	LED, Matt	Anti-Glare 16:9	Intel®	Core i3	3110M 2.40 GHz	3M Cache	4 GB	DDR3 1600 MHz	2 slot / max. 8GB				nVidia	GeForce® GT 720M 1GB	Dedikált, saját memóriával		2.2 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos	6 cellás (2.2A) Lithium-ion	DVD író	Intel HM77 Chipset	Játék/3D grafika	Notebook / Laptop	Új	Fekete hátlap	Nem	320 GB	HDD	5400rpm 2.5" SATA	N13M-GE1	Magyar, Numerikus billentyűzet	6-soros Lenovo AccuType Recovery gomb		beépített mikrofonCombo audio jack	USB 3.0, Webkamera, Memóriakártya olvasó, Bluetooth, HDMI	Bluetooth 4.0, HDMI, VGA, USB 3.0, 2*USB 2.0	4-in-1 kártyaolvasó	HD 720p Webkamera	WLAN	WiFi: 802.11bgn 100/1000M Ethernet	Külön vásárolható	FreeDOS	378 x 252 x 33,4 mm		Super Multi DVD író (tálcás)		Angol, Magyar, Választható	1024 MB				
Asus X502CA-XX086D	7.361411647619E+35 Ft	15,6 "	1366x768 WXGA HD	LED, Fényes		Intel®	Pentium Dual Core	2117U - 1,80GHz	2MB cache	4 GB	DDR3 1600 MHz	beépítve, Nem bővíthető				Intel	HD Graphics	Alaplapi integrált		2 kg	2 év (1 év az akkura és töltőre)	Világ, El- és visszaszállításos	2 cellás (Polymer) 5136 mAh		Mobile Intel® HM76 Express	2 kg alatt, Általános otthoni/irodai	Notebook / Laptop	Új	Fehér hátlap	Nem	500 GB	HDD	SATA 5400rpm		Magyar, Numerikus billentyűzet			2.0 Hangszóró	Bluetooth, HDMI, USB 3.0, Webkamera, Memóriakártya olvasó, VGA	Bluetooth 4.0VGA, HDMI, 2*USB 2.0, USB 3.0	SD Kártyaolvasó	720p Webkamera	WLAN	Gigabit LAN / 802.11bgn	Külön vásárolható	FreeDOS	383 x 258 x 20-21,7 mm									
Dell Inspiron 3521	1.5670827122102E+49 Ft	15,6 "	1366x768 WXGA HD	LED	TrueLife	Intel®	Core i5	3337U 1.80GHz	3MB Cache	6 GB	DDR3 1600 MHz	(1x4GB + 1x2GB), max. 6GB				AMD/ATI	Radeon HD 8730M 2GB DDR3	Dedikált, saját memóriával			3 év (1 év az akkura és töltőre)	Világ, Szerviz	6-cellás (65Whr) Lithium Ion	DVD író	Intel® HM70 Express Chipset	Játék/3D grafika	Notebook / Laptop	Új	Fekete hátlap	Igen	1000 GB	HDD	5400RPM Serial ATA		Magyar, Numerikus billentyűzet	teljes méretû, cseppálló	Multi-Touchpad, gesztusfelismerés, görgetõmezõ	Waves MaxxAudio®4 hangrendszer2 hangszóró1 line-out / headphone jack, 1 microphone jack	HDMI, USB 3.0, Webkamera, Memóriakártya olvasó, Bluetooth	Bluetooth 4.0, 2* USB 3.0, 2* USB 2.0, 1 USB 2.0, HDMI 1.4	8-in-1 kártyaolvasó: SD, SDHC, SDXC, MS, MS-Pro, MSXC MMC, MMC+	HD (720p) webkamera	WLAN	Dell Wireless 1703 (802.11n)10/100 Ethernet	Külön vásárolható	Linux Ubuntu Edition 12.04	25.4mm / 376mm / 259mm		8x DVD+/-RW			2048 MB				
HP-Compaq 255 G1	9.0476189668558E+35 Ft	15,6 "	1366x768 WXGA HD	Matt, LED	csillogásmentes	AMD	E-Series	E2-1800 1,7 GHz	1 MB gyorsítótár	4 GB	DDR3 1600 MHz	(1 x 4 GB) 2 SODIMM hely, Legfeljebb 6 GB				AMD/ATI	Radeon HD 7340	Alaplapi integrált		Min. 2,45 kg(a súly a konfigurációtól függően változik)	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Világ	6 cellás (47 Wh) lítiumion	DVD író	AMD A68M	Általános otthoni/irodai	Notebook / Laptop	Új	Ezüst hátlap	Igen	500 GB	HDD	5400 f/p SATA HP 3D DriveGuard		Magyar	Teljes méretű billentyűzet	Érintőtábla két részből álló választógombbal, bal és jobb kattintási funkciókkal	Nagyfelbontású hang támogatása Beépített Altec Lansing sztereó hangszórók Beépített mikrofon 1 sztereó mikrofonbemenet 1 fejhallgató-/vonali kimenet	VGA, HDMI, Webkamera, Memóriakártya olvasó, Bluetooth	Bluetooth 4.0 + HS 3 USB 2.0 1 HDMI 1 VGA	1 Secure Digital	HD webkamera	WLAN	Ralink 802.11b/g/n (1x1) WifiRealtek Ethernet (10/100/1000)	Windows 8	Windows 8 Recovery Manager telepítő Cyberlink Youcam DE Cyberlink Power DVD (csak bizonyos modellek esetén érhető el) Symantec Norton™ Internet Security 2013	37,6 x 24,7 x 3,58 cm		DVD+/-RW SuperMulti DL	64 bit	Választható, Angol, Magyar					
Acer Aspire E1-530-21174G50MNKK	9.0476189304666E+44 Ft	15,6 "	1366x768 WXGA HD	Fényes, LED	CineCrystal™	Intel®	Pentium Dual Core	2117U - 1,80GHz	2 MB Cache	4 GB	DDR3 1600 MHz	max. 8GB, 2 soDIMM				Intel	HD Graphics	Alaplapi integrált		2.35 kg	2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Nemzetközi	4-cellás Lithium Ion 2500 mAhmax. 4 óra	DVD író	Mobile Intel® HM70 Express Chipset	Általános otthoni/irodai	Notebook / Laptop	Új	Fekete hátlap	Igen	500 GB	HDD	Serial ATA 5400rpm		Magyar, Numerikus billentyűzet	105-/106-/109-gombos FineTouch™	Multi-touch TouchPad	Sztereo hangszóró, mikrofonCombo audio jack	VGA, Bluetooth, USB 3.0, Webkamera, HDMI, Memóriakártya olvasó	Bluetooth 4.0, HDMI, VGA, 2*USB 2.0, 1*USB 3.0	Secure Digital (SD) kártyaolvasó	Acer Crystal Eye 720p HD Webkamera, 1280 x 720	WLAN	Acer InviLink™ Nplify™ 802.11b/g/n Wi-FiGigabit Ethernet	Külön vásárolható	Linpus Lite Mobiln	381.6 (W) x 256 (D) x 12.07/25.3 (H) mm		8X DVD-Super Multi double-layer							
Toshiba Satellite C50-A-14L	7.518891647619E+39 Ft	15,6 "	1366x768 WXGA HD	Fényes, LED	Nagy fényerejű Toshiba TruBrite®	Intel®	Celeron Dual Core	1005M 1.90 GHz	3. szintű gyorsítótár : 2 MB	4 GB	DDR3 1600 MHz	4096 (1x), bővíthetőség felső határa : 16,384 MB				Intel	HD Graphics	Alaplapi integrált			2 év (1 év az akkura és töltőre)	El- és visszaszállításos, Szerviz, Nemzetközi	technológia : lítiumionos maximális üzemidő : akár 3 óra 30 perc (Mobile Mark™ 2012)	Nincs		Általános otthoni/irodai	Notebook / Laptop	Új	Szálcsiszolt, matt fekete bevonat, fekete billentyűzet	Nem	500 GB	HDD	meghajtóforgás : 5,400 fordulat/perc	memória mennyisége : akár 1 739 MB megosztott memória 4 GB telepített rendszermemóriából (64 bites Windows® 7 operációs rendszer esetén) memória típusa : megosztott	Numerikus billentyűzet, Magyar	billentyűk : 102 Windows billentyűk : Igen speciális szolgáltatások : Lapos, matt fekete billentyűzet tízjegyű számbillentyűzettel	Különböző görgetési, nagyítási és indítási funkciók közvetlen használatát támogató, többérintéses vezérlésre alkalmas érintőtábla	támogatott hangformátum : 24 bites sztereó hangszórók : beépített sztereó hangszórók gyártó : Realtek ALC269Q-VB5-GR 1 × külső mikrofon1 × sztereó fejhallgató	VGA, Memóriakártya olvasó, Webkamera, USB 3.0, Bluetooth, HDMI	Bluetooth® 4.0 + LE 1 × külső monitor2 × USB 2.01 × HDMI-kimenet, 1080p jelformátum támogatása1 × USB 3.0	1 × Univerzális kártyaolvasó (legfeljebb 2 GB-os SD™, 2 GB-os, adapterrel ellátott miniSD™/microSD™, 32 GB-os SDHC™, 64 GB-os SDXC™ és 2 GB-os MultiMedia Card™ kártyákhoz)	0,9MP HD webkamera (1280 x 720) mikrofonnal	WLAN	Wi-Fi® Hálózati támogatás : 802.11b/g/nFast Ethernet hálózati csatoló	Külön vásárolható		Sz x H x M : 380 x 242 x 30,8 (elöl) / 33,35 (hátul) mmmin. 2,3 kg									
